"Time (s)","x","y","z","total_acceleration"
7.126714100E-2,-6.577482224E-1,-5.797343254E-1,5.404615402E-1,1.029962761E0
7.626865200E-2,-7.834634781E-1,-6.299285889E-1,4.526634216E-1,1.102510418E0
8.127011000E-2,-8.312690258E-1,-6.116042137E-1,4.128055573E-1,1.111519831E0
8.627156800E-2,-7.005883455E-1,-5.155482292E-1,3.685321808E-1,9.446851194E-1
9.125167200E-2,-5.006418228E-1,-3.592662811E-1,3.323106766E-1,7.001034790E-1
9.625313100E-2,-1.819154024E-1,-2.246351242E-1,2.897615433E-1,4.092870687E-1
1.012545890E-1,3.012399673E-1,3.110299110E-1,3.239297867E-1,5.407546858E-1
1.062560470E-1,6.763294339E-1,5.703873634E-1,4.171533585E-1,9.781514055E-1
1.112575060E-1,1.232521296E0,5.965201855E-1,1.550741196E-1,1.378039571E0
1.162589640E-1,2.405150414E0,1.539285183E-1,-9.635109901E-1,2.595533843E0
1.212506310E-1,2.337077618E0,2.654590607E-1,-7.041454315E-1,2.455243591E0
1.262520890E-1,1.690987945E0,3.795878887E-1,3.068838120E-1,1.760029792E0
1.312535470E-1,1.607696414E0,2.885928154E-1,6.182193756E-1,1.746473237E0
1.362550060E-1,2.671018362E0,3.644318581E-1,-5.419769287E-1,2.749707014E0
1.412564640E-1,2.834418774E0,-6.960296631E-2,-1.289201260E0,3.114613017E0
1.462579220E-1,1.881018877E0,-5.026867390E-1,-9.349608421E-1,2.159879105E0
1.512519850E-1,8.860155344E-1,-7.584955692E-1,-5.681991577E-1,1.297377870E0
1.562534430E-1,2.578749657E-1,-7.211976051E-1,-3.722915649E-1,8.516023091E-1
1.612549020E-1,-1.936457157E-1,-5.276179314E-1,8.233261108E-2,5.680299319E-1
1.662563600E-1,-3.978409767E-1,-1.324782372E-1,5.757875443E-1,7.122915289E-1
1.712578180E-1,-6.048030257E-1,2.282261848E-2,8.186311722E-1,1.018069039E0
1.762592770E-1,-7.119358182E-1,-8.698797226E-2,4.088554382E-1,8.255799694E-1
1.812534950E-1,-5.608379841E-1,-4.579114914E-2,-3.521995544E-1,6.638377813E-1
1.862549540E-1,-4.503971338E-1,-1.038179398E-1,-7.098426819E-1,8.470610225E-1
1.912564120E-1,-5.132524967E-1,-4.329667091E-1,-9.904398918E-1,1.196603308E0
1.962578700E-1,-6.077600718E-1,-5.174183846E-1,-1.171757221E0,1.417783155E0
2.012593290E-1,-4.941056967E-1,-3.130028248E-1,-1.356034756E0,1.476801092E0
2.062607870E-1,-2.557228804E-1,-2.456004620E-1,-1.828101635E0,1.862167921E0
2.112516200E-1,-4.830431938E-2,-5.107228756E-1,-2.544804573E0,2.595997203E0
2.162530790E-1,2.420113087E-1,-6.876707077E-1,-3.250883579E0,3.331621906E0
2.212545370E-1,6.722862720E-1,-6.862876415E-1,-3.836070061E0,3.954540816E0
2.262559950E-1,1.169311285E0,-6.980886459E-1,-4.344751358E0,4.553183612E0
2.312574540E-1,1.360225081E0,-6.117408276E-1,-4.696435452E0,4.927569894E0
2.362589120E-1,1.186602354E0,-4.974956512E-1,-4.725569725E0,4.897605159E0
2.412558910E-1,8.308744431E-1,-5.239167213E-1,-4.662141323E0,4.764493970E0
2.462573490E-1,2.611627579E-1,-6.991993189E-1,-4.002103806E0,4.071108024E0
2.512588080E-1,-1.347033978E-1,-9.273052216E-1,-3.170924664E0,3.306478973E0
2.562602660E-1,-7.320165634E-3,-1.229315162E0,-2.571337700E0,2.850095949E0
2.612617240E-1,5.258491039E-1,-1.433314085E0,-2.255444527E0,2.723588912E0
2.662631830E-1,1.013661623E0,-1.560141563E0,-1.879349709E0,2.644523948E0
2.712670890E-1,1.188881874E0,-1.690976143E0,-1.542485714E0,2.579167037E0
2.762685470E-1,8.267879486E-1,-1.804701567E0,-9.765968323E-1,2.212299128E0
2.812700060E-1,-6.535618305E-1,-1.871501684E0,-6.104073524E-1,2.074188698E0
2.862714640E-1,-4.527481079E0,-1.646963239E0,-8.873004913E-1,4.898762598E0
2.912729220E-1,-8.557658195E0,-8.389966488E-1,-1.710619926E0,8.767191666E0
2.962743810E-1,-7.069774628E0,-5.813833475E-1,-2.031883717E0,7.378907190E0
3.012642240E-1,-1.646720409E0,-1.110873699E0,-1.546060562E0,2.517147541E0
3.062656830E-1,2.471469879E0,-1.688461304E0,-1.034298897E0,3.166834247E0
3.112671410E-1,3.409626245E0,-1.855309725E0,-3.230943680E-1,3.895139956E0
3.162685990E-1,2.753752708E0,-1.627131104E0,1.858634949E-1,3.203943640E0
3.212700580E-1,1.777264357E0,-1.144156218E0,4.387583733E-1,2.158766072E0
3.262715160E-1,1.526319027E0,-4.958690405E-1,7.707548141E-1,1.780336727E0
3.312655790E-1,2.013850927E0,1.048415899E-1,1.167415619E0,2.330117281E0
3.362670370E-1,2.635304451E0,8.441196680E-1,1.230785370E0,3.028564048E0
3.412684950E-1,2.971926689E0,1.832809687E0,1.148111343E0,3.675554278E0
3.462699540E-1,2.863064289E0,2.679321766E0,1.025782585E0,4.053163229E0
3.512714120E-1,2.474409342E0,3.222255945E0,7.357106209E-1,4.128789785E0
3.562728700E-1,1.654039860E0,3.441880465E0,3.965053558E-1,3.839219385E0
3.612651100E-1,8.149695396E-1,3.342691183E0,1.899023056E-1,3.445841346E0
3.662665680E-1,3.287992477E-1,2.919052839E0,1.037268639E-1,2.939343071E0
3.712680270E-1,-5.792498589E-2,2.041743755E0,1.990604401E-1,2.052242170E0
3.762694850E-1,1.571969986E-1,6.608760357E-1,3.878116608E-1,7.822185853E-1
3.812709430E-1,3.137697697E0,2.479166985E-1,3.778045654E0,4.917340591E0
3.862724020E-1,4.565798759E0,8.042021990E-1,4.374214649E0,6.373932325E0
3.912625060E-1,2.766422033E0,3.198671341E-2,3.565069675E0,4.512630697E0
3.962639640E-1,2.878766060E0,-3.049170971E-1,5.567845821E0,6.275442260E0
4.012654220E-1,2.306838512E0,-1.298146605E0,3.983542442E0,4.782812867E0
4.062668810E-1,3.337000370E0,-9.757602215E-1,3.611443043E0,5.013003125E0
4.112683390E-1,4.021159649E0,-2.853252888E-1,3.779261589E0,5.525753668E0
4.162697970E-1,3.934894085E0,4.695786834E-1,4.272564888E0,5.827409915E0
4.212666720E-1,3.372043610E0,1.425347328E0,4.610965729E0,5.887554506E0
4.262681310E-1,2.633252144E0,2.084887743E0,4.508466721E0,5.622014401E0
4.312695890E-1,2.183880806E0,2.258118629E0,4.178549290E0,5.227686801E0
4.362710470E-1,2.029747486E0,1.804114580E0,4.122582912E0,4.936637939E0
4.412725060E-1,2.035317421E0,1.217414141E0,4.312836647E0,4.921907571E0
4.462739640E-1,2.093023300E0,8.413556814E-1,4.797771931E0,5.301626299E0
4.512552140E-1,1.916171551E0,6.093255877E-1,5.129215717E0,5.509250853E0
4.562566720E-1,1.656330109E0,4.441437721E-1,5.354480267E0,5.622379571E0
4.612581310E-1,1.523549080E0,1.860581636E-1,5.412124634E0,5.625558860E0
4.662595890E-1,1.528945446E0,-8.193954825E-2,5.229531288E0,5.449072009E0
4.712610470E-1,1.555561543E0,-2.966955900E-1,5.044898987E0,5.287608701E0
4.762625060E-1,1.474690437E0,-5.302472115E-1,4.895342827E0,5.140063753E0
4.812643810E-1,1.280940056E0,-8.631103635E-1,4.382442474E0,4.646672892E0
4.862658390E-1,1.293082237E0,-1.216152549E0,3.861626625E0,4.250088103E0
4.912672450E-1,1.328308582E0,-1.428747416E0,3.517643929E0,4.022380101E0
