"Time (s)","x","y","z","total_acceleration"
6.043770900E-2,-2.582182884E-1,1.870245934E-1,-2.964243889E-1,4.353415915E-1
6.543432400E-2,-2.380670309E-1,-2.764797211E-2,-4.246635437E-1,4.876263394E-1
7.043093800E-2,-1.109554768E-1,-3.529286385E-1,-6.044101715E-1,7.086475831E-1
7.544625100E-2,-3.149724007E-2,-5.604085922E-1,-6.331372261E-1,8.461161938E-1
8.044291700E-2,-3.514230251E-2,-5.808634758E-1,-6.104841232E-1,8.434027648E-1
8.543953200E-2,-2.242827415E-1,-5.156683922E-1,-4.870438576E-1,7.439276565E-1
9.043609400E-2,-3.905494213E-1,-4.094543457E-1,-3.090057373E-1,6.447218450E-1
9.543270900E-2,-5.103690624E-1,-2.922081947E-1,-1.160287857E-1,5.994371427E-1
1.004293240E-1,-5.823705196E-1,-1.237406731E-1,1.321711540E-1,6.098658789E-1
1.054772920E-1,-6.565299034E-1,1.380443573E-2,4.087729454E-1,7.735097914E-1
1.104739070E-1,-7.708127499E-1,3.966760635E-2,5.080146790E-1,9.240155455E-1
1.154705220E-1,-8.517892361E-1,3.257703781E-2,5.382947922E-1,1.008150509E0
1.204671360E-1,-8.306040764E-1,6.588840485E-2,4.992318153E-1,9.713273491E-1
1.254636990E-1,-8.244829178E-1,1.255245209E-1,6.046319008E-1,1.030101074E0
1.304603130E-1,-7.900214195E-1,1.646666527E-1,6.793446541E-1,1.054873504E0
1.354569280E-1,-7.307066917E-1,1.955771446E-1,7.229089737E-1,1.046317386E0
1.404752610E-1,-8.225553036E-1,1.391258240E-1,7.367110252E-1,1.112967366E0
1.454718240E-1,-8.664650917E-1,7.655954361E-2,5.735559464E-1,1.041916284E0
1.504684380E-1,-8.968153000E-1,-8.826112747E-2,4.738154411E-1,1.018120219E0
1.554651050E-1,-8.910508156E-1,-1.239948273E-1,3.812742233E-1,9.770958533E-1
1.604616670E-1,-9.344565868E-1,1.211199760E-1,6.170687675E-1,1.126344985E0
1.654582820E-1,-6.157181263E-1,1.029262543E-1,7.534570694E-1,9.784682827E-1
1.704571880E-1,-4.452207088E-1,-8.960075378E-1,4.834728241E-1,1.111214182E0
1.754538030E-1,-4.949188232E-2,-1.152986526E0,2.172002792E-1,1.174309728E0
1.804504170E-1,4.675872326E-1,-4.374361038E-1,6.093416214E-1,8.839034883E-1
1.854470320E-1,8.535912037E-1,-3.960909843E-1,8.425092697E-1,1.263062896E0
1.904436470E-1,1.082613826E0,-4.733252525E-1,7.192573547E-1,1.383264484E0
1.954402610E-1,1.458365679E0,-3.978915215E-1,6.147346497E-1,1.631884434E0
2.004572400E-1,1.890580058E0,-7.239980698E-1,6.856212616E-1,2.137414952E0
2.054538550E-1,1.974899769E0,-1.393456459E0,6.661539078E-1,2.507132033E0
2.104504690E-1,2.105182648E0,-1.382060766E0,9.489822388E-1,2.691180639E0
2.154470840E-1,2.191193104E0,-1.048832655E0,1.557220459E0,2.885535083E0
2.204436990E-1,2.082087755E0,-1.024644136E0,1.644743919E0,2.844321991E0
2.254402610E-1,1.899655938E0,-9.889020920E-1,1.449483871E0,2.586043991E0
2.304556260E-1,1.508644700E0,-9.787714481E-1,1.200057030E0,2.161975775E0
2.354522400E-1,1.090149403E0,-1.021594286E0,8.975601196E-1,1.742898383E0
2.404488550E-1,6.564484835E-1,-1.038895369E0,6.736669540E-1,1.401447596E0
2.454454690E-1,3.656216860E-1,-1.108070135E0,4.255247116E-1,1.242002384E0
2.504420840E-1,2.385790944E-1,-1.063758612E0,2.982578278E-1,1.130247805E0
2.554386470E-1,2.077834010E-1,-1.064989805E0,3.838729858E-2,1.085748963E0
2.604567190E-1,1.806395650E-1,-1.063300371E0,-2.838077545E-1,1.115251170E0
2.654533340E-1,7.788938284E-2,-1.110429525E0,-4.915313721E-1,1.216849858E0
2.704499490E-1,5.068525672E-2,-1.113241911E0,-5.503273010E-1,1.242874364E0
2.754465630E-1,3.231948614E-2,-1.208231688E0,-6.511983871E-1,1.372926691E0
2.804431780E-1,6.269600987E-2,-1.379315853E0,-7.605886459E-1,1.576368644E0
2.854397920E-1,1.483875513E-2,-1.453317881E0,-7.752981186E-1,1.647252325E0
2.904577610E-1,7.266238332E-3,-1.412539482E0,-7.820758820E-1,1.614609325E0
2.954543760E-1,6.061960757E-2,-1.243541241E0,-7.876615524E-1,1.473254993E0
3.004509900E-1,6.353971362E-2,-1.153335571E0,-5.873813629E-1,1.295853811E0
3.054476050E-1,8.555680513E-3,-1.073141813E0,-4.382715225E-1,1.159218909E0
3.104442190E-1,-3.117955662E-2,-9.876091480E-1,-4.679651260E-1,1.093313932E0
3.154408340E-1,-1.010287702E-1,-9.363632202E-1,-3.830671310E-1,1.016721850E0
3.204567720E-1,-1.277029216E-1,-9.273726940E-1,-4.602556229E-1,1.043150703E0
3.254533860E-1,-7.322101295E-2,-8.659169674E-1,-6.158647537E-1,1.065111687E0
3.304500010E-1,2.765738964E-2,-7.682523727E-1,-7.988262177E-1,1.108647809E0
