"Time (s)","x","y","z","total_acceleration"
5.615890900E-2,2.069501877E-1,2.982654572E-1,6.950445175E-1,7.841412784E-1
6.115687800E-2,3.601331711E-1,3.475737572E-1,7.287797928E-1,8.840946804E-1
6.615484600E-2,4.815268517E-1,5.593514442E-1,6.209011078E-1,9.645000429E-1
7.115276300E-2,6.143140793E-1,7.685260773E-1,2.983903885E-1,1.028129828E0
7.615541900E-2,6.681118011E-1,9.150362015E-1,2.101421356E-2,1.133184109E0
8.115338800E-2,5.518381596E-1,8.974699974E-1,-1.529760361E-1,1.064602939E0
8.615130500E-2,3.568370342E-1,6.902713776E-1,-4.434652328E-1,8.946891395E-1
9.114927400E-2,4.802134037E-1,-4.572486877E-2,-1.075059414E0,1.178324412E0
9.614724200E-2,2.463371754E-1,-3.602423668E-1,-1.344109058E0,1.413182836E0
1.011451590E-1,4.489278793E-2,-1.369760036E0,-1.587128639E0,2.096958568E0
1.061637530E-1,8.331625462E-1,-1.344878674E0,-1.326828957E0,2.064784142E0
1.111616690E-1,8.079419136E-1,3.525676727E-1,-1.188501835E0,1.479733324E0
1.161596380E-1,9.643650055E-2,1.236452103E0,-1.177096367E0,1.709874164E0
1.211576070E-1,-5.178384781E-1,1.755095482E0,-1.132298946E0,2.151887019E0
1.261555240E-1,-3.889350891E-1,2.063503265E0,-1.113510609E0,2.376809228E0
1.311534920E-1,8.726644516E-2,1.950109482E0,-1.204733849E0,2.293888853E0
1.361500030E-1,2.835297585E-1,1.409002304E0,-1.020190716E0,1.762516869E0
1.411479190E-1,5.429744720E-2,4.319801331E-1,-6.758613586E-1,8.039549889E-1
1.461458880E-1,-3.508949280E-2,-7.089881897E-1,-3.177428246E-1,7.777249052E-1
1.511438570E-1,-7.587909698E-2,-1.609225750E0,-1.405129433E-1,1.617129877E0
1.561418260E-1,-2.859869003E-1,-2.350934982E0,-1.201772690E-1,2.371313217E0
1.611397420E-1,-5.073728561E-1,-2.224021435E0,2.217564583E-1,2.291915026E0
1.661604710E-1,-5.912160873E-1,-1.931683540E0,8.462443352E-1,2.190220819E0
1.711584400E-1,-4.560818672E-1,-1.725706100E0,1.143282413E0,2.119709153E0
1.761563570E-1,-2.492332458E-1,-1.782860279E0,1.164049149E0,2.143762675E0
1.811543260E-1,-3.364033699E-1,-1.984478951E0,1.202766895E0,2.344775498E0
1.861522940E-1,-5.351567268E-1,-2.123816967E0,8.839507103E-1,2.361855222E0
1.911502110E-1,-4.806418419E-1,-2.354763508E0,3.536520004E-1,2.429196883E0
1.961607840E-1,-3.034753799E-1,-2.650540829E0,-1.097187996E-1,2.670112770E0
2.011587010E-1,-2.819399834E-1,-2.838036537E0,-5.830845833E-1,2.911001404E0
2.061566690E-1,-2.965164185E-1,-2.868690968E0,-1.083254814E0,3.080706225E0
2.111546380E-1,-1.219134331E-1,-2.873836517E0,-1.659691811E0,3.320899896E0
2.161526070E-1,1.954250336E-1,-2.934378147E0,-2.156644106E0,3.646900033E0
2.211505760E-1,3.382515907E-1,-3.096647739E0,-2.657665730E0,4.094731797E0
2.261589610E-1,6.467113495E-1,-3.681964874E0,-3.080839157E0,4.844240995E0
2.311568780E-1,1.203846693E0,-4.933393002E0,-3.061264992E0,5.929498859E0
2.361548460E-1,5.084319115E-1,-5.142295837E0,-2.930617332E0,5.940557839E0
2.411528150E-1,3.112082481E-1,-4.872789383E0,-2.780272484E0,5.618793645E0
2.461507840E-1,3.010001183E-1,-4.418891430E0,-2.905799150E0,5.297251291E0
