"Time (s)","x","y","z","total_acceleration"
8.628072700E-2,-1.635862350E0,6.742795944E0,5.740082264E0,9.004992347E0
1.046955220E-1,-3.712631464E0,1.020021057E1,3.089511395E-1,1.085925315E1
1.231098910E-1,-7.330146313E0,1.329562855E1,7.046560764E0,1.673794498E1
1.415287140E-1,-3.911953688E0,2.129316902E1,1.205117702E1,2.477767738E1
1.599402130E-1,5.453910828E-1,3.091431427E1,8.642864227E0,3.210438257E1
1.783535420E-1,-3.262770414E0,1.782926178E1,7.848959923E0,1.975182063E1
1.967685200E-1,-5.492584229E0,9.693982124E0,2.485100269E0,1.141566881E1
2.151814850E-1,-6.498250961E0,8.917361259E0,-1.142792583E0,1.109290639E1
2.335981720E-1,-4.391102314E0,3.470118523E0,-6.812987924E-1,5.638055528E0
2.520116230E-1,-1.910207033E0,-5.250608444E0,1.861718774E0,5.889293399E0
2.704140890E-1,-1.536481380E-1,-1.283889580E1,2.314526796E0,1.304675773E1
2.888405420E-1,8.660447598E-1,-1.460299397E1,2.848052979E0,1.490331748E1
3.072460590E-1,-1.372497559E0,-1.299057198E1,1.761430621E0,1.318109812E1
3.256650660E-1,-3.794188976E0,-1.195810318E1,2.959173322E-1,1.254909035E1
3.440835230E-1,-4.323089600E0,-1.176232338E1,4.806715846E-1,1.254082932E1
3.624901390E-1,-4.399930954E0,-1.016953087E1,8.194472790E-1,1.111081655E1
3.809137840E-1,-3.646191597E0,-8.861919403E0,5.648492575E-1,9.599342860E0
3.993283350E-1,-3.372841358E0,-8.231556892E0,-1.067762524E-1,8.896403142E0
4.177431300E-1,-3.748571157E0,-7.990675926E0,-1.048617601E0,8.888323034E0
4.361531640E-1,-3.674755335E0,-7.831877232E0,-1.670752406E0,8.810989805E0
4.545716210E-1,-3.884800911E0,-8.196428299E0,1.960049719E-1,9.072570359E0
4.729862330E-1,-3.026142836E0,-8.209041595E0,4.661352158E0,9.913329830E0
4.913998070E-1,-2.651811600E0,-8.623937607E0,7.321451187E0,1.161929654E1
5.098115510E-1,-3.144276142E0,-9.737129211E0,4.431280136E0,1.115053368E1
5.282314110E-1,-3.308897257E0,-1.027187443E1,5.816826820E-1,1.080733825E1
5.466431540E-1,-3.657222986E0,-1.070373917E1,-1.137281299E0,1.136832093E1
5.650594150E-1,-3.623328924E0,-8.534773827E0,-1.386991024E0,9.375213110E0
5.834737820E-1,-3.537318707E-1,-2.416812420E0,-1.493592501E0,2.863027605E0
6.018853420E-1,-4.528927803E0,1.040802097E1,3.873907804E0,1.199355032E1
6.203063620E-1,-5.216719151E0,4.152375412E1,1.489723206E1,4.442256001E1
6.387151760E-1,3.324901581E0,2.048389435E1,-6.095328331E0,2.162863670E1
6.571346710E-1,-2.227110624E0,3.889615059E0,9.908840179E0,1.087539612E1
6.755510520E-1,-1.342402458E0,1.293281651E1,6.758416653E0,1.465387262E1
6.939613300E-1,-6.338808060E0,2.287026978E1,1.321944523E1,2.716585098E1
7.123761860E-1,-3.148002625E0,3.375331879E1,7.020389557E0,3.461910338E1
7.307856100E-1,-7.054494858E0,1.643659973E1,1.218904018E1,2.164487027E1
7.492038850E-1,-5.315960407E0,5.284170151E0,6.684139252E0,1.004288837E1
7.676206940E-1,-3.855728865E0,-3.450298309E-2,6.018683910E-1,3.902573650E0
7.860298730E-1,8.710813522E-1,-2.244663239E-1,4.948937297E-1,1.026687711E0
8.044486350E-1,9.831299782E-1,-6.798696518E0,1.499600410E0,7.031189109E0
8.228632470E-1,-5.657830238E-1,-1.180767250E1,7.582606077E-1,1.184551390E1
8.412780420E-1,-1.706702709E0,-1.459830093E1,2.680920064E-1,1.470017339E1
8.596880770E-1,-2.419014454E0,-1.228210735E1,-1.313502640E-1,1.251874774E1
8.781054340E-1,-3.469802856E0,-1.098104763E1,8.143998981E-1,1.154496367E1
8.965228540E-1,-3.863856554E0,-1.021752644E1,1.615843415E0,1.104256238E1
9.149330110E-1,-3.706564903E0,-9.826334000E0,8.075945377E-1,1.053317009E1
9.333501250E-1,-2.875790834E0,-8.970277786E0,2.970336974E-1,9.424663681E0
9.517697410E-1,-3.346555948E0,-7.527977467E0,-1.047871351E0,8.304692398E0
9.701753810E-1,-4.662732601E0,-7.290061474E0,-3.099555731E0,9.192024659E0
9.885955470E-1,-4.453787804E0,-5.951645851E0,-2.649271011E0,7.891574686E0
1.007005826E0,-3.044267178E0,-6.166586876E0,2.469182730E0,7.306929567E0
1.025411465E0,-1.135146260E0,-7.572841167E0,4.841663361E0,9.059701125E0
1.043838589E0,1.426529884E-2,-1.051389885E1,3.585258722E0,1.110839109E1
1.062252834E0,6.766172647E-1,-1.226443672E1,2.301185131E0,1.249678647E1
1.080667751E0,5.021183491E-1,-1.260283470E1,4.616746306E-1,1.262128000E1
1.099081692E0,-3.986637592E-1,-1.413818359E1,8.934795856E-1,1.417199612E1
1.117496548E0,-8.505530357E-1,-1.020119286E1,3.226310015E-1,1.024167305E1
1.135908536E0,1.501543403E0,-3.611036301E0,3.027320862E0,4.945592720E0
1.154328823E0,-1.770392179E0,1.068433952E1,-1.203369617E0,1.089667371E1
1.172739651E0,-7.901242256E0,5.239349365E1,1.129789543E1,5.417702693E1
1.191154874E0,-3.990948796E-1,2.426532555E1,5.060877323E0,2.479067929E1
1.209569485E0,-2.289915562E0,4.835673332E0,3.888189793E0,6.614035812E0
1.227984097E0,-4.255644798E0,2.041009712E1,8.384810448E0,2.247192968E1
1.246398098E0,-8.424329758E0,2.238209534E1,1.185984421E1,2.669425834E1
1.264805813E0,-5.238210678E0,1.759275818E1,9.064380646E0,2.047210267E1
1.283232815E0,-7.364626884E0,9.415223122E0,7.839150429E0,1.429462959E1
