"Time (s)","x","y","z","total_acceleration"
1.312437720E-1,1.334954739E0,1.889652252E0,4.814584255E-1,2.363195295E0
1.496555160E-1,2.981351852E0,1.052369118E0,1.625921607E0,3.555215985E0
1.680693950E-1,2.495485306E0,-7.735633850E-1,3.650150299E-1,2.638007429E0
1.864775980E-1,1.941369295E0,-2.246259689E0,-2.987978458E-1,2.983936575E0
2.048942240E-1,1.335628867E0,-2.581128120E0,4.571937323E-1,2.941964132E0
2.233082860E-1,1.447136879E0,-1.718667507E0,9.330539703E-1,2.432819940E0
2.417162450E-1,1.462268829E0,-1.055030823E-1,7.259716988E-1,1.635969418E0
2.601330550E-1,4.645332098E-1,-2.672500610E-1,3.513486385E-1,6.408272497E-1
2.785480320E-1,-1.307554245E0,-1.590912819E0,8.756705523E-1,2.237744538E0
2.969572120E-1,-2.067356586E0,-2.330746174E0,4.509286880E-1,3.147964051E0
3.153734110E-1,-1.555932283E0,-1.474730492E0,-6.265809536E-1,2.233463451E0
3.337843610E-1,-9.052603245E-1,-6.983299255E-1,-9.841196537E-1,1.508526577E0
3.521979960E-1,-1.502153635E0,-8.553409576E-1,-1.396585226E0,2.222279008E0
3.706051620E-1,-1.404084682E0,-1.411466599E-1,-2.081603289E0,2.514845607E0
3.890162330E-1,-1.054698586E0,2.725553513E-1,-1.968823671E0,2.250098259E0
4.074428690E-1,-2.600369453E-1,-6.042171478E0,-6.878073215E0,9.158785211E0
4.258375220E-1,1.655199170E0,-3.597904682E0,-1.576204777E0,4.262513800E0
4.442612900E-1,4.115163088E-1,6.016979218E-1,2.052033663E0,2.177665772E0
4.626749240E-1,1.024663448E0,3.605338097E0,2.763650894E0,4.656840585E0
4.810754370E-1,6.814260483E-1,2.847184181E0,7.782104015E-1,3.029259093E0
4.994964580E-1,-1.446327567E0,1.460112572E0,-2.337837219E-1,2.068440713E0
5.179117410E-1,-2.030748129E0,4.653091431E-1,-4.943478107E-1,2.141221689E0
5.363273910E-1,-1.692724586E0,-1.603724003E0,-1.265737772E0,2.653175325E0
5.547387680E-1,-9.153525829E-1,-1.765803337E0,-1.349726200E0,2.403683130E0
5.731525240E-1,-3.857398033E-1,-4.970741272E-1,1.334211349E0,1.475126370E0
5.915639630E-1,1.520853043E0,9.103345871E-1,1.225128174E-1,1.776713941E0
6.099775980E-1,6.874772310E-1,2.671546936E-1,-1.275045395E0,1.473002828E0
6.283901960E-1,-1.000856161E0,-3.037301064E0,-4.145532131E0,5.235680229E0
6.468040750E-1,-3.352776766E-1,6.450653076E-2,-2.591383457E0,2.613778957E0
6.652158180E-1,1.258862257E0,1.350259781E0,-2.198814631E0,2.871014009E0
6.836265230E-1,5.042780638E-1,1.235979080E0,-1.161448574E1,1.169094606E1
7.020447370E-1,-3.136086464E0,-3.932325840E0,2.286675453E1,2.341338693E1
7.204556860E-1,3.377710581E-1,-6.013183594E-1,-5.967058539E-1,9.119928361E-1
7.388677960E-1,1.193135142E0,-2.014312744E-1,1.013736010E0,1.578545762E0
7.572800880E-1,1.878750563E0,5.344715118E-1,2.212200165E0,2.951134196E0
7.756930520E-1,1.625727654E0,1.165569305E0,1.799201488E0,2.690477319E0
7.940958850E-1,9.071035385E-1,1.043105125E0,1.233543038E0,1.852709788E0
8.125141580E-1,-5.280939341E-1,1.679071426E0,1.567127705E-1,1.767122789E0
8.309292590E-1,-8.909714222E-1,6.266231537E-1,-1.581936955E0,1.920679875E0
8.493476550E-1,-1.384646893E-1,2.942771912E-1,-1.800498843E0,1.829635925E0
8.677586650E-1,9.191732109E-2,-3.739356995E-3,-2.879221678E0,2.880690932E0
8.861697360E-1,5.149938464E-1,3.308057785E-1,-1.273907542E0,1.413326413E0
9.045767190E-1,-1.407508373E0,-2.002793789E0,-9.374508858E-1,2.621273916E0
9.229981060E-1,-8.109560609E-1,8.249750137E-1,-3.822171092E-1,1.218328127E0
