"Time (s)","x","y","z","total_acceleration"
2.580458298E-3,-2.865650225E-1,-3.253718233E-1,-2.795255595E-1,5.158690473E-1
1.259245817E-2,-2.051711959E-1,-2.844997859E-1,-6.655844647E-1,7.523549876E-1
2.260545827E-2,-1.204985431E-1,-1.943275344E-1,-9.486885202E-1,9.758550086E-1
3.261745814E-2,-1.246187836E-2,-7.882982254E-2,-1.105055346E0,1.107933553E0
4.262945824E-2,-7.995599627E-2,1.219027519E-2,-1.118975812E0,1.121895018E0
5.264145834E-2,-1.131939089E-1,4.720135599E-2,-8.778705525E-1,8.863958123E-1
6.265445822E-2,8.367277890E-2,5.955009073E-2,-4.550700831E-1,4.665148742E-1
7.266645832E-2,2.920859635E-1,7.513204336E-2,-7.203945100E-2,3.100785651E-1
8.267845819E-2,3.795722964E-1,7.964112371E-2,8.227207839E-2,3.964675670E-1
9.269145830E-2,4.205653712E-1,-2.425980538E-2,1.747662592E-1,4.560778607E-1
1.027034582E-1,3.970306206E-1,-1.262264755E-1,2.745793998E-1,4.989592003E-1
1.127154583E-1,2.504815623E-1,-1.738134554E-1,2.176421374E-1,3.745934200E-1
1.227274581E-1,9.908370048E-2,-2.449866414E-1,9.005823076E-2,2.791890383E-1
1.327404582E-1,-5.644375741E-2,-3.654892775E-1,-6.862116873E-2,3.761345166E-1
1.427524583E-1,-1.290357703E-1,-4.664297614E-1,-3.521240044E-1,5.984966723E-1
1.527644582E-1,-8.380814195E-2,-4.916043636E-1,-7.601742876E-1,9.091554336E-1
1.627774583E-1,-3.619134128E-2,-4.707666412E-1,-9.622680938E-1,1.071863297E0
1.727894582E-1,6.679449856E-2,-4.127704480E-1,-9.689163780E-1,1.055291379E0
1.828014583E-1,1.897228521E-1,-3.113206717E-1,-9.816410887E-1,1.047155456E0
1.928144582E-1,1.879435444E-1,-2.430342561E-1,-9.568407083E-1,1.004954012E0
2.028264583E-1,1.500676203E-1,-1.750881484E-1,-8.397379357E-1,8.708248681E-1
2.128384581E-1,8.513136685E-2,-1.160037884E-1,-6.243914151E-1,6.407564809E-1
2.228504582E-1,-2.041613817E-2,-1.404308242E-1,-2.534709513E-1,2.904912361E-1
2.328634583E-1,-3.077155709E-2,-1.889437106E-1,1.131412840E-1,2.223680837E-1
2.428754582E-1,3.940730989E-2,-1.582601541E-1,4.861720079E-1,5.127986288E-1
2.528874583E-1,3.816951281E-1,-2.567921698E-2,6.412992239E-1,7.467364244E-1
2.629004582E-1,8.178822130E-1,1.096753469E-1,4.754862213E-1,9.523902261E-1
2.729124583E-1,1.255221199E0,1.711956570E-1,3.330492175E-1,1.309889306E0
2.829244582E-1,1.646788766E0,-5.842537880E-3,2.640854019E-1,1.667839463E0
2.929364583E-1,1.953683973E0,-3.116133249E-1,3.195684618E-1,2.004022937E0
3.029494584E-1,2.232446471E0,-7.094888681E-1,4.079596514E-1,2.377734799E0
3.129614582E-1,2.135291474E0,-1.122056125E0,4.298861253E-1,2.450159528E0
3.229734583E-1,1.648038316E0,-1.378516173E0,1.982673883E-2,2.148657775E0
3.329864582E-1,1.007184650E0,-1.658204286E0,-7.787836361E-1,2.090589946E0
3.429984583E-1,3.784060693E-1,-1.884817806E0,-1.712026151E0,2.574249960E0
3.530104582E-1,-1.808105260E-1,-2.057668517E0,-2.311195894E0,3.099728800E0
3.630234583E-1,-7.928251398E-1,-2.034511789E0,-2.439333240E0,3.273859584E0
3.730354581E-1,-1.552455636E0,-1.789684777E0,-2.822449826E0,3.685011957E0
3.830474583E-1,-2.223189744E0,-1.410619726E0,-3.101878906E0,4.068669733E0
3.930594584E-1,-2.769136668E0,-1.245013715E0,-2.241663437E0,3.774020668E0
4.030724582E-1,-2.961430541E0,-9.585609591E-1,-1.207640651E0,3.338758138E0
4.130844583E-1,-2.786463722E0,-5.304097027E-1,-5.362550911E-1,2.886742810E0
4.230964582E-1,-2.219221238E0,-1.877295363E-1,8.928237833E-2,2.228936210E0
4.331094583E-1,-1.513663453E0,-8.343742847E-2,8.262079172E-1,1.726487294E0
4.431214582E-1,-1.004282677E0,-1.220489323E-1,1.401481698E0,1.728476377E0
4.531334583E-1,-7.338337505E-1,-1.399069136E-1,1.398433690E0,1.585466084E0
4.631454581E-1,-7.650567126E-1,-9.906645119E-2,8.780437763E-1,1.168797163E0
4.731584582E-1,-8.804801649E-1,-1.294392282E-1,3.818898404E-1,9.684212331E-1
4.831704583E-1,-1.158123506E0,-2.242980230E-1,4.790588701E-1,1.273207390E0
4.931824582E-1,-1.347630596E0,1.285486972E-1,4.738665426E-1,1.434288147E0
5.031954583E-1,-1.096623076E0,7.125797063E-1,4.038253775E-1,1.368731875E0
5.132074582E-1,-5.967302844E-1,1.260942700E0,4.860360602E-1,1.477259143E0
5.232194583E-1,3.923481703E-4,1.533440491E0,5.701313004E-1,1.635998042E0
5.332324582E-1,4.176055107E-1,1.613830351E0,5.149938110E-1,1.744723872E0
5.432444583E-1,6.465371597E-1,1.544573590E0,4.799189955E-1,1.741849625E0
5.532564581E-1,9.885940129E-1,1.253305652E0,5.786094707E-1,1.697905209E0
5.632684582E-1,1.205768373E0,8.339129394E-1,6.207602942E-1,1.592052607E0
5.732814583E-1,1.253212681E0,5.793853962E-1,2.424115276E-1,1.401782012E0
5.832934582E-1,1.349991117E0,3.211764461E-1,-2.244415721E-1,1.405704216E0
5.933054583E-1,1.466790126E0,1.687681854E-2,-7.976897308E-1,1.669750583E0
6.033184582E-1,1.654043407E0,-2.432453406E-1,-1.544068098E0,2.275779905E0
6.133304583E-1,1.768370214E0,-4.257778716E-1,-2.116785914E0,2.790914297E0
6.233424582E-1,1.466607108E0,-6.157580012E-1,-2.352292172E0,2.839607859E0
6.333544583E-1,1.071020750E0,-7.511871171E-1,-2.392837935E0,2.727093859E0
6.433674581E-1,7.550465718E-1,-7.248775703E-1,-2.294999399E0,2.522412547E0
6.533794582E-1,5.065434149E-1,-5.931778085E-1,-2.099288414E0,2.239521821E0
6.633914583E-1,-1.159912754E0,-6.333037412E-1,-1.345817374E0,1.886185470E0
6.734044582E-1,-3.954916042E0,-6.814076149E-1,6.447397256E-1,4.064648392E0
6.834164583E-1,-4.912407253E0,-4.029146737E-1,3.391934717E0,5.983252157E0
6.934284582E-1,-6.169905358E0,-2.709827775E-1,1.014484665E1,1.187682943E1
7.034414583E-1,-4.652786200E0,9.682603204E-1,9.490873003E0,1.061426483E1
7.134534582E-1,-2.670073725E0,1.986398560E0,3.235163264E0,4.641266452E0
7.234654583E-1,-7.825960207E-1,2.526558495E0,3.503774410E-1,2.668092710E0
7.334774584E-1,5.825230122E-1,2.666984641E0,-1.146390483E-1,2.732266870E0
7.434904582E-1,8.839677367E-1,2.406858974E0,7.100829452E-2,2.565036307E0
7.535024583E-1,-5.802817744E-1,1.771205821E0,5.174209902E-1,1.934327139E0
7.635144582E-1,-1.748177147E0,8.483210635E-1,4.777935326E-1,2.001014399E0
7.735274583E-1,-2.024371548E0,2.670791763E-1,3.374264431E-1,2.069605773E0
7.835394582E-1,-1.835604131E0,4.645729780E-2,2.601601660E-1,1.854530700E0
7.935514583E-1,-1.140924798E0,-1.944994426E-1,-4.938587576E-2,1.158437910E0
8.035637082E-1,-5.884623215E-1,-5.043556792E-1,-7.639048111E-1,1.088215565E0
8.135767083E-1,-1.362211505E0,-7.308084011E-1,-1.025236467E0,1.854942295E0
8.235887082E-1,-2.063782951E0,-4.170339453E-1,-9.951426020E-1,2.328825064E0
