"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.757791736E-3,1.208422132E0,-1.223063852E0,-2.971384841E0,3.432972051E0
1.676979172E-2,1.076683778E0,-1.107366166E0,-3.573522922E0,3.893016036E0
2.678079170E-2,9.653826132E-1,-9.035690653E-1,-3.954084860E0,4.169315019E0
3.679279168E-2,8.724601239E-1,-6.564815193E-1,-4.028250943E0,4.173602798E0
4.680479167E-2,8.174799246E-1,-4.868017530E-1,-3.738831310E0,3.857992864E0
5.681679177E-2,7.620965597E-1,-4.060446882E-1,-3.283918517E0,3.395553605E0
6.682879175E-2,8.390462101E-1,-1.162625277E-1,-3.055968908E0,3.171192439E0
7.683979173E-2,8.087257656E-1,2.947382605E-1,-2.815736638E0,2.944364247E0
8.685179171E-2,6.806691116E-1,7.093649071E-1,-2.637478421E0,2.814747135E0
9.686379170E-2,5.584120184E-1,9.515296823E-1,-2.356689863E0,2.602156765E0
1.068757917E-1,3.468603408E-1,1.014632249E0,-1.973955685E0,2.246395277E0
1.168877917E-1,1.416642943E-1,1.019440999E0,-1.587213240E0,1.891712080E0
1.268997918E-1,-1.179237217E-2,1.067070079E0,-1.278280864E0,1.665166532E0
1.369107917E-1,-1.382205766E-1,1.162436997E0,-1.074774370E0,1.589183641E0
1.469227917E-1,-2.166580510E-1,1.255052215E0,-9.194980502E-1,1.570851182E0
1.569347917E-1,-3.630720386E-1,1.360757595E0,-8.330364418E-1,1.636286115E0
1.669464167E-1,-6.437050608E-1,1.477139698E0,-8.941790217E-1,1.842784311E0
1.769584167E-1,-8.296507578E-1,1.702098456E0,-9.815223902E-1,2.132802320E0
1.869694167E-1,-9.142164065E-1,1.902615853E0,-8.152667534E-1,2.262829778E0
1.969814167E-1,-8.686247890E-1,2.119003763E0,-3.306612146E-1,2.313876144E0
2.069934168E-1,-6.939481384E-1,2.416676449E0,2.569178849E-1,2.527428708E0
2.170054168E-1,-5.924969003E-1,2.585664489E0,8.631496024E-1,2.789577148E0
2.270174167E-1,-5.513769409E-1,2.664905956E0,1.567225703E0,3.140372062E0
2.370284167E-1,-6.213384376E-1,2.596126328E0,2.233281453E0,3.480442416E0
2.470404167E-1,-8.420578185E-1,2.330490536E0,2.713354231E0,3.674580070E0
2.570524167E-1,-1.220259528E0,2.043681100E0,2.751718982E0,3.638354451E0
2.670644167E-1,-1.486126868E0,1.606705811E0,2.575686216E0,3.379975756E0
2.770764168E-1,-1.285943640E0,9.802392188E-1,2.435369412E0,2.923276269E0
2.870874167E-1,-1.055533376E0,4.665218550E-1,2.177211333E0,2.464151484E0
2.970994167E-1,-9.376016877E-1,3.827324241E-2,1.934974637E0,2.150508919E0
3.071114167E-1,-9.586124146E-1,-2.039318785E-1,1.889959263E0,2.128960307E0
3.171234167E-1,-9.694723020E-1,-3.826909089E-1,1.812666088E0,2.090953664E0
3.271354167E-1,-1.034308276E0,-5.703344911E-1,1.685434769E0,2.058097520E0
3.371464168E-1,-1.090624271E0,-7.697768775E-1,1.659809346E0,2.130019908E0
3.471584168E-1,-9.887980807E-1,-1.048534990E0,1.870106796E0,2.361026620E0
3.571704167E-1,-7.129113896E-1,-1.371195459E0,2.264498568E0,2.741600518E0
3.671824167E-1,-3.767157854E-1,-1.720843168E0,2.666163107E0,3.195565944E0
3.771944167E-1,-6.206453964E-2,-2.199189262E0,2.888336252E0,3.630808687E0
3.872064167E-1,1.701570453E-1,-2.787744262E0,3.092661940E0,4.167136831E0
3.972174167E-1,3.212946329E-1,-3.461579441E0,3.134479473E0,4.680889235E0
4.072294168E-1,3.119322174E-1,-4.147099695E0,2.550138561E0,4.878416164E0
4.172414168E-1,2.498610266E-1,-4.569487058E0,1.622206487E0,4.855326600E0
4.272534167E-1,9.444071889E-2,-4.287355102E0,1.164082403E0,4.443581963E0
4.372654167E-1,-9.963944909E-1,-2.658145697E0,7.494089788E-1,2.936009937E0
4.472764167E-1,-2.531028691E0,-9.622303793E-1,-2.035480088E-1,2.715405187E0
4.572884167E-1,-3.487532892E0,-7.926305737E-1,-8.035740763E-1,3.665635033E0
4.673004167E-1,-3.481407934E0,-1.974050264E0,-5.938274342E-1,4.045949414E0
4.773124168E-1,-1.879013860E0,-3.111188843E0,-3.680553281E-1,3.653170380E0
4.873244168E-1,-1.093947390E0,-2.768770047E0,-4.925384563E-1,3.017515965E0
4.973354167E-1,-1.472246456E0,-2.657911224E0,-9.477611518E-1,3.182805822E0
5.073474167E-1,-1.430695849E0,-2.623662035E0,-1.454155755E0,3.323411207E0
5.173594167E-1,-8.394502527E-1,-2.707096833E0,-5.738407740E0,6.400185418E0
5.273714167E-1,2.464192092E-2,-2.360675618E0,-7.581467071E0,7.940531439E0
5.373834167E-1,7.048227900E-1,-8.169598147E-1,-8.419164913E0,8.488023111E0
5.473944168E-1,1.863746487E0,-8.700291440E-2,-9.351715702E0,9.536021553E0
5.574064167E-1,2.554298270E0,-6.660095572E-2,-8.180662249E0,8.570420653E0
5.674184167E-1,3.240765773E0,9.343148947E-2,-7.401517839E0,8.080455344E0
5.774304167E-1,3.748727138E0,9.624283075E-2,-6.646865662E0,7.631712846E0
5.874424167E-1,3.731484576E0,-2.848880410E-1,-5.812751579E0,6.913264009E0
5.974544167E-1,3.760642009E0,-6.631764351E-1,-5.157804369E0,6.417567858E0
6.074654167E-1,4.176663509E0,-8.898836571E-1,-4.566731558E0,6.252315420E0
6.174774168E-1,5.692023532E0,-7.596568090E-1,-4.892972277E0,7.544361343E0
6.274894167E-1,7.869785088E0,7.173408017E-2,-6.286888847E0,1.007291589E1
6.375014167E-1,8.032963336E0,1.333328598E0,-5.920833267E0,1.006789609E1
6.475134167E-1,7.087052827E0,1.563234686E0,-3.496780556E0,8.055898132E0
6.575244167E-1,4.991535283E0,5.759895527E-1,1.418522823E-1,5.026659977E0
6.675364167E-1,2.190118769E0,-1.047545641E0,3.354492071E0,4.140844014E0
6.775484167E-1,9.754284221E-1,-1.301576902E0,3.642660400E0,3.989302925E0
6.875604168E-1,1.343842769E0,-4.635799746E-1,1.973668002E0,2.432320942E0
6.975724167E-1,2.479574947E0,5.324474573E-2,4.976161784E-1,2.529574823E0
7.075834167E-1,3.079963835E0,-3.733301014E-2,-6.699195904E-1,3.152199745E0
7.175954167E-1,2.878861424E0,-1.211954581E-1,-1.117897001E0,3.090667426E0
7.276074167E-1,2.685279409E0,-7.650987395E-1,1.134769142E-1,2.794454973E0
7.376194167E-1,2.041432261E0,-1.777273477E0,2.330559241E0,3.571785697E0
7.476314168E-1,8.471114208E-1,-2.234549130E0,4.549030282E0,5.138529369E0
7.576424167E-1,3.541749153E-1,-2.373323145E0,5.537175229E0,6.034766949E0
7.676544167E-1,8.826665850E-1,-2.073610512E0,5.065782643E0,5.544467030E0
7.776664167E-1,1.046931830E0,-1.493644487E0,4.242382413E0,4.617883568E0
7.876784167E-1,6.771770082E-1,-1.176228678E0,4.267165836E0,4.477810500E0
7.976904167E-1,1.023262739E-6,-1.102530737E0,4.911975728E0,5.034191055E0
8.077014167E-1,-9.984592889E-1,-1.787940991E0,5.336115210E0,5.715573416E0
8.177134168E-1,-2.047946644E0,-2.642082227E0,5.626097345E0,6.544284169E0
8.277254167E-1,-2.415041567E0,-2.894063015E0,5.310226663E0,6.512029923E0
8.377374167E-1,-1.870260285E0,-2.888985293E0,4.181173759E0,5.415378432E0
8.477494167E-1,-1.123817014E0,-2.663974787E0,2.874131026E0,4.076807023E0
8.577604167E-1,-8.447726807E-1,-2.437130009E0,2.439807449E0,3.550479397E0
8.677724167E-1,-9.124118096E-1,-2.514616141E0,3.041958395E0,4.050839484E0
8.777844167E-1,-1.084111058E0,-2.524924783E0,3.999473287E0,4.852455926E0
8.877964168E-1,-1.343797307E0,-2.321440216E0,4.503099234E0,5.241448138E0
8.978084167E-1,-1.523014905E0,-2.113133158E0,4.109643016E0,4.865600874E0
9.078194167E-1,-1.932740416E0,-2.188592207E0,3.266742906E0,4.381441610E0
9.178314167E-1,-2.380117464E0,-2.258934212E0,2.520850443E0,4.137925793E0
9.278434167E-1,-2.846244485E0,-2.161707002E0,2.098393205E0,4.144555329E0
9.378554167E-1,-3.148663648E0,-2.029976981E0,2.182590187E0,4.335733991E0
9.478674167E-1,-3.234581758E0,-2.030067905E0,2.183440372E0,4.398989282E0
9.578784168E-1,-3.105018861E0,-1.798724864E0,1.782555851E0,4.006751631E0
9.678904167E-1,-2.518680249E0,-9.635578434E-1,1.512561838E0,3.091930987E0
9.779024167E-1,-2.026710726E0,-1.056075413E0,1.413448609E0,2.687133904E0
9.879144167E-1,-1.306318263E0,-1.017061913E0,1.086906758E0,1.980466773E0
9.979264167E-1,5.222382188E-2,-1.624178168E-1,1.087452303E0,1.100754008E0
