"Time (s)","x","y","z","total_acceleration"
1.063779159E-2,-8.084711194E-2,2.535206527E-1,-1.485134304E-2,2.665136755E-1
2.064879145E-2,-1.240937036E-1,2.657577056E-1,3.116448998E-2,2.949536079E-1
3.065979155E-2,-8.412886173E-2,1.559347165E-1,1.091663468E-1,2.081119709E-1
4.067079164E-2,-1.681074500E-3,5.414404750E-2,2.905598402E-1,2.955662779E-1
5.068179150E-2,6.219420165E-2,-3.298297405E-2,3.612006372E-1,3.679971408E-1
6.069379160E-2,8.851427346E-2,-1.265553814E-1,3.512872678E-1,3.837366098E-1
7.070479146E-2,5.006122917E-2,-1.694090402E-1,3.094328982E-1,3.563064244E-1
8.071579156E-2,-3.261518419E-2,-1.845591760E-1,1.591951239E-1,2.459043049E-1
9.072679165E-2,-2.017327407E-1,-1.819407928E-1,-5.081698179E-2,2.763709760E-1
1.007377915E-1,-3.512752810E-1,-1.466464144E-1,-1.938679433E-1,4.271817802E-1
1.107487916E-1,-4.111393672E-1,-1.072905600E-1,-2.995189440E-1,5.198638681E-1
1.207597915E-1,-4.606535894E-1,-6.251550615E-2,-3.249379599E-1,5.671812723E-1
1.307707916E-1,-4.749444768E-1,-6.138816297E-2,-2.991154861E-1,5.646333648E-1
1.407817916E-1,-4.523370945E-1,-1.317670047E-1,-2.508262557E-1,5.337463828E-1
1.507937915E-1,-4.057040879E-1,-2.093923008E-1,-1.648061121E-1,4.853885013E-1
1.608047916E-1,-3.559150466E-1,-1.945333564E-1,-8.596342564E-2,4.146184484E-1
1.708157915E-1,-3.069536787E-1,-1.633899164E-1,-3.776833534E-2,3.497760324E-1
1.808267916E-1,-3.026229385E-1,-1.174512666E-1,1.731185138E-2,3.250771341E-1
1.908377917E-1,-2.744273722E-1,-2.515355229E-2,9.655390263E-2,2.920029793E-1
2.008487915E-1,-2.979100826E-1,2.216679454E-2,1.213414192E-1,3.224368529E-1
2.108597916E-1,-4.544417998E-1,1.024519891E-1,8.912735403E-2,4.742967897E-1
2.208707915E-1,-6.486877656E-1,1.542390239E-1,-3.688774467E-2,6.677920331E-1
2.308817916E-1,-7.865917155E-1,1.719297749E-1,-3.082482523E-1,8.621504274E-1
2.408937917E-1,-8.911396390E-1,2.197956669E-1,-8.054598033E-1,1.221149248E0
2.509047915E-1,-9.165437445E-1,3.533302850E-1,-1.379601417E0,1.693574561E0
2.609157916E-1,-8.813572472E-1,4.869760001E-1,-1.758991572E0,2.026817104E0
2.709267915E-1,-9.086049798E-1,4.818199253E-1,-1.809401588E0,2.081261049E0
2.809377916E-1,-1.399962883E0,1.307449114E-1,-1.099288822E0,1.784776238E0
2.909487917E-1,-1.405237949E0,5.980777752E-1,-1.094189465E-1,1.531131354E0
3.009597915E-1,-1.396958584E0,6.675310028E-1,3.759993553E-2,1.548710651E0
3.109707916E-1,-9.652890578E-1,3.819570833E-1,1.701609921E-1,1.051964325E0
3.209817915E-1,-6.013539702E-1,1.600874090E-1,3.163308585E-1,6.980829378E-1
3.309937916E-1,-3.729506171E-1,1.657668096E-1,3.291128719E-1,5.242957947E-1
3.410047914E-1,-2.496457028E-1,2.360936111E-1,2.209031296E-1,4.084866740E-1
3.510157915E-1,-5.850851159E-1,2.209721267E-1,-4.026012629E-1,7.438017549E-1
3.610267916E-1,-8.096095723E-1,8.513604462E-2,-1.184020824E0,1.436878950E0
3.710377915E-1,-1.077599891E0,-2.445650572E-1,-2.357300313E0,2.603439716E0
3.810487916E-1,-1.189177191E0,-6.220630538E-1,-2.810471220E0,3.114458751E0
3.910597914E-1,-1.075209111E0,-8.796451825E-1,-2.928247007E0,3.241061680E0
4.010707915E-1,-1.054327242E0,-1.096961045E0,-3.058984317E0,3.416476916E0
4.110817916E-1,-1.359552630E0,-1.300701427E0,-2.524542375E0,3.148574560E0
