"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.924708305E-3,6.529413226E-1,3.828704184E-1,-1.903549946E0,2.048517641E0
1.793770841E-2,8.639281592E-1,5.617189112E-1,-1.674986379E0,1.966590799E0
2.795170841E-2,7.723286024E-1,7.466394451E-1,-1.457186952E0,1.810346857E0
3.796570841E-2,4.996860927E-1,9.120399266E-1,-1.286833586E0,1.654522196E0
4.797970841E-2,8.112748593E-2,1.168036875E0,-1.023396640E0,1.555066717E0
5.799370841E-2,-2.617798448E-1,1.421995192E0,-6.249831533E-1,1.575183467E0
6.800770841E-2,-3.244663820E-1,1.544832621E0,-1.772109801E-1,1.588455222E0
7.802070840E-2,-3.151149300E-1,1.564333085E0,1.960162103E-1,1.607749289E0
8.803470840E-2,-2.667552406E-1,1.690131252E0,3.719238460E-1,1.751008097E0
9.804870840E-2,-1.653855711E-1,1.885589054E0,4.565254551E-1,1.947103992E0
1.080627084E-1,-4.656985670E-2,1.999545147E0,6.223331952E-1,2.094671371E0
1.180767084E-1,3.370919824E-4,1.975230963E0,8.954841202E-1,2.168739099E0
1.280897084E-1,-1.447829068E-1,1.903695542E0,1.304295711E0,2.312186434E0
1.381037084E-1,-5.146321607E-1,1.790910353E0,1.754785670E0,2.559585689E0
1.481177084E-1,-1.039908593E0,1.630066314E0,2.159080871E0,2.898302310E0
1.581317084E-1,-1.428214875E0,1.611798736E0,2.464556374E0,3.272878093E0
1.681457084E-1,-1.561175004E0,1.613130147E0,2.558991830E0,3.404099800E0
1.781597084E-1,-1.593749258E0,1.509356394E0,2.563404724E0,3.374794394E0
1.881727084E-1,-1.433705411E0,1.426391129E0,2.420806337E0,3.154426442E0
1.981867084E-1,-1.079840398E0,1.578755243E0,2.126555734E0,2.860203261E0
2.082007084E-1,-8.580239332E-1,1.831757247E0,1.810727152E0,2.714824580E0
2.182147084E-1,-8.423425779E-1,1.835363225E0,1.748485295E0,2.671198236E0
2.282287084E-1,-9.871298701E-1,1.476021710E0,2.059865901E0,2.719579563E0
2.382417084E-1,-1.405798112E0,9.118905303E-1,2.418534109E0,2.942298406E0
2.482557084E-1,-1.954208176E0,4.743091768E-1,2.842864795E0,3.482208930E0
2.582697084E-1,-2.333381400E0,2.675510466E-2,3.081786704E0,3.865591013E0
2.682837084E-1,-2.578005514E0,-4.044665247E-1,2.915507094E0,3.912785097E0
2.782977084E-1,-2.482831262E0,-6.740839773E-1,2.477519066E0,3.571686017E0
2.883117084E-1,-2.858857514E0,-9.150114816E-1,2.133162503E0,3.682484835E0
2.983247084E-1,-3.288565300E0,-1.109522619E0,1.688790486E0,3.859755883E0
3.083387084E-1,-2.719190921E0,-1.125801267E0,7.060138679E-1,3.026529917E0
3.183527084E-1,-2.421151323E0,-1.397143064E0,-9.445416749E-2,2.796945487E0
3.283667084E-1,-2.175368583E0,-1.492871339E0,-5.521350324E-1,2.695504851E0
3.383807084E-1,-1.869075640E0,-1.347541718E0,-1.053353096E0,2.533547942E0
3.483947084E-1,-1.739403107E0,-1.415769077E0,-1.624268800E0,2.769146869E0
3.584077084E-1,-3.897929663E0,-3.412944932E0,-1.437745544E0,5.376724004E0
3.684217084E-1,-3.671599440E0,-3.650735990E0,-1.808905159E0,5.484583265E0
3.784357083E-1,-1.744207180E0,-2.087281156E0,-1.090791063E0,2.930669967E0
