"Time (s)","x","y","z","total_acceleration"
9.814583347E-3,-8.600687045E-1,2.100559598E-1,-6.881155407E-1,1.121313819E0
1.985558332E-2,-7.559680930E-1,1.956764871E-1,-7.907715976E-1,1.111349074E0
2.989658335E-2,-7.817028585E-1,-6.304263264E-2,-8.483491302E-1,1.155305145E0
3.993758332E-2,-3.753108457E-1,-1.975569516E-2,-7.447130799E-1,8.341738966E-1
4.997758335E-2,-4.100281039E-1,-5.798391402E-3,-6.818853325E-1,7.956910669E-1
6.001858332E-2,-4.478356156E-1,-3.351153311E-1,-8.045382822E-1,9.798677825E-1
7.005958335E-2,-6.065041977E-1,-4.505601257E-2,-5.902547854E-1,8.475128895E-1
8.010058332E-2,-7.335592237E-1,-6.230763763E-2,-5.092720181E-1,8.951811910E-1
9.014158335E-2,-6.098105058E-1,-2.075431189E-1,-6.375973517E-1,9.063516878E-1
1.001825833E-1,-5.108194837E-1,-2.705158773E-1,-8.262782300E-1,1.008390350E0
1.102225833E-1,-6.279433063E-1,-2.086508739E-1,-6.778273648E-1,9.472581061E-1
1.202635833E-1,-6.673871613E-1,-2.661751968E-1,-7.142432392E-1,1.013113154E0
1.303045833E-1,-6.946348938E-1,-2.804593599E-1,-7.079147977E-1,1.030688337E0
1.403455833E-1,-6.470873827E-1,-3.412572464E-1,-7.123534191E-1,1.021090585E0
1.503865834E-1,-6.585666364E-1,-4.231413621E-1,-6.426218641E-1,1.012779091E0
1.604265833E-1,-7.502223265E-1,-5.155662534E-1,-5.709034252E-1,1.074510503E0
1.704675833E-1,-8.461973548E-1,-5.982248327E-1,-5.925182426E-1,1.193733966E0
1.805085833E-1,-1.004627371E0,-7.013460356E-1,-6.305233902E-1,1.377941276E0
1.905495833E-1,-1.293594429E0,-8.001844454E-1,-7.490838736E-1,1.695525978E0
2.005905833E-1,-1.473077053E0,-8.187022850E-1,-9.851634514E-1,1.952121016E0
2.106305833E-1,-1.619685752E0,-8.511128166E-1,-1.106759809E0,2.138385428E0
2.206715833E-1,-1.704339402E0,-7.746826914E-1,-1.301800704E0,2.280261200E0
2.307125833E-1,-1.562930923E0,-7.803001115E-1,-1.800925464E0,2.508974663E0
2.407535833E-1,-1.371368829E0,-7.783301845E-1,-2.087468267E0,2.616099025E0
2.507945833E-1,-1.183827573E0,-6.800686026E-1,-2.342864122E0,2.711632962E0
2.608345833E-1,-9.104468527E-1,-6.488073412E-1,-2.615047917E0,2.844000712E0
2.708755833E-1,-5.191684306E-1,-7.736936349E-1,-2.835495549E0,2.984656213E0
2.809165833E-1,-1.056787750E-1,-8.981346631E-1,-2.988432398E0,3.122265535E0
2.909575833E-1,2.559031007E-1,-9.471623969E-1,-3.051748973E0,3.205584938E0
3.009985833E-1,4.658099565E-1,-1.011427390E0,-2.964273457E0,3.166525131E0
3.110395834E-1,6.228898501E-1,-1.033051563E0,-2.717478272E0,2.973192805E0
3.210795833E-1,6.506837127E-1,-1.012802947E0,-2.314437298E0,2.608788821E0
3.311205833E-1,3.898943862E-1,-8.714444625E-1,-1.889626556E0,2.117102172E0
