"Time (s)","x","y","z","total_acceleration"
3.353666660E-3,-7.750390792E-1,6.823966715E-1,-1.410415658E0,1.748034073E0
1.339466666E-2,-5.787106276E-2,8.725580648E-1,-4.419670576E-1,9.798170831E-1
2.343466665E-2,-2.640889102E-1,8.937404805E-1,-4.661166430E-2,9.331064496E-1
3.347466665E-2,-1.376305926E-1,9.894753344E-1,6.351719266E-1,1.183827265E0
4.351566665E-2,-2.124468863E-1,9.074418224E-1,1.165100988E0,1.491993516E0
5.355566664E-2,-3.647846881E-1,8.338309322E-1,1.207987976E0,1.512473749E0
6.359666665E-2,-4.468936291E-1,6.994895446E-1,1.262822580E0,1.511198335E0
7.363666667E-2,-5.671223232E-1,6.985781099E-1,1.151850613E0,1.461642548E0
8.367666666E-2,-3.894198847E-1,8.677950691E-1,6.552863485E-1,1.155039535E0
9.371766666E-2,9.133350849E-3,1.091510709E0,1.220097560E-1,1.098346679E0
1.037576667E-1,3.008123481E-1,1.289405192E0,-2.867334223E-1,1.354721326E0
1.137986667E-1,5.192292416E-1,1.382825279E0,-5.235134965E-1,1.567121928E0
1.238386667E-1,8.733755055E-1,1.072485039E0,-4.292060941E-1,1.448180515E0
1.338796667E-1,8.661936629E-1,6.521309716E-1,-6.068538612E-1,1.242512726E0
1.439196666E-1,1.744742785E0,1.278313462E0,-2.677492672E-1,2.179427072E0
1.539596666E-1,1.355987729E0,1.564324461E0,-1.461464775E-1,2.075372866E0
1.640006666E-1,9.130956414E-1,1.581070156E0,-3.056117427E-1,1.851195566E0
1.740406667E-1,5.664858538E-1,1.813104922E0,5.636657417E-2,1.900377034E0
1.840816667E-1,1.470516264E-1,1.797203857E0,6.261069882E-1,1.908815299E0
1.941216667E-1,-5.727610856E-2,1.568085682E0,8.595243287E-1,1.789121385E0
2.041616667E-1,-4.475458860E-2,1.506051402E0,1.801599063E0,2.348606605E0
2.142026667E-1,3.215676248E-3,1.788776266E0,2.374106380E0,2.972559835E0
2.242426666E-1,4.201250759E-1,1.737366230E0,2.386213040E0,2.981435756E0
2.342836667E-1,6.366261292E-1,1.337747924E0,2.171859961E0,2.629037472E0
2.443236666E-1,2.411260173E-1,1.078314421E0,2.415592960E0,2.656311934E0
2.543646666E-1,-1.194792272E-1,1.058556314E0,2.627346951E0,2.835095899E0
2.644046666E-1,-1.110849644E-1,1.122022065E0,3.035360981E0,3.238007052E0
2.744446667E-1,-2.973923117E-1,9.902249475E-1,2.747803102E0,2.935883090E0
2.844856667E-1,-5.952677496E-1,9.362852602E-1,2.280448018E0,2.536023846E0
2.945256667E-1,-8.829327795E-1,9.259403662E-1,2.157424940E0,2.508269967E0
3.045666667E-1,-1.442631916E0,1.083373870E0,7.113652396E-1,1.939310778E0
3.146066667E-1,-1.533187453E0,1.364845529E0,-5.266236305E-1,2.119150663E0
3.246466666E-1,-1.468362735E0,2.177319653E0,-5.027798545E-1,2.673873141E0
3.346876666E-1,-1.149945151E0,1.893505307E0,2.505426657E-1,2.229463573E0
3.447276666E-1,-9.823953795E-1,1.341954411E0,2.662178814E-1,1.684284502E0
3.547686666E-1,-8.074618900E-1,5.815791985E-1,1.080195909E0,1.468690665E0
3.648086667E-1,-3.655299157E-1,-5.218446281E-1,2.083483974E0,2.178724261E0
3.748496667E-1,1.500371417E0,-2.113933350E0,1.245324787E0,2.875875940E0
3.848896667E-1,5.055102704E0,-4.288712533E0,-1.194666849E0,6.736048353E0
3.949306667E-1,6.243958005E0,-3.191570809E0,-1.265743264E0,7.125674832E0
4.049706667E-1,3.613069981E0,9.123892978E-1,1.483801138E-1,3.729443065E0
4.150106666E-1,-5.515620418E-1,3.398248540E0,-3.039285632E0,4.592338291E0
4.250516667E-1,-2.577262917E0,1.477984328E0,-3.136223112E0,4.320025142E0
4.350916666E-1,-2.287736280E0,6.507936403E-2,-3.253667362E0,3.977979879E0
4.451326666E-1,-1.195245431E0,2.269431572E-1,-3.301146753E0,3.518193389E0
4.551726666E-1,1.489391807E-1,7.513964474E-3,-2.989459754E0,2.993177068E0
4.652136666E-1,1.646284152E0,-4.585602862E-1,-1.574574484E0,2.323749954E0
4.752536667E-1,2.326512968E0,-1.032737714E0,1.403146400E0,2.906549431E0
4.852936667E-1,1.269092257E0,-2.203513278E0,1.639452265E0,3.025536259E0
4.953346667E-1,8.685527220E-1,-2.738578242E0,1.146899775E0,3.093472759E0
5.053746667E-1,1.161696008E0,-2.548945729E0,-1.111994821E0,3.013833842E0
5.154156667E-1,5.750906748E0,-2.253029255E0,-2.841865506E0,6.798916737E0
5.254556666E-1,8.708143666E0,-2.500854719E0,-3.305260270E0,9.644209967E0
5.354966666E-1,5.781032773E0,-4.562230371E0,-2.983794386E0,7.945899245E0
5.455366666E-1,5.387494694E0,-4.994527888E0,-2.720952687E0,7.834155438E0
5.555766667E-1,5.389983269E0,-4.610814009E0,-3.386670468E0,7.860093023E0
5.656176667E-1,6.026355044E0,-4.817658386E0,-4.458903639E0,8.911150829E0
5.756576667E-1,6.857232694E0,-6.082865460E0,-5.053556115E0,1.046715443E1
5.856986667E-1,8.748791170E0,-6.970927709E0,-5.993298395E0,1.269073700E1
5.957386667E-1,9.831763337E0,-7.954257474E0,-6.785201429E0,1.435175044E1
6.057796667E-1,1.010755311E1,-8.834526554E0,-7.005675958E0,1.514235731E1
6.158196667E-1,9.625119227E0,-8.757762553E0,-6.746302827E0,1.465789640E1
6.258606667E-1,8.647607442E0,-8.573960592E0,-6.373803030E0,1.374479100E1
6.359006666E-1,7.815465040E0,-8.911216296E0,-6.073745558E0,1.331847044E1
6.459406666E-1,6.839013939E0,-8.965041085E0,-5.541397503E0,1.256388314E1
6.559816666E-1,5.884655959E0,-8.798886606E0,-4.473224932E0,1.149170669E1
6.660216667E-1,4.875671536E0,-8.697552604E0,-3.238748484E0,1.048375343E1
6.760626667E-1,4.108963569E0,-8.590521660E0,-2.006635481E0,9.731763970E0
6.861026667E-1,3.819702396E0,-8.409795919E0,-1.290365889E0,9.326298190E0
6.961436667E-1,2.828218689E0,-8.605551928E0,-4.568795040E-1,9.069899880E0
7.061836667E-1,1.350106891E0,-8.573052519E0,8.146165431E-1,8.716858277E0
7.162246667E-1,-4.677380759E-1,-8.117501795E0,1.981440998E0,8.368914071E0
7.262646666E-1,-1.779801813E0,-7.296117684E0,2.034570554E0,7.780777923E0
7.363056667E-1,-2.305511523E0,-5.896165034E0,1.148509806E0,6.434222584E0
7.463456666E-1,-2.553460364E0,-5.361550013E0,4.179127818E-1,5.953236890E0
7.563856667E-1,-2.455096748E0,-5.818630954E0,-1.623052579E-1,6.317460662E0
7.664266666E-1,-2.767157385E0,-6.860503042E0,-4.334426942E-1,7.410231747E0
7.764666667E-1,-3.956826620E0,-7.735785617E0,4.932148330E-1,8.702994707E0
7.865076667E-1,-5.321041088E0,-7.936601222E0,1.424306158E0,9.660836674E0
7.965476667E-1,-6.551932608E0,-8.457049023E0,1.871886835E0,1.086063807E1
8.065886667E-1,-8.076603445E0,-8.530074899E0,2.274049995E0,1.196515793E1
8.166286667E-1,-9.250282298E0,-8.087568144E0,2.252215176E0,1.249195558E1
8.266696667E-1,-1.119290159E1,-7.686233388E0,1.778318959E0,1.369385438E1
8.367096666E-1,-1.423374024E1,-6.951293929E0,1.256428649E0,1.589020017E1
8.467506666E-1,-1.651137458E1,-6.117590904E0,9.532848702E-1,1.763403416E1
8.567906666E-1,-1.825913891E1,-4.838176265E0,1.395414627E-1,1.888977435E1
8.668306667E-1,-2.030356524E1,-3.193886599E0,-1.482835763E0,2.060666093E1
8.768716667E-1,-2.256136933E1,-1.750899026E0,-2.455483249E0,2.276203926E1
8.869116667E-1,-2.466026715E1,-3.060140312E-1,-9.133152044E-1,2.467907140E1
8.969526667E-1,-2.529667342E1,8.790323943E-1,6.961029835E-1,2.532151148E1
9.069926667E-1,-2.506352856E1,3.039794340E0,3.810390705E-1,2.525006939E1
9.170336667E-1,-2.360712981E1,4.550378065E0,-8.810175240E-2,2.404184437E1
9.270736667E-1,-2.122402691E1,4.601229545E0,-1.038697196E0,2.174188408E1
9.371146667E-1,-1.872478661E1,6.490492405E0,-8.044280037E0,2.138818754E1
9.471539583E-1,-1.574952448E1,6.906245225E0,-1.098998683E1,2.040890871E1
9.571949583E-1,-1.225405896E1,5.774866299E0,-8.399078557E0,1.593912050E1
9.672349583E-1,-8.642102873E0,3.915585623E0,-7.856841692E0,1.231859222E1
9.772749583E-1,-5.591865991E0,2.275907655E0,-8.557394845E0,1.047271347E1
9.873159583E-1,-3.660817174E0,1.646855425E0,-9.135103844E0,9.978168039E0
9.973559583E-1,-2.497708917E0,1.446281310E0,-8.556514254E0,9.030183589E0
1.007396958E0,-2.212099330E0,1.082307923E0,-7.399537972E0,7.798585518E0
1.017436958E0,-2.878510006E0,5.462539029E-1,-7.343704664E0,7.906592906E0
1.027477958E0,-2.434815096E0,-8.385854495E-1,-4.683337902E0,5.344642552E0
1.037517958E0,-2.684858994E0,-1.047950268E0,4.071403103E-1,2.910744032E0
1.047558958E0,-1.359514477E0,-7.174410814E-1,2.052721042E0,2.564500925E0
1.057598958E0,-1.375286756E0,-1.025843115E0,2.529676230E0,3.056636973E0
1.067639958E0,-2.913612596E0,-7.922316474E-1,3.739650505E0,4.806428533E0
1.077679958E0,-2.252858516E0,-2.081339800E-1,4.313672835E0,4.870981890E0
1.087720958E0,-2.718342490E0,7.116470754E-2,4.209319332E0,5.011269255E0
1.097760958E0,-3.223255409E0,4.879074615E-1,8.430349467E0,9.038706835E0
1.107801958E0,2.152332015E0,5.575635874E-1,6.354054059E0,6.731820946E0
1.117841958E0,6.101787634E0,-3.452862704E-1,9.982582909E-1,6.192540235E0
1.127882958E0,7.316698714E0,1.869699830E-1,1.245380335E0,7.424285152E0
1.137922958E0,8.892400541E0,1.747727204E0,2.353951027E0,9.363248539E0
1.147962958E0,9.480124066E0,-1.163005346E-1,3.998505573E0,1.028952501E1
1.158003958E0,1.579212729E1,-3.678646212E0,4.915672338E-1,1.622237223E1
1.168043958E0,1.759507998E1,-1.714710023E0,-1.496251615E0,1.774164138E1
1.178084958E0,1.407397676E1,-8.144308940E-1,-1.556451039E0,1.418318228E1
1.188124958E0,1.113711681E1,-2.355463117E-1,-9.677445960E-1,1.118156440E1
1.198165958E0,9.679456818E0,-9.367631239E-1,-1.689739891E-1,9.726148346E0
1.208205958E0,8.242355052E0,-7.573266935E-1,-2.077679809E-1,8.279681640E0
1.218246958E0,6.084612608E0,-4.115071571E-1,5.117881115E-1,6.119949003E0
1.228286958E0,5.031258343E0,5.870955348E-1,-4.961642782E-1,5.089638560E0
1.238327958E0,5.127589467E0,-8.610258937E-2,-2.024722381E0,5.513536806E0
1.248367958E0,4.850561253E0,-3.720866910E-1,-1.870325482E0,5.211958402E0
1.258408958E0,3.204209858E0,-2.430447811E-1,-1.360931257E0,3.489722835E0
1.268448958E0,9.706746358E-1,1.764935267E-1,-1.187381219E0,1.543772448E0
