"Time (s)","x","y","z","total_acceleration"
9.491874996E-3,1.802252563E-1,1.799305201E-1,3.440419829E-1,4.280432467E-1
1.950787500E-2,2.136555240E-1,1.176500720E-1,2.848245987E-1,3.749870324E-1
2.952287500E-2,2.029378518E-1,1.427814049E-1,2.288378012E-1,3.375456125E-1
3.953787500E-2,2.601096242E-1,1.623151982E-1,2.027890402E-1,3.675957494E-1
4.955287500E-2,3.204736108E-1,2.226251346E-1,2.116712531E-1,4.439256753E-1
5.956787500E-2,4.273560351E-1,3.104754567E-1,3.474017930E-1,6.322311253E-1
6.958287500E-2,5.178791195E-1,3.568544018E-1,4.114843529E-1,7.515738282E-1
7.959787500E-2,5.435849413E-1,3.151953292E-1,4.903094977E-1,7.970169933E-1
8.961387500E-2,5.955722433E-1,3.444881254E-1,5.663978532E-1,8.911705189E-1
9.962887500E-2,6.581497300E-1,4.022720647E-1,5.518336084E-1,9.484219591E-1
1.096438750E-1,6.441102728E-1,3.187393266E-1,3.091039923E-1,7.823158441E-1
1.196588750E-1,5.259655264E-1,3.079576457E-1,8.778337151E-2,6.157788294E-1
1.296738750E-1,5.962686467E-1,3.951361227E-1,-2.990733862E-2,7.159352648E-1
1.396888750E-1,6.291644973E-1,1.736523646E-1,-1.781938970E-1,6.765768052E-1
1.497038750E-1,5.602413198E-1,4.479084134E-2,-4.957327902E-2,5.642110119E-1
1.597198750E-1,6.255900943E-1,1.213238776E-1,1.151860553E-1,6.475726034E-1
1.697348750E-1,6.437038913E-1,2.126608944E-1,4.828747630E-2,6.796403726E-1
1.797498750E-1,6.281970754E-1,1.784131676E-1,-1.587612605E-1,6.720624687E-1
1.897648750E-1,5.355833191E-1,2.545877695E-3,-3.917850834E-1,6.635898769E-1
1.997798750E-1,4.616061008E-1,-1.148399001E-1,-5.747927007E-1,7.460931870E-1
2.097948750E-1,3.420843351E-1,-1.128044844E-2,-6.459208632E-1,7.310011644E-1
2.198098750E-1,2.567173254E-1,1.189078081E-1,-6.608388644E-1,7.188538494E-1
2.298258750E-1,1.220024469E-1,1.041763330E-1,-4.848201317E-1,5.106739326E-1
2.398408750E-1,1.229081807E-1,1.501594216E-1,-3.137221232E-1,3.688845935E-1
2.498558750E-1,1.688605714E-1,1.878809792E-1,-2.429705215E-1,3.504965466E-1
2.598708750E-1,9.898254365E-2,1.960115325E-1,-4.071147287E-1,4.625586094E-1
