"Time (s)","x","y","z","total_acceleration"
2.501849629E1,-1.291232008E0,-1.047933662E1,2.893652358E-1,1.056255217E1
2.502850729E1,-1.453010578E0,-1.078677737E1,7.536973268E-1,1.091026423E1
2.503851829E1,-1.332540978E0,-1.042802146E1,6.467780650E-1,1.053269286E1
2.504853029E1,-1.058053672E0,-1.051432285E1,3.167308446E-1,1.057217012E1
2.505854129E1,-9.554212967E-1,-1.096040577E1,-5.402819954E-2,1.100210177E1
2.506855229E1,-1.613622336E0,-1.198384743E1,-3.421375448E-1,1.209683572E1
2.507856329E1,-1.321557276E0,-1.215391721E1,8.833352141E-3,1.222555909E1
2.508857429E1,-1.468552331E0,-1.245974296E1,-1.336685193E-1,1.254670107E1
2.509858529E1,-1.791413506E0,-1.295354266E1,-3.313769138E-1,1.308102597E1
2.510859729E1,-1.978217428E0,-1.324934394E1,-5.201180184E-1,1.340630381E1
2.511860829E1,-1.836131403E0,-1.303552296E1,-4.813440350E-1,1.317300002E1
2.512861929E1,-1.630216149E0,-1.283395540E1,-4.322086394E-1,1.294429682E1
2.513863029E1,-1.394919952E0,-1.272946800E1,-3.228318659E-1,1.280973761E1
2.514864129E1,-1.174789240E0,-1.276345669E1,-1.825208366E-1,1.281870783E1
2.515865329E1,-6.859142102E-1,-1.230557293E1,3.234087668E-2,1.232471701E1
2.516866429E1,5.401657820E-3,-1.136819994E1,3.436595750E-1,1.137339444E1
2.517867529E1,8.536627874E-2,-9.695981634E0,7.398066813E-1,9.724539124E0
2.518868629E1,-5.513700339E-1,-7.248473402E0,4.966772617E-1,7.286361497E0
2.519869729E1,-5.982441285E-1,-6.240565451E0,1.910109206E-1,6.272084052E0
2.520870929E1,-2.434810199E-1,-6.738200340E0,2.339621548E-1,6.746655847E0
2.521872029E1,2.332289871E-2,-6.585513167E0,4.842551444E-1,6.603334815E0
2.522873129E1,3.257350231E0,-4.365180373E-2,1.228573099E0,3.481612826E0
2.523874229E1,4.960176666E0,5.874938471E0,1.751960149E0,7.885912690E0
2.524875329E1,2.592795461E0,6.521839913E0,1.644219938E0,7.208359269E0
2.525876529E1,2.219513526E-1,5.828395219E0,1.929872795E0,6.143603360E0
2.526877629E1,-1.509212407E0,7.816494150E0,2.222019570E0,8.265148144E0
2.527878729E1,4.308373211E-1,2.523143721E1,8.044447267E-1,2.524793409E1
2.528879829E1,-7.682525083E-2,4.104231301E1,3.258096628E0,4.117150171E1
2.529880929E1,-4.495538199E0,3.704186558E1,5.157320219E0,3.766839021E1
2.530882029E1,-2.178792859E0,2.804192480E1,-3.522292542E-1,2.812864643E1
2.531883229E1,1.382761690E0,2.826617020E1,-1.433293240E1,3.172256860E1
2.532884329E1,4.678380632E0,3.231887069E1,-1.529160095E1,3.605869808E1
2.533885429E1,5.917169402E0,2.901519384E1,-4.030748874E0,2.988546978E1
2.534886529E1,3.483357395E0,1.692520074E1,7.488119781E-1,1.729615328E1
2.535887629E1,2.052840910E0,1.123474894E1,-2.346475947E-1,1.142316939E1
2.536888829E1,5.285850790E-1,8.275346212E0,-7.126679993E-1,8.322779150E0
2.537889929E1,-4.878482585E-1,4.594433327E0,-1.340213403E0,4.810715693E0
2.538891029E1,-1.077307823E0,1.380835179E0,-1.389843400E0,2.235835998E0
2.539892129E1,-1.576025470E0,-1.008839997E0,-8.216039658E-1,2.043684785E0
2.540893229E1,-2.207199217E0,-2.500537215E0,-4.902270520E-1,3.371162605E0
2.541894429E1,-2.357692953E0,-3.303019617E0,-7.797494134E-2,4.058908072E0
2.542895529E1,-1.938469956E0,-3.904560698E0,2.167808608E-1,4.364659661E0
2.543896629E1,-1.289982750E0,-4.817169558E0,1.833289218E-1,4.990269286E0
2.544897729E1,-6.761500910E-1,-6.123607689E0,-6.590654039E-1,6.195975894E0
2.545898829E1,-1.561554489E-1,-7.359906714E0,-1.558291742E0,7.524685011E0
2.546900029E1,3.773869361E-1,-8.463504349E0,-9.391984892E-1,8.523814907E0
2.547901129E1,4.278653276E-1,-9.770341260E0,4.339388305E-1,9.789327862E0
2.548902229E1,-4.021307448E-2,-1.127120750E1,1.519256900E0,1.137320874E1
2.549903329E1,-4.349908908E-1,-1.225829351E1,1.896066095E0,1.241168979E1
2.550904429E1,-8.363205305E-1,-1.286886445E1,1.763665836E0,1.301605245E1
2.551905529E1,-1.703277255E0,-1.315907463E1,1.561560920E0,1.336042181E1
2.552906729E1,-2.787475583E0,-1.346229954E1,1.247812777E0,1.380436763E1
2.553907879E1,-3.067830570E0,-1.370022508E1,7.510257339E-1,1.405958005E1
2.554908979E1,-2.753907887E0,-1.327359702E1,2.385517440E-1,1.355836618E1
2.555910079E1,-2.621379575E0,-1.236760838E1,-4.156470223E-1,1.264919485E1
2.556911179E1,-2.191030204E0,-1.138733437E1,-9.110412953E-1,1.163193852E1
2.557912379E1,-1.384936270E0,-1.057831712E1,-7.730574578E-1,1.069656297E1
2.558913479E1,-5.024655667E-1,-9.875994015E0,-1.989942703E-1,9.890769846E0
2.559914579E1,2.553495155E-1,-9.231047298E0,4.396082177E-1,9.245036126E0
2.560915679E1,8.001604718E-1,-8.753849596E0,8.252741899E-1,8.828998642E0
2.561916779E1,1.153606093E0,-8.408144081E0,8.888978896E-1,8.533336590E0
2.562917979E1,1.365943783E0,-8.251775501E0,7.313773352E-1,8.395982023E0
2.563919079E1,1.310002886E0,-8.430085173E0,5.107870317E-1,8.546540058E0
2.564920179E1,1.129886278E0,-8.808607017E0,2.902931341E-1,8.885520282E0
2.565921279E1,9.487022611E-1,-8.962029769E0,8.512727380E-2,9.012505768E0
2.566922379E1,7.649874231E-1,-9.018106906E0,-1.108064908E-1,9.051173184E0
2.567923579E1,7.408900242E-1,-8.925762414E0,-1.196217531E-1,8.957257508E0
2.568924679E1,6.931858076E-1,-8.578916692E0,1.937615240E-1,8.609056957E0
2.569925779E1,4.143820868E-1,-7.885649754E0,7.642018497E-1,7.933422277E0
2.570926879E1,2.646081247E-1,-6.625146765E0,1.312630917E0,6.759111409E0
2.571927979E1,7.553354242E-1,-4.501656725E0,1.033337565E0,4.680088824E0
2.572929079E1,1.860089931E0,-1.898648810E0,3.193298954E-1,2.677083009E0
2.573930279E1,2.775102582E0,1.098512896E0,-2.990529209E-1,2.999559563E0
2.574931379E1,3.292843415E0,3.929478607E0,-6.151643626E-1,5.163530485E0
2.575932479E1,3.837378236E0,6.442832919E0,-1.315290231E-1,7.500191174E0
2.576933579E1,3.823524136E0,9.916503525E0,1.032076832E0,1.067808792E1
2.577934679E1,2.301293927E0,1.394453110E1,1.931798868E0,1.426456268E1
2.578935879E1,-2.866861183E0,1.902166612E1,4.153638051E0,1.967982175E1
2.579936979E1,-8.877198365E0,2.336938203E1,9.508655555E0,2.674597535E1
2.580938079E1,-7.589571896E-1,2.477938195E1,9.350957903E0,2.649592798E1
2.581939179E1,2.099717599E0,2.486818244E1,8.191983043E0,2.626678317E1
2.582940279E1,4.451627948E0,2.518847888E1,4.506895831E0,2.597284293E1
2.583941479E1,5.110070039E0,2.395918599E1,1.741446271E-1,2.449868844E1
2.584942579E1,7.043103400E0,2.249995018E1,-6.509207003E0,2.445859438E1
2.585943679E1,9.717129843E0,2.161719837E1,-1.823996121E1,2.990688989E1
2.586944779E1,5.395194892E0,1.651223763E1,-1.232754794E1,2.130095203E1
2.587945879E1,2.546811057E-1,1.286500880E1,-8.314647833E-1,1.289436495E1
2.588946979E1,-4.241235481E-1,1.072540734E1,3.511700896E0,1.129363921E1
2.589948179E1,4.108720033E-1,8.178698169E0,4.097556821E0,9.156958635E0
2.590949279E1,8.353192679E-1,5.731820267E0,3.613017356E0,6.826815968E0
2.591950379E1,4.723645391E-1,3.447679732E0,3.062815998E0,4.635781016E0
2.592951479E1,-2.799813500E-1,9.113979024E-1,2.154859182E0,2.356364527E0
2.593952579E1,-6.041840225E-1,-1.332786269E0,8.774454600E-1,1.706243859E0
2.594953779E1,-1.220960024E-1,-2.785347489E0,-3.304377779E-1,2.807535786E0
2.595954879E1,2.034942144E-1,-4.573843526E0,-1.355247179E0,4.774740769E0
2.596955979E1,2.914607500E-1,-6.339842402E0,-1.984810456E0,6.649663420E0
2.597957079E1,2.820989922E-1,-7.702097468E0,-1.912461687E0,7.940994582E0
2.598958179E1,1.795432151E-1,-8.895775554E0,-1.479045890E0,9.019680438E0
2.599959379E1,4.181010622E-1,-1.023876814E1,-1.006826801E0,1.029664420E1
2.600960479E1,2.090733352E-1,-1.135965950E1,-6.529275817E-1,1.138032908E1
2.601961579E1,-6.280454133E-1,-1.217127174E1,-9.571555808E-2,1.218784059E1
2.602962679E1,-1.002098157E0,-1.304332548E1,2.836022383E-1,1.308483743E1
2.603963779E1,-1.426437906E0,-1.386054287E1,2.374384707E-1,1.393577234E1
2.604964979E1,-1.911816739E0,-1.446629219E1,1.009739591E-1,1.459242436E1
2.605966079E1,-2.322148314E0,-1.472758555E1,2.401305288E-3,1.490953234E1
2.606967179E1,-2.407992164E0,-1.429566810E1,-2.525726728E-1,1.449925328E1
2.607968279E1,-2.935066030E0,-1.392414888E1,2.977986932E-2,1.423015887E1
2.608969379E1,-3.977458228E0,-1.341407872E1,-1.571265252E-1,1.399222536E1
2.609970579E1,-3.687955564E0,-1.213589141E1,-6.153902113E-1,1.269880237E1
2.610971679E1,-3.220963885E0,-1.134762593E1,-7.969605830E-1,1.182279023E1
2.611972779E1,-2.675570108E0,-1.058785159E1,-7.784154077E-1,1.094838834E1
2.612973879E1,-2.194151886E0,-9.803578003E0,-5.920547046E-1,1.006354674E1
2.613974979E1,-1.752612260E0,-8.923988369E0,-2.935303719E-1,9.099196570E0
2.614976079E1,-1.017455065E0,-8.167700726E0,-8.202035576E-3,8.230833325E0
2.615977279E1,-1.724034724E-1,-7.634697198E0,1.156291281E-1,7.637518862E0
2.616978379E1,5.771953947E-1,-7.206885080E0,1.920211002E-2,7.229987262E0
2.617979479E1,8.807211433E-1,-7.190953757E0,-1.806381793E-1,7.246938375E0
2.618980579E1,6.496983837E-1,-7.489759340E0,-9.196062237E-3,7.517891163E0
2.619981679E1,3.565835296E-1,-7.519231646E0,5.507685381E-1,7.547803809E0
2.620982879E1,6.278067738E-2,-7.064582562E0,9.310585803E-1,7.125948237E0
2.621983979E1,-2.977245066E-2,-6.043075742E0,7.203785764E-1,6.085934285E0
2.622985079E1,-1.628869097E-1,-4.644218860E0,-2.373238653E-1,4.653130514E0
2.623986179E1,-6.363762338E-2,-2.897061467E0,-1.838634158E0,3.431849422E0
2.624987279E1,1.510049289E-1,-6.152504629E-1,-3.408036779E0,3.466417504E0
2.625988479E1,5.261394080E-1,2.195959845E0,-4.137554115E0,4.713641519E0
2.626989579E1,7.200345408E-1,5.597772848E0,-3.600366905E0,6.694486720E0
2.627990679E1,-5.187096434E-1,9.712049782E0,-2.190288485E0,9.969470112E0
2.628991779E1,-3.005052231E0,1.390508228E1,-2.743747473E-2,1.422611700E1
2.629992879E1,-4.810606351E0,1.840920302E1,3.851113054E0,1.941318524E1
2.630994079E1,-4.824263985E0,2.210174076E1,8.960743967E0,2.433218856E1
2.631995179E1,9.198847704E-1,2.344633840E1,9.410621138E0,2.528115430E1
2.632996279E1,4.409992557E0,2.386673917E1,6.997517338E0,2.525934524E1
2.633997379E1,6.700838971E0,2.413053514E1,-4.184378618E-1,2.504713675E1
2.634998479E1,6.587578404E0,2.137114519E1,-8.445542287E0,2.390500409E1
2.635999579E1,2.719969478E0,1.714176991E1,-6.886238392E0,1.867240715E1
2.637000779E1,-5.309140981E-1,1.533802667E1,-1.748006993E0,1.544643844E1
2.638001879E1,-1.231049102E0,1.410727666E1,1.489914987E0,1.423905135E1
2.639002979E1,-5.815725473E-1,1.307904028E1,2.517211720E0,1.333176193E1
2.640004079E1,3.428471044E-2,1.203403291E1,1.932791287E0,1.218830611E1
2.641005179E1,6.987982576E-1,1.098111777E1,4.462301894E-1,1.101237431E1
2.642006379E1,1.440673830E0,9.723252463E0,-1.251533360E0,9.908759523E0
2.643007479E1,1.987574435E0,8.178850781E0,-2.670716919E0,8.830446257E0
2.644008579E1,2.215480482E0,6.286005333E0,-3.198514670E0,7.392747318E0
2.645009679E1,2.235699569E0,4.487953776E0,-2.668648759E0,5.679944353E0
