x,y,z,total_acceleration,Walking(0)/Jumping(1)
0.0,0.0,0.0,0.0,1
-0.1458297968,0.02274107933,-0.1440706253,0.206251864,1
-0.2657525539,0.09853100777,-0.206738472,0.3508184363,1
-0.2123687267,0.2089996338,-0.3779735565,0.4812954731,1
-0.08005332947,0.142105341,-0.621887207,0.6429200275,1
-0.02777957916,-0.2386236191,-0.8304018974,0.864453728,1
0.1351243258,-0.5575278997,-0.9708628654,1.127683753,1
0.2548666,-0.4038668871,-0.8164844513,0.9458923329,1
0.3575437069,0.0670030117,-0.4818558693,0.6037482792,1
0.1987557411,0.3987952471,-0.1647138596,0.4750496282,1
-0.1142706871,0.5668622255,0.2370519638,0.6249673641,1
-0.3055453897,0.637244463,0.4631404877,0.8449482836,1
-0.251318872,0.6518523693,0.5422763824,0.8843847363,1
0.1957305074,0.6898452044,0.6151828766,0.9447998778,1
0.8557835817,0.8641301394,0.524430275,1.324429519,1
0.9570093155,0.5499212742,0.4229135513,1.182005123,1
1.16968143,0.222413063,0.1158046722,1.19625789,1
1.599216104,-0.006590604782,-0.3112897873,1.629244277,1
1.725395918,-0.1405535936,-0.5692710876,1.822310609,1
1.924204826,-0.102651,-0.5775032043,2.011619097,1
2.228150845,-0.02797222137,-0.4123477936,2.266157394,1
2.542136192,0.05251562595,-0.4105882645,2.575615855,1
2.656556129,0.03780817986,-0.4645042419,2.697125158,1
2.81886673,0.03192162514,-0.3860054016,2.84535214,1
2.824027538,0.01762330532,-0.3637542725,2.847412736,1
2.553026199,0.06212329865,-0.3581571579,2.578774637,1
2.250873327,0.1065059304,-0.2852687836,2.271376791,1
1.991548419,0.1277577281,-0.04518985748,1.996153618,1
1.706682563,0.1128726602,0.2882547379,1.7345306,1
1.438943982,0.1355398297,0.5930271149,1.562245816,1
1.078496218,0.1042224169,0.7319974899,1.307607253,1
0.6508735418,0.008277505636,0.7875118256,1.021704341,1
0.2279322147,-0.08830422163,0.8158073425,0.8516409749,1
-0.2205951214,-0.2461079657,0.8313655853,0.8946508117,1
-0.8823878765,-0.623765707,1.505618095,1.853261415,1
-1.065470934,-1.066483855,2.329052925,2.77436545,1
-0.3831288815,-1.40480721,1.522741318,2.106896333,1
0.5925049782,-1.633862019,0.262298584,1.757659749,1
1.489456654,-1.780534744,0.1363124847,2.32537442,1
2.30229497,-1.903909206,0.6464481354,3.056685719,1
2.961874485,-1.826002359,0.5535964966,3.523273217,1
3.148384094,-1.512333155,-0.1912212372,3.49800508,1
2.709372282,-1.129709959,-0.9174766541,3.075500962,1
1.553008556,-0.8410218954,-1.463916779,2.293949812,1
0.05034780502,-1.438234568,-2.056351662,2.509907514,1
-0.3570125103,-1.319040418,-2.392642975,2.755370385,1
0.8278505802,-0.371042043,-2.348118305,2.517273993,1
1.336784124,0.3420073092,-2.239807606,2.630722126,1
1.245694876,0.7545772791,-1.894537926,2.389647787,1
0.9036750793,0.8240864277,-1.476225853,1.917026306,1
0.5751547813,0.5883586407,-1.072849274,1.352026064,1
0.1910383701,0.3401246667,-0.6170763969,0.7300436476,1
-0.475903511,0.2303541303,0.1539459229,0.5506782403,1
-1.057748079,0.1112753749,0.9906673431,1.453490624,1
-1.50730443,0.09922212362,1.657945633,2.242898882,1
-1.882019758,0.0438285768,1.906023979,2.678963741,1
-1.792703867,-0.2296438217,1.692511559,2.476109613,1
-1.216167212,-0.7390326262,1.169808388,1.842195313,1
-0.2988390923,-1.240341544,0.5397057533,1.385292117,1
0.8251233101,-1.604967117,0.02899026871,1.804879043,1
1.89269495,-1.590208888,-0.4238276482,2.50812447,1
2.376134872,-1.247430086,-0.3795957565,2.710385893,1
2.544500828,-0.6579715014,-0.2795267105,2.643018377,1
2.506975651,0.01118683815,-0.1646738052,2.512403137,1
2.758812904,0.549064219,-0.1691393852,2.818000761,1
2.929520607,1.05341661,0.3933653831,3.137915529,1
2.631980419,1.412862778,1.299699306,3.25771706,1
1.789211273,1.330972314,1.073013306,2.474696312,1
1.097026825,1.052266359,0.6137771606,1.639345829,1
0.9982514381,0.659522295,0.09762144089,1.200418901,1
0.9865484238,0.4397902787,-0.6758713722,1.274164586,1
0.602496624,0.5170401335,-0.7398619652,1.085231961,1
0.05310916901,0.441688031,-0.4126620293,0.6067939114,1
-0.1565232277,0.299734652,0.1467943192,0.3686311905,1
0.2946224213,0.4409064353,0.9259505272,1.067045095,1
0.9042291641,0.7482100725,1.661151409,2.033930357,1
1.352265835,1.117621183,2.271208286,2.869858372,1
1.881774426,1.463929176,2.632422924,3.551593174,1
2.129991055,1.690810561,2.700499535,3.832544844,1
1.976856709,1.827258348,2.439358711,3.632809717,1
2.405398369,1.507180333,2.065153122,3.510326379,1
1.957610607,1.343481541,1.68865633,2.913544601,1
0.7109584808,1.655554414,1.546602249,2.374510664,1
0.00405216217,1.837891936,1.334753513,2.271437899,1
-0.3289737701,1.667706728,0.7305607796,1.850186078,1
-0.3253464699,1.235299349,0.1950821877,1.292235221,1
-0.3130011559,0.7435082197,0.06342697144,0.8091953887,1
-0.4066939354,0.3087047338,-0.004277706146,0.5106044149,1
-0.7989034653,-0.1057305336,0.06406211853,0.8084118057,1
-1.091622353,-0.57188797,0.09249448776,1.235819745,1
-1.415315628,-1.047211289,0.1257405281,1.765100703,1
-1.862878799,-1.667257309,0.08664035797,2.501513723,1
-2.145934105,-2.375952959,0.10627985,3.203354656,1
-2.238777161,-2.98377943,0.3651051521,3.748114811,1
-2.269767523,-3.519726753,0.7283725739,4.250981961,1
-2.215928078,-3.88259697,1.023962975,4.58621812,1
-2.295325518,-4.012739182,1.240002632,4.786251299,1
-2.210622787,-4.085990906,1.180980206,4.793421433,1
-2.18209219,-4.013081551,0.9924192429,4.674531614,1
-2.07980299,-3.925305605,0.7100996971,4.498649369,1
-1.972214699,-3.90739274,0.386384964,4.393932428,1
-2.18101263,-3.755582333,0.1210241318,4.344635956,1
-2.483772993,-3.543125868,-0.2481923103,4.334105285,1
-2.727638006,-3.519519567,-0.5695462227,4.489032187,1
-2.979840994,-3.824389458,-0.7404203415,4.904449954,1
-3.481430531,-4.287950993,-0.9568133354,5.605566342,1
-4.379755974,-4.769800663,-1.121685982,6.572019491,1
-5.250563622,-5.295417786,-1.042526245,7.529723025,1
-5.466165066,-5.684313774,-0.707634449,7.917773053,1
-4.98627615,-5.972868919,-0.1513166428,7.782095457,1
-4.087779999,-5.973591805,0.5657396317,7.260427377,1
-2.998182297,-5.53259325,1.363379955,6.438749107,1
-1.855445623,-4.733799934,2.290445328,5.576529394,1
-1.08962822,-4.010525703,3.026553154,5.141170107,1
-0.7717256546,-3.532253265,3.486139774,5.022503772,1
-0.6487922668,-3.359398365,3.484903336,4.883752659,1
-0.7718091011,-3.2876544,3.066441059,4.561515265,1
-0.9249420166,-3.098858833,2.274983406,3.953984484,1
-1.233734369,-2.928832054,1.362790585,3.457940987,1
-1.430311203,-2.837553978,0.5168809891,3.219420549,1
-1.283156633,-2.903450966,0.06692361832,3.175058618,1
-1.054167032,-2.81669569,-0.02540445328,3.007605049,1
-0.83020854,-2.585135937,0.1819720268,2.721265854,1
-0.6154081821,-2.115479469,0.4983234406,2.258828649,1
-0.348544836,-1.626986504,0.9960827827,1.939265195,1
0.1852974892,-1.158440113,1.469735622,1.880542862,1
0.9106972218,-0.7063288689,2.0145154,2.320892543,1
1.434927702,-0.3948411942,2.546798229,2.949762414,1
1.630156517,-0.1933398247,3.010987282,3.429407379,1
1.764400482,-0.01468420029,3.287045002,3.730682181,1
2.040723085,0.1161370277,3.682193756,4.211483038,1
2.55806613,0.3044033051,4.172447681,4.903639806,1
3.042163372,0.5303225517,4.533415794,5.485240082,1
3.385452747,0.6654481888,4.84228754,5.945743034,1
3.523125172,0.7966046333,4.91378212,6.098544469,1
3.938264608,1.238635063,4.844892979,6.365306978,1
4.850289345,2.057058334,4.855825424,7.164903089,1
5.788062096,3.102805614,4.737879276,8.097935881,1
6.404509544,3.83845067,4.470963955,8.702928515,1
6.638374329,4.026422501,4.256395817,8.854207883,1
6.808825493,4.102832794,3.989924431,8.894539813,1
7.258143425,4.502590179,3.582113743,9.262046381,1
7.587454796,5.005472183,3.167921066,9.626003633,1
7.562163353,5.195372581,2.74588728,9.576957126,1
7.301799297,5.241428375,2.294826984,9.27658748,1
7.314542294,5.342533112,1.829699993,9.240832813,1
7.602199078,5.538615227,1.38173914,9.506781395,1
7.90383625,5.842472076,1.069674492,9.88682512,1
8.642444611,6.161906242,0.9687328339,10.65830102,1
12.55002785,5.869928837,-2.485375404,14.07609159,1
25.34474373,1.500155926,-31.2622776,40.27327282,1
18.46912575,8.689979553,-29.99164772,36.27841346,1
5.731156349,17.46308517,-5.487975597,19.18132876,1
9.526128769,12.9604311,-3.642792702,16.49211455,1
11.51575565,5.684452057,-2.373845577,13.05989151,1
10.60874271,3.211387634,-2.605125666,11.38618076,1
8.272146225,1.672666073,-5.473412037,10.05904838,1
5.986814976,1.428924084,-6.675315857,9.079846881,1
4.211946964,2.013651848,-6.711812496,8.175800755,1
2.404502869,2.367264748,-6.068305969,6.943335925,1
0.7594542503,2.232474804,-5.33748579,5.835192291,1
-0.524636507,1.219491959,-4.118441105,4.327119277,1
-1.622164011,-1.247953892,-1.986694694,2.852325507,1
-2.661827326,-3.281686783,1.011894941,4.344965388,1
