x,y,z,total_acceleration,Walking(0)/Jumping(1)
0.0,0.0,0.0,0.0,1
0.1266289949,0.2237620354,0.1269993782,0.2867633047,1
0.5137360096,0.567220211,0.2920637131,0.8191243299,1
1.317309737,1.034618378,0.4494805336,1.734293194,1
2.372550964,1.424694061,0.4921808243,2.810870543,1
2.986486197,1.467322826,0.3084025383,3.341743288,1
2.575839043,0.8158295155,0.4856872559,2.745253482,1
1.483400583,-0.5641758442,0.6411776543,1.711689358,1
0.5806992054,-1.999655724,0.3249802589,2.107474021,1
0.8430929184,-2.566147089,0.3381924629,2.722184912,1
1.921064377,-2.439125538,0.03764533997,3.105034444,1
2.527450562,-2.029198885,0.03187942505,3.241399505,1
2.855279922,-1.742233992,0.756799221,3.429394666,1
3.301407337,-2.186890125,-0.5792150497,4.00215803,1
3.281281471,-3.057864904,-3.45745182,5.663154506,1
2.566369534,-3.169789791,-3.869408369,5.621933923,1
1.659156322,-2.945985794,-4.221452713,5.408539083,1
-0.9866061211,-2.861330986,-3.769737959,4.834411125,1
-5.454859734,-2.79055357,-1.253083229,6.254030822,1
-8.425499916,-1.844999433,1.479783535,8.751161697,1
-8.57874012,-0.6374843121,2.192286968,8.877347039,1
-8.764344215,-0.4862664938,1.88634491,8.978222639,1
-9.327518463,-1.341072559,2.057769299,9.645490696,1
-8.723711014,-2.676123857,2.416071892,9.439394903,1
-6.467492104,-3.537494659,2.971056461,7.947924199,1
-3.897076607,-2.822922707,5.060718536,6.98333522,1
-1.320167542,-0.7980239391,9.534955978,9.658937315,1
0.7866864204,0.2290795445,8.77730751,8.815468229,1
2.697041988,0.7863929272,6.892929077,7.443448165,1
4.999707699,2.000977039,7.3063941,9.076584211,1
6.127628803,2.953527451,7.193511009,9.900391901,1
7.416413307,3.755745411,7.121325016,10.94632723,1
8.158332825,3.846415997,6.380561829,11.04829759,1
6.932510853,3.31850338,4.137344837,8.728676515,1
4.334617138,2.179203749,1.483130455,5.073215022,1
2.393779278,0.9321767092,0.5608677864,2.629392577,1
1.637365341,0.07592570782,0.6885838509,1.777885737,1
1.544303417,-0.509234786,0.896033287,1.856628332,1
1.494954586,-1.891551256,1.017653942,2.616959097,1
-0.8924798965,-3.529817581,1.292757511,3.86359347,1
-9.618275642,-2.328029871,0.4192810059,9.904884955,1
-18.43562889,-0.7240031958,2.852329731,18.66902188,1
-16.20134354,-0.4479993582,8.96054554,18.51960076,1
-3.763637543,-1.263422012,2.500246525,4.691741193,1
2.3264184,-0.6566741467,-4.84421587,5.41385915,1
2.815639973,1.225910306,-4.628983498,5.555013299,1
2.07514286,2.922944784,-1.493000031,3.883152481,1
2.174573898,3.983885765,-0.3278999329,4.550564338,1
2.574698448,3.908201456,1.218605995,4.836125649,1
2.000094891,3.154584408,1.404705048,3.99061131,1
1.653311729,2.279750824,0.4185929298,2.847090363,1
1.691578388,1.793567061,0.1106643677,2.467907383,1
0.968044281,0.8237471581,1.389705181,1.883334702,1
-1.1619277,-0.1730707884,1.711857319,2.076170744,1
-1.851807594,-1.617113948,3.015760422,3.890894474,1
-1.663483143,-2.452562332,3.591669083,4.656428348,1
-2.094067097,-2.195938826,1.824257851,3.54050576,1
-2.872357845,-2.142285347,0.310195446,3.5966717,1
-3.617262125,-2.667091846,-0.5499324799,4.52773563,1
-2.931511402,-3.241754532,-0.006698608398,4.370672307,1
-2.511325359,-2.911594152,1.909445286,4.293031198,1
1.164268017,-2.192652225,4.425793171,5.074533376,1
1.849853516,-1.413132071,2.859262943,3.687042834,1
-1.564529896,-0.9681588411,0.4958429337,1.905504015,1
-2.163002491,-2.153645754,1.431777,3.371461877,1
-2.144815445,-2.522578716,1.606594563,3.68032373,1
-1.419354439,-2.052617311,1.052260876,2.708331184,1
-0.948829174,-1.346579552,0.6652975082,1.776562429,1
-1.425384045,-0.9712625742,0.7898526192,1.897086667,1
-1.989297867,-0.6773029566,0.7826547623,2.242452625,1
-2.334768772,-0.02041780576,0.1895985603,2.34254343,1
-2.324175358,0.7301813364,-0.6783642769,2.528860212,1
-2.064063549,1.202216268,-1.718383312,2.942536915,1
-2.07581377,1.058271289,-2.256125927,3.243307745,1
-4.439156055,-0.1053049117,-2.204434156,4.957491862,1
-9.425225258,-3.39080143,-4.110434532,10.82719158,1
-9.004477501,-4.32303381,-5.000037193,11.17003171,1
-9.228649139,-3.098213196,-0.7372770309,9.762707993,1
-9.137241364,-4.239027977,-0.4534406662,10.082864,1
-8.195053101,-5.651283264,-0.2470407486,9.957757126,1
-4.016094208,-6.045098782,-0.404214859,7.268811568,1
5.733563423,-1.993272543,1.057981014,6.161672564,1
4.836056232,0.06396633387,5.446826458,7.28419179,1
2.497175217,-0.2032853365,6.186243057,6.674339829,1
0.6432032585,-0.7521213293,5.791625023,5.875569533,1
1.692415714,-0.2783534527,4.947200775,5.236081274,1
2.380540848,-0.2068998814,4.694378376,5.267539333,1
1.558887482,-0.7516680956,4.900764942,5.197367807,1
1.330286026,-0.8503468037,4.120777607,4.412885528,1
1.327395439,-0.6958270073,3.561273098,3.863783114,1
1.373019218,-0.09839963913,3.029221058,3.327317911,1
1.308562279,1.071344495,2.790956974,3.263365609,1
1.350057602,1.580112219,2.766592741,3.460266687,1
1.501457214,1.479712486,2.804838657,3.508709549,1
1.85886097,1.529195547,2.80295372,3.69463837,1
2.558563232,1.645821691,2.737612724,4.092615091,1
3.825817108,1.835732102,2.235070944,4.796074543,1
5.045253754,1.933825374,1.733736753,5.674514001,1
5.430169106,1.593053937,1.748789072,5.923075264,1
5.264738083,1.065564632,1.754874706,5.650883144,1
5.029546738,0.522069931,1.869144917,5.390973949,1
5.041705132,0.3703947067,1.976182222,5.427824523,1
4.84677887,0.669523716,2.235020638,5.379111885,1
4.099358559,1.673284531,2.64080286,5.155430289,1
3.024657249,2.834978342,3.098368168,5.175474759,1
2.242874146,3.152988195,3.575430155,5.268350765,1
2.163095474,2.72396946,3.947007179,5.26097494,1
2.689064026,2.323958397,3.823689222,5.220387652,1
3.042978287,2.185415983,3.675627947,5.248428401,1
3.265803337,2.612837315,3.382888317,5.379249356,1
3.487831116,3.112375259,3.107314587,5.613131888,1
3.691579819,3.385807753,2.707364559,5.693968612,1
3.776754379,3.643357754,2.177863598,5.681638779,1
4.075909615,3.872766018,1.443272352,5.804686977,1
4.417515755,4.059686661,0.5982868671,6.029382091,1
4.475662231,4.180467606,-0.1517820358,6.126246779,1
4.132694244,4.10466814,-0.7088701725,5.867704763,1
3.583553314,3.948592901,-1.009299278,5.426962805,1
3.037973404,3.687297106,-1.212836146,4.929139262,1
2.565851212,3.401830196,-1.243216157,4.438651545,1
2.190991402,3.302206039,-1.262503028,4.159197272,1
1.879218102,3.275328636,-1.303699255,3.994855454,1
1.876896858,3.281919241,-1.305174232,3.999651922,1
2.022061348,3.387579203,-1.207839966,4.125930481,1
2.059112549,3.486327887,-1.084140897,4.191633107,1
1.988827705,3.599402905,-1.008021474,4.234057652,1
1.928274155,3.688766003,-0.9329704046,4.265638242,1
1.761128426,3.751554012,-1.089153767,4.285088887,1
1.576188087,3.909102917,-1.684402704,4.53901608,1
1.465666771,3.825776815,-1.630912781,4.409605858,1
1.443575859,3.539070368,-1.874010444,4.256858639,1
2.095064163,4.059247017,-6.017604828,7.55502138,1
1.150662422,4.711702347,-7.103487015,8.601377261,1
-0.05072879791,4.422535419,-6.854718685,8.15773015,1
-0.7695608139,4.240519047,-6.890497208,8.127310588,1
-1.593668461,4.093695164,-6.122805119,7.535705792,1
-1.671811581,3.964843035,-3.635384798,5.633023778,1
-2.927096367,4.935885429,-2.615466595,6.30646681,1
-3.105739117,4.668935776,-2.201364517,6.024166538,1
-2.891188622,3.850804329,-2.386519432,5.374303734,1
-2.463013649,3.215793371,-2.376000881,4.696077451,1
-1.887979031,2.778196096,-1.671369076,3.751841276,1
-1.437299252,2.470957518,-1.610317588,3.280942384,1
-1.273266315,2.290115118,-1.601565123,3.070968122,1
-1.216648579,2.199318409,-1.649894476,3.006557335,1
-1.117401123,2.028423309,-1.239893556,2.626865513,1
-1.014378548,1.68724227,-0.661732316,2.076930421,1
-1.305339336,1.429078817,-0.4788886309,1.993868444,1
-2.227264404,1.645966291,-0.390728116,2.796887595,1
-2.503395081,1.9540447,-0.3521219194,3.195194433,1
-2.038916111,1.794239283,-0.1299977005,2.719075746,1
-1.323556423,1.360853195,-0.03856021166,1.898739033,1
-0.8536539078,1.126642704,-0.2785192132,1.440701818,1
-0.6383781433,1.172599316,-0.07644814253,1.337295826,1
-0.3415803909,1.132454634,0.3005648851,1.220438409,1
0.08835315704,1.110901594,0.441529274,1.19868959,1
0.6732168198,1.210302353,0.5211929083,1.47976171,1
0.9297962189,1.425248861,0.2924596071,1.726669611,1
0.8876419067,1.660891294,-0.10300529,1.886021775,1
0.9143075943,1.704877377,-0.3936647177,1.974218113,1
0.703537941,1.501115084,-0.8341259956,1.855822811,1
0.6967887878,1.128465176,-1.178226113,1.774025096,1
0.9567222595,0.6918325424,-1.024440527,1.563146872,1
1.060850143,0.3386716843,-0.3697268963,1.173371005,1
1.063168526,-0.1202421188,0.1533769369,1.080883882,1
0.6680488586,-0.5024778843,0.187335968,0.8566609987,1
0.3332948685,-0.5776119232,1.603006721,1.7361888,1
-0.003678321838,-0.9315843582,1.82776475,2.051484079,1
-0.4828014374,-1.299495935,1.035291433,1.730206712,1
-1.212311268,-1.392315149,0.3488516808,1.878812811,1
-2.052649021,-1.131688833,0.2482626438,2.357057903,1
-2.372941494,-0.8559689522,0.3769975901,2.5506198,1
-2.183630943,-0.7654592991,0.06115567684,2.314716409,1
-1.515722275,-0.4638841152,-0.03697919846,1.585550361,1
-1.147914886,-0.6100888252,0.1646984816,1.310359703,1
-0.9257907867,-1.508607864,-0.3403229713,1.80244445,1
-0.8843579292,-1.537804604,-0.5084388256,1.845383967,1
-1.158546448,-0.7961330414,1.17141819,1.82983012,1
-0.8649086952,-0.7359280586,0.4905387163,1.237047045,1
-1.195865154,-0.7292695045,-0.06531643867,1.402210296,1
-2.374803543,-0.6714992523,0.8840440512,2.621476111,1
-4.05793047,-1.823181152,-0.4320392609,4.469613757,1
-4.88496685,-0.8343405724,-1.104194164,5.077230551,1
-5.789607048,-2.388041019,-1.29594779,6.395449191,1
-6.418846607,-2.677211761,-0.609909296,6.981478635,1
-6.222373962,-1.62994051,-0.5990841389,6.460150586,1
-5.334293365,-1.162230492,-0.7273793221,5.507680646,1
-4.438405514,-1.366254807,-0.4884417057,4.669547194,1
-3.658517838,-1.3287673,-0.5498356819,3.930991552,1
-2.795496941,-1.017012596,-0.7081496716,3.057874053,1
-1.847960949,-0.8758563995,-0.9236996174,2.243948548,1
-1.812449932,-0.66365242,-1.207628846,2.276790882,1
-1.152461529,-1.138837814,-0.9818739891,1.894517267,1
-1.269542694,-2.054922581,0.5558261871,2.478585931,1
-1.996657372,-2.421751022,1.4679389,3.465019955,1
-2.289127827,-1.98741293,2.343988657,3.831996762,1
-1.663407803,-0.8037276268,3.728244781,4.160854812,1
-1.188827991,0.6940870285,4.56663084,4.769610679,1
0.3717694283,2.281124592,3.97788763,4.600579519,1
1.565210342,3.835165024,2.978612423,5.10201001,1
2.335408211,5.32700491,2.472566128,6.320181649,1
3.399608612,6.074743271,1.781041384,7.185537762,1
3.746236324,6.673561096,0.8377889395,7.698869697,1
3.14355278,7.902973652,0.367587328,8.513168451,1
1.922903538,8.472599983,-0.3441340923,8.694879917,1
0.7686748505,7.227213383,-2.205496311,7.59524116,1
-0.1563072205,5.194012642,-3.747251749,6.406566549,1
-1.325783491,2.147593498,-3.836393833,4.592143001,1
-2.323269129,-1.248761654,-3.250794888,4.186245635,1
-2.394473314,-3.31013298,-2.312764645,4.694610005,1
-0.8423755169,-4.320160866,-1.514806747,4.654892684,1
0.4359025955,-5.247553349,0.1506450176,5.267781425,1
2.038142204,-6.0636549,2.189165115,6.761240884,1
2.933562279,-7.311499119,3.677628756,8.694179678,1
4.059724808,-9.657911301,4.626148224,11.45241737,1
4.235520363,-9.706800461,3.200793982,11.06375569,1
3.503553391,-7.376415253,1.102374434,8.240243791,1
3.562122822,-5.095617294,-0.4165980816,6.231178746,1
3.54065752,-3.888875008,-1.48907876,5.465982076,1
1.428019524,-1.960086823,-3.210888863,4.023802604,1
3.045743465,-1.232152939,-1.01228857,3.437947392,1
6.289029121,0.2546930313,0.07711720467,6.294656694,1
5.674935818,2.224417686,-1.961328983,6.403104088,1
1.224711895,0.0808429718,-0.1536066532,1.236951824,1
1.238833427,-2.29490757,2.257049799,3.448997363,1
2.252253056,-2.58707428,1.904209614,3.923214423,1
1.660942078,-3.035415649,1.776503801,3.889529857,1
0.7214012146,-1.879971504,2.342432737,3.088964826,1
-0.2825036049,-1.015663147,2.521219254,2.732750709,1
-1.162294865,-1.678956032,0.7262712717,2.16732385,1
-1.962528706,-1.622909546,-0.1218719482,2.549550369,1
-2.022017479,-1.254657745,0.1025669575,2.381856571,1
-1.080756426,-0.7126379013,0.0134100914,1.294630087,1
-0.7488377094,-0.297416687,-0.06089758873,0.8080365815,1
-2.039026976,-0.8201465607,-1.552994967,2.691108462,1
-4.70304966,-2.492843628,-3.006314993,6.113172277,1
-5.105512142,-3.257998466,-2.594604015,6.588837397,1
-3.809752226,-2.088876724,-0.5964152813,4.385581966,1
-2.227863312,-0.6682214737,1.139992476,2.590265955,1
-2.159244061,0.7333498001,1.59817183,2.784652589,1
-2.563595772,3.160460472,0.3167591095,4.0817729,1
-2.609277487,1.888542175,-0.4766662121,3.256091404,1
0.240732193,-0.3718767166,-0.6831359863,0.8141984137,1
4.252754211,-0.04584026337,-0.7904036045,4.325824496,1
4.565546513,-1.887943268,-0.2153394222,4.94519118,1
5.040527344,-4.168836594,4.109268665,7.724778535,1
2.86002636,-3.744328499,-0.1944959164,4.715673371,1
0.6376459599,-2.365579605,-2.083982944,3.216448997,1
