x,y,z,total_acceleration,Walking(0)/Jumping(1)
-0.2582182884,0.1870245934,-0.2964243889,0.4353415915,0
-0.2380670309,-0.02764797211,-0.4246635437,0.4876263394,0
-0.1109554768,-0.3529286385,-0.6044101715,0.7086475831,0
-0.03149724007,-0.5604085922,-0.6331372261,0.8461161938,0
-0.03514230251,-0.5808634758,-0.6104841232,0.8434027648,0
-0.2242827415,-0.5156683922,-0.4870438576,0.7439276565,0
-0.3905494213,-0.4094543457,-0.3090057373,0.644721845,0
-0.5103690624,-0.2922081947,-0.1160287857,0.5994371427,0
-0.5823705196,-0.1237406731,0.132171154,0.6098658789,0
-0.6565299034,0.01380443573,0.4087729454,0.7735097914,0
-0.7708127499,0.03966760635,0.508014679,0.9240155455,0
-0.8517892361,0.03257703781,0.5382947922,1.008150509,0
-0.8306040764,0.06588840485,0.4992318153,0.9713273491,0
-0.8244829178,0.1255245209,0.6046319008,1.030101074,0
-0.7900214195,0.1646666527,0.6793446541,1.054873504,0
-0.7307066917,0.1955771446,0.7229089737,1.046317386,0
-0.8225553036,0.139125824,0.7367110252,1.112967366,0
-0.8664650917,0.07655954361,0.5735559464,1.041916284,0
-0.8968153,-0.08826112747,0.4738154411,1.018120219,0
-0.8910508156,-0.1239948273,0.3812742233,0.9770958533,0
-0.9344565868,0.121119976,0.6170687675,1.126344985,0
-0.6157181263,0.1029262543,0.7534570694,0.9784682827,0
-0.4452207088,-0.8960075378,0.4834728241,1.111214182,0
-0.04949188232,-1.152986526,0.2172002792,1.174309728,0
0.4675872326,-0.4374361038,0.6093416214,0.8839034883,0
0.8535912037,-0.3960909843,0.8425092697,1.263062896,0
1.082613826,-0.4733252525,0.7192573547,1.383264484,0
1.458365679,-0.3978915215,0.6147346497,1.631884434,0
1.890580058,-0.7239980698,0.6856212616,2.137414952,0
1.974899769,-1.393456459,0.6661539078,2.507132033,0
2.105182648,-1.382060766,0.9489822388,2.691180639,0
2.191193104,-1.048832655,1.557220459,2.885535083,0
2.082087755,-1.024644136,1.644743919,2.844321991,0
1.899655938,-0.988902092,1.449483871,2.586043991,0
1.5086447,-0.9787714481,1.20005703,2.161975775,0
1.090149403,-1.021594286,0.8975601196,1.742898383,0
0.6564484835,-1.038895369,0.673666954,1.401447596,0
0.365621686,-1.108070135,0.4255247116,1.242002384,0
0.2385790944,-1.063758612,0.2982578278,1.130247805,0
0.207783401,-1.064989805,0.03838729858,1.085748963,0
0.180639565,-1.063300371,-0.2838077545,1.11525117,0
