x,y,z,total_acceleration,Walking(0)/Jumping(1)
0.0,0.0,0.0,0.0,1
0.002439260483,0.01780986786,-0.02315139771,0.02931089559,1
0.03009140491,0.04087209702,-0.09918355942,0.1114154362,1
0.01993250847,0.07267332077,-0.1668257713,0.183056151,1
0.03947019577,0.1207222939,-0.1995358467,0.2365297502,1
0.04911792278,0.1364192963,-0.2291750908,0.2711900016,1
0.0358672142,0.1832666397,-0.191628933,0.2675719833,1
-0.01951980591,0.1342139244,-0.1921873093,0.235224068,1
-0.1309623718,0.04858016968,-0.1767406464,0.2252741259,1
-0.1297143698,0.03969860077,-0.269077301,0.3013376687,1
-0.158872962,0.03728199005,-0.3086533546,0.3491381649,1
-0.1328467131,0.06251144409,-0.4316911697,0.4559749948,1
-0.1193820238,0.05618953705,-0.5093641281,0.5261759655,1
-0.1351541281,0.04274988174,-0.5166120529,0.5357071998,1
-0.1468833685,0.002391338348,-0.4757423401,0.4979068353,1
-0.1680723429,-0.04550457001,-0.3869905472,0.4243591191,1
-0.1891613007,-0.08528375626,-0.1843833923,0.2775834147,1
-0.149099946,-0.1043324471,-0.05791950226,0.1909730927,1
-0.07568192482,-0.09264326096,0.0768828392,0.1422023154,1
0.01395308971,-0.04284000397,0.2002620697,0.2052677549,1
0.1265044212,0.002196311951,0.2248063087,0.2579652473,1
0.1607291698,0.0566534996,0.2990598679,0.3442096594,1
0.1796826124,0.09277534485,0.1852087975,0.2742178048,1
0.165494442,0.1067605019,-0.02661848068,0.1987328825,1
0.169983387,0.1272468567,-0.1747260094,0.2749823499,1
0.07039415836,0.1749420166,-0.2852783203,0.3419704179,1
0.04110825062,0.1844587326,-0.5145940781,0.5481988485,1
0.04754948616,0.1873922348,-0.7344532013,0.759472388,1
0.0006822347641,0.08688163757,-0.8139104843,0.8185347646,1
-0.00327694416,0.08542251587,-0.9457216263,0.9495773476,1
-0.05795705318,0.2404327393,-0.9619312286,0.9932162961,1
-0.0917634964,0.2735061646,-0.9820380211,1.023535459,1
-0.04053270817,0.2976846695,-0.9992246628,1.043412186,1
0.2231465578,0.3969573975,-1.120664358,1.209652084,1
0.5092882514,0.5391902924,-1.48119092,1.65651056,1
0.4827865958,0.5166320801,-1.197418213,1.390612088,1
0.1584708691,0.33344841,-0.4905629158,0.6139648466,1
-0.2894749641,0.1676282883,0.1925663948,0.3859751473,1
-0.3160341978,0.3323602676,-0.08311319351,0.4660995222,1
-0.2173035145,0.4951820374,-0.5034780502,0.7388614312,1
-0.289162159,0.4748811722,-0.3403654099,0.6519014451,1
-0.3375780582,0.3693609238,-0.2574720383,0.5627417595,1
-0.326076746,0.2835674286,-0.4216928482,0.6037891926,1
-0.4038767815,0.2264709473,-0.291903019,0.5473690867,1
-0.5826075077,0.0847492218,0.0486907959,0.5907492973,1
-0.6814808846,0.005344390869,0.4133076668,0.7970370041,1
-0.4629606009,-0.05563163757,0.8257727623,0.9483290842,1
-0.1203043461,-0.04281806946,1.213871002,1.220569266,1
0.239992857,-0.03329467773,1.525740147,1.544858603,1
0.5199995041,-0.07426357269,1.740449429,1.817987562,1
0.6792536974,-0.1134262085,1.947498322,2.065671998,1
0.6141731143,-0.003073692322,2.062874317,2.152363471,1
0.4861994982,0.1457738876,1.935802937,2.001242861,1
0.3856837749,0.0906829834,1.555945396,1.605596915,1
0.3252834678,-0.05129432678,1.140562057,1.18714879,1
0.2987937927,-0.09258079529,0.8023190498,0.8611415632,1
0.368342936,-0.09366321564,0.4780220985,0.6106999617,1
0.3830663562,-0.05034160614,0.315009594,0.4985029136,1
0.3562268019,-0.005288124084,0.3098449707,0.4721540051,1
0.2770367861,0.08376502991,0.3000340462,0.4168769482,1
0.2525463104,0.1385154724,0.2760624886,0.3989695134,1
0.1427598,0.3339166641,0.1179986,0.3818433824,1
0.1609084606,0.2976093292,-0.07764911652,0.3471199084,1
0.2684859037,0.134683609,-0.3149619102,0.4352302379,1
0.2507640719,0.09486579895,-0.628844738,0.6836138121,1
0.1469762325,0.1222410202,-0.9362356663,0.9555532967,1
0.02883183956,0.2327461243,-1.09899807,1.123743205,1
