x,y,z,total_acceleration,Walking(0)/Jumping(1)
0.2069501877,0.2982654572,0.6950445175,0.7841412784,0
0.3601331711,0.3475737572,0.7287797928,0.8840946804,0
0.4815268517,0.5593514442,0.6209011078,0.9645000429,0
0.6143140793,0.7685260773,0.2983903885,1.028129828,0
0.6681118011,0.9150362015,0.02101421356,1.133184109,0
0.5518381596,0.8974699974,-0.1529760361,1.064602939,0
0.3568370342,0.6902713776,-0.4434652328,0.8946891395,0
0.4802134037,-0.04572486877,-1.075059414,1.178324412,0
0.2463371754,-0.3602423668,-1.344109058,1.413182836,0
0.04489278793,-1.369760036,-1.587128639,2.096958568,0
0.8331625462,-1.344878674,-1.326828957,2.064784142,0
0.8079419136,0.3525676727,-1.188501835,1.479733324,0
0.09643650055,1.236452103,-1.177096367,1.709874164,0
-0.5178384781,1.755095482,-1.132298946,2.151887019,0
-0.3889350891,2.063503265,-1.113510609,2.376809228,0
0.08726644516,1.950109482,-1.204733849,2.293888853,0
0.2835297585,1.409002304,-1.020190716,1.762516869,0
0.0542974472,0.4319801331,-0.6758613586,0.8039549889,0
-0.0350894928,-0.7089881897,-0.3177428246,0.7777249052,0
-0.07587909698,-1.60922575,-0.1405129433,1.617129877,0
-0.2859869003,-2.350934982,-0.120177269,2.371313217,0
-0.5073728561,-2.224021435,0.2217564583,2.291915026,0
-0.5912160873,-1.93168354,0.8462443352,2.190220819,0
-0.4560818672,-1.7257061,1.143282413,2.119709153,0
-0.2492332458,-1.782860279,1.164049149,2.143762675,0
-0.3364033699,-1.984478951,1.202766895,2.344775498,0
-0.5351567268,-2.123816967,0.8839507103,2.361855222,0
-0.4806418419,-2.354763508,0.3536520004,2.429196883,0
-0.3034753799,-2.650540829,-0.1097187996,2.67011277,0
-0.2819399834,-2.838036537,-0.5830845833,2.911001404,0
-0.2965164185,-2.868690968,-1.083254814,3.080706225,0
-0.1219134331,-2.873836517,-1.659691811,3.320899896,0
0.1954250336,-2.934378147,-2.156644106,3.646900033,0
0.3382515907,-3.096647739,-2.65766573,4.094731797,0
0.6467113495,-3.681964874,-3.080839157,4.844240995,0
1.203846693,-4.933393002,-3.061264992,5.929498859,0
0.5084319115,-5.142295837,-2.930617332,5.940557839,0
0.3112082481,-4.872789383,-2.780272484,5.618793645,0
0.3010001183,-4.41889143,-2.90579915,5.297251291,0
0.3256201744,-3.988197327,-3.018549442,5.012323528,0
0.3907179832,-3.652800083,-3.100765228,4.807322955,0
1.02387929,-2.652173042,-2.809175968,3.996726194,0
2.260112047,-0.6784696579,-2.17974329,3.212430288,0
3.166025162,1.172268867,-1.072200298,3.542251135,0
1.842758179,1.565383911,-0.1730365753,2.424072225,0
0.1133460999,1.311926842,0.3471035361,1.361793024,0
-0.5915002823,0.579167366,0.889329493,1.214995625,0
-1.13888979,-0.2404413223,1.591649771,1.971859776,0
-2.094398022,-0.9288034439,1.848034263,2.943536911,0
-3.068243027,-1.540709019,1.491007209,3.743127309,0
-3.55214119,-2.157400608,0.4729238451,4.182791099,0
-3.119514942,-2.65282774,-1.495411158,4.359486555,0
-2.168203831,-2.595543385,-3.535115957,4.892340763,0
-1.379216194,-1.626019001,-5.814511299,6.1931185,0
-0.8608727455,-0.9968905449,-10.61257267,10.69399791,0
-0.2204313278,-1.677936077,-11.07941723,11.20792334,0
-1.925892353,-2.783902645,-4.660542488,5.76019371,0
-3.86773777,-3.052913189,-1.391711473,5.120208514,0
-1.862871647,-1.125118256,-0.7671294212,2.30752452,0
1.207009315,0.2518234253,-0.1188242435,1.238711317,0
3.068522692,-0.03985977173,-1.221924424,3.303107569,0
3.930356503,0.03686332703,-2.793889046,4.82233109,0
4.519877434,1.131487846,-2.789297581,5.430445447,0
4.291869164,1.625295639,-2.279174328,5.124096257,0
2.730022907,0.8824748993,-2.279884815,3.664650296,0
1.512869358,-0.08882427216,-2.352426052,2.798315882,0
1.102858543,-0.3210291862,-2.230581999,2.508954515,0
1.089657307,-0.08263587952,-2.209321976,2.46480939,0
1.24687767,0.05581951141,-2.341912746,2.653747361,0
1.431750774,0.08701229095,-2.471576691,2.857651616,0
1.682386398,0.09772968292,-2.419689655,2.948707024,0
2.159751654,0.1596221924,-2.331615448,3.182206318,0
2.578342199,0.05008029938,-2.20031333,3.389946206,0
2.630115032,-0.06534576416,-1.845423937,3.213621735,0
1.938910723,-0.4091472626,-1.563178301,2.523945854,0
1.405865669,-1.299307346,-1.355037212,2.345374961,0
1.195528984,-2.454555511,-0.7960615158,2.843913896,0
1.338477135,-2.008031845,-0.2060747147,2.42201976,0
1.128293514,-1.665164948,0.02034187317,2.011525379,0
0.9932522774,-1.327100277,0.1006644964,1.660686175,0
0.7399044037,-1.479215622,0.06506705284,1.655225394,0
0.3941030502,-2.010856628,0.002158284187,2.049113528,0
0.02420282364,-2.476603031,-0.08171033859,2.47806879,0
0.6745729446,-1.954556942,-0.6509221792,2.167727192,0
2.016288996,-1.423892021,-0.9537711143,2.646236789,0
0.5743675232,-1.446443558,-1.147071958,1.933357467,0
-0.4984240532,-1.471433163,-1.067041993,1.884707061,0
0.8606591225,-1.236410141,-0.4088588953,1.560964368,0
3.192130566,-1.169085503,3.371845245,4.788089266,0
4.665800095,-1.178006172,6.434972763,8.03531353,0
3.021631479,-0.9180450439,6.974822044,7.656448658,0
0.4989352226,-0.4479427338,5.166462421,5.209791071,0
0.6803722382,-0.588101387,3.124202251,3.2510628,0
2.294984579,-1.356933594,2.0839324,3.383932216,0
3.545807362,-2.162940979,2.079286098,4.644835218,0
3.434879303,-2.542375088,2.74651742,5.07990402,0
1.983021736,-2.526171684,3.333367586,4.628742599,0
0.05900144577,-2.312156677,3.36007762,4.079175319,0
-1.192855835,-2.378404617,2.470431566,3.630805102,0
-1.367944717,-2.625584126,0.9126602411,3.098049946,0
-1.114874363,-2.842976093,-0.8743368983,3.176463903,0
-0.7431530952,-2.838128567,-2.301905632,3.72907761,0
-0.4695906639,-2.437265396,-3.224476337,4.069155398,0
-0.3451189995,-1.705592632,-3.967595339,4.332431895,0
-0.265681982,-1.020966053,-4.326092243,4.452867918,0
-0.2558372021,-0.6009979248,-4.365283966,4.41388211,0
-0.3715324402,-0.4670619965,-4.27382803,4.315297126,0
-0.6236526966,-0.4625225067,-3.945603371,4.021275384,0
-0.8787212372,-0.5034751892,-3.858201742,3.988904481,0
-0.7855801582,-0.5422515869,-4.061518669,4.172182507,0
-0.6267464161,-0.6333494186,-3.945823669,4.045178239,0
-0.6379845142,-0.7266082764,-3.397484303,3.532404764,0
-0.6689324379,-0.6679000854,-2.803779364,2.958840964,0
-0.5950169563,-0.5601797104,-2.292279243,2.433596231,0
-0.4092485905,-0.4010181427,-1.713577867,1.806833989,0
-0.2799077034,-0.2423610687,-1.166124344,1.223492213,0
-0.2057731152,-0.08850574493,-0.7408829927,0.7740048131,0
-0.1432938576,0.05134391785,-0.5138645172,0.5359347624,0
-0.07567191124,0.1940174103,-0.3543787003,0.41103924,0
-0.130900383,0.3586111069,-0.1714838743,0.4185015596,0
-0.3508052826,0.5259246826,-0.05057376623,0.6342072405,0
-0.55204916,0.6100788116,0.154325664,0.837120566,0
-0.6311049461,0.7325935364,0.1883563995,0.9851217569,0
-0.4984314442,0.8765745163,0.1928927302,1.026656901,0
-0.3568897247,1.006454468,0.05377364159,1.069211147,0
-0.334274292,1.131999016,-0.1428796649,1.188938885,0
-0.3628005981,1.296045303,-0.2690613866,1.372498354,0
-0.4470858574,1.405465126,-0.261444211,1.497855487,0
-0.5423645973,1.358139992,-0.387440443,1.512882577,0
-0.6397752762,1.223953247,-0.6672234535,1.53380608,0
-0.7311711311,1.095736504,-1.138092995,1.740834677,0
-0.7514712811,1.015748024,-1.591599703,2.032152245,0
-0.7476139069,1.011750221,-1.973005056,2.339938892,0
-0.6179151535,1.064045906,-2.320770741,2.626783139,0
-0.4222035408,1.327041626,-2.542023182,2.898478422,0
-0.2957236767,1.647456169,-2.717335701,3.19146951,0
-0.2065837383,1.996700287,-2.828995943,3.46881924,0
-0.1514923573,2.332183838,-2.861826181,3.694872187,0
-0.2415032387,2.661487579,-2.950920105,3.981176888,0
-0.5370185375,2.98248291,-3.086443901,4.325474445,0
-0.8979058266,3.438129425,-3.250279665,4.815733248,0
-1.291401625,3.935088158,-3.372276068,5.340869109,0
-1.692248583,4.373458862,-3.320858955,5.74621196,0
-2.159599066,4.658443451,-3.205576658,6.053154981,0
-2.452682734,4.757670403,-3.00876379,6.140337108,0
-2.668444633,4.683914185,-2.753624916,6.053271762,0
-2.905972958,4.352171898,-2.481910706,5.791887413,0
-3.061579466,3.946852684,-2.287163734,5.493817697,0
-3.132141352,3.544019699,-2.131748676,5.187941547,0
-3.23590374,3.097885132,-1.882925749,4.859359493,0
-3.130226374,2.760806084,-1.598823547,4.46951945,0
-2.849475384,2.651155472,-1.22480917,4.080231954,0
-2.409436941,2.527078629,-0.827152729,3.588271785,0
-1.791439295,2.424699783,-0.4314192533,3.045413988,0
-1.262390614,2.356217384,-0.1341787577,2.676451823,0
-0.8615822792,2.228880882,0.1513980627,2.39440084,0
-0.6238808632,1.890902519,0.5242026448,2.059011433,0
-0.5916619301,1.510136604,0.9725833535,1.891162284,0
-0.4815104008,1.215122223,1.43766582,1.943002134,0
-0.2717194557,0.8977689743,1.799351931,2.029159423,0
-0.1685123444,0.4961280823,2.159673452,2.222325112,0
-0.07933044434,0.1391487122,2.511249542,2.516352508,0
0.1165919304,-0.01420211792,2.928418636,2.930773121,0
0.4108076096,0.07283592224,3.443181515,3.468366605,0
0.8549206257,0.2632627487,3.945071459,4.045217592,0
1.276898861,0.554391861,4.507154942,4.71723083,0
1.568255186,1.012750626,4.862855911,5.208882392,0
1.807280302,1.440290451,4.942156792,5.455787058,0
1.90977025,1.787527084,4.968847752,5.615329328,0
2.058957815,2.110057831,4.798217297,5.631566439,0
2.184521198,2.348685265,4.53326273,5.55328068,0
2.22100544,2.387200356,4.319074631,5.411653755,0
2.062038898,2.214604378,4.038682461,5.046526824,0
1.727950335,1.888618469,3.766602993,4.554117937,0
