x,y,z,total_acceleration,Walking(0)/Jumping(1)
0.0,0.0,0.0,0.0,0
0.02814698219,0.02197265625,0.02645206451,0.04443829369,0
0.04528737068,0.01371240616,-0.03596782684,0.05943618926,0
0.02566075325,0.00722026825,-0.03994941711,0.04802668486,0
-0.02755403519,0.002264499664,-0.1372680664,0.1400245509,0
-0.05637764931,-0.02040624619,-0.1076192856,0.1231940131,0
-0.06589150429,-0.08835220337,-0.08876895905,0.1415193636,0
-0.1089735031,-0.1441936493,-0.1153926849,0.2144353157,0
-0.1702408791,-0.1694164276,-0.1167526245,0.2670487936,0
-0.2535259724,-0.1995501518,-0.08643531799,0.3340160864,0
-0.2929503918,-0.1951966286,-0.08959674835,0.3632481702,0
-0.3010981083,-0.1831831932,-0.09023475647,0.3638110284,0
-0.2783830166,-0.1701016426,-0.1108579636,0.344559372,0
-0.2420446873,-0.1821069717,-0.1103553772,0.3223769363,0
-0.1784002781,-0.1414470673,-0.1144609451,0.2548239393,0
-0.07487344742,-0.1384630203,-0.1745085716,0.2350133671,0
0.006392717361,-0.09852170944,-0.1501393318,0.1796919949,0
0.09908461571,-0.04822587967,-0.07739925385,0.1346630649,0
0.1672003269,0.01263380051,-0.09917736053,0.1948119891,0
0.1877572536,0.06118392944,-0.09920501709,0.2209929749,0
0.20444417,0.05259275436,-0.1057462692,0.2361052518,0
0.174031496,0.04921150208,-0.1850609779,0.2587591527,0
0.143910408,0.07128953934,-0.2862052917,0.3281857294,0
0.1410038471,0.05377864838,-0.3676056862,0.3973766078,0
0.07647395134,0.08089590073,-0.4004535675,0.4156386312,0
0.07406449318,0.06127977371,-0.4675264359,0.4773067442,0
0.1013064384,0.08429002762,-0.5470304489,0.5626811844,0
0.1246542931,0.07463502884,-0.5418128967,0.5609548069,0
0.1027486324,0.04964065552,-0.5009841919,0.5138157614,0
0.06480765343,0.05351495743,-0.4763755798,0.4837329591,0
0.09482264519,0.08074808121,-0.4627299309,0.479197846,0
0.1118979454,0.09126567841,-0.3877167702,0.4137328463,0
0.1420128345,0.1039190292,-0.2830352783,0.3332803303,0
0.1548233032,0.0838265419,-0.181842804,0.2531085729,0
0.2090084553,0.06899547577,-0.1047091484,0.2437394425,0
0.2409431934,0.08707857132,-0.02035570145,0.2570032191,0
0.2025380135,0.106897831,0.01996469498,0.229885585,0
0.1682949066,0.09577798843,0.0549287796,0.2012803256,0
0.1661973,0.1106185913,0.09402990341,0.2206799447,0
0.1021161079,0.1088423729,0.1161580086,0.1891217719,0
0.0451438427,0.151638031,0.09598875046,0.1850564757,0
0.04176616669,0.1163101196,0.07195806503,0.143004964,0
0.04176068306,0.0960855484,0.1048736572,0.1482392365,0
-0.01142168045,0.1513824463,0.0576543808,0.1623918947,0
-0.03005385399,0.1611332893,0.02569198608,0.1659133787,0
-0.04811453819,0.1826620102,-0.03610086441,0.1923114431,0
-0.05887150764,0.1805124283,-0.1014122963,0.2152557665,0
-0.05095052719,0.1340065002,-0.1632165909,0.2172403136,0
-0.06450605392,0.1238031387,-0.1981444359,0.2423828905,0
-0.07111310959,0.1680703163,-0.2867193222,0.3398715571,0
-0.1037523746,0.1482954025,-0.2729072571,0.3274667199,0
-0.09608340263,0.1501421928,-0.311255455,0.35868462,0
-0.06787371635,0.1333589554,-0.3257484436,0.3584738496,0
-0.07369661331,0.07704734802,-0.2698097229,0.290111653,0
-0.04916000366,0.03129053116,-0.24102211,0.2479666526,0
-0.06789422035,0.01233482361,-0.2271718979,0.2374212379,0
-0.07237482071,0.02892971039,-0.2465829849,0.2586082196,0
-0.07680702209,0.08301401138,-0.1951823235,0.2255809924,0
-0.1070208549,0.1409296989,-0.1776642799,0.2507573325,0
-0.1248812675,0.2263817787,-0.1747231483,0.3120452199,0
-0.1022553444,0.2588672638,-0.1766786575,0.3296722065,0
-0.07261371613,0.2745275497,-0.2658252716,0.3889745523,0
-0.1326496601,0.2974834442,-0.3042645454,0.4457232836,0
-0.177652359,0.372657299,-0.3449831009,0.5380029397,0
-0.2529337406,0.5041213036,-0.4211568832,0.7039082938,0
-0.4126830101,0.7221484184,-0.4666280746,0.9537019268,0
-0.6202428341,0.9385581017,-0.5245528221,1.241268765,0
-0.7879781723,1.102454662,-0.6262102127,1.492801096,0
-0.9261407852,1.243881702,-0.7740497589,1.733243051,0
-0.9667348862,1.307435989,-0.9067115784,1.8617441,0
-0.9362902641,1.394535065,-0.9493570328,1.929416047,0
-0.8708252907,1.546227455,-1.019662857,2.046672512,0
-0.7922954559,1.709281921,-1.104482651,2.183863252,0
-0.8096532822,1.812208176,-1.12925005,2.283602983,0
-0.8531124592,1.859816074,-1.126426697,2.335712697,0
-0.9521391392,1.801036835,-1.0273242,2.281599797,0
-0.9147307873,2.053775787,-0.7274522781,2.363030727,0
-0.5095949173,1.42372036,-0.1524510384,1.519838137,0
-0.3059537411,0.6226816177,0.7308835983,1.007735542,0
-0.879856348,0.6467475891,1.477444649,1.837191424,0
-1.402127504,0.5330500603,2.025931358,2.520813713,0
-1.446994066,0.5463032722,2.559235573,2.990305304,0
-0.8175992966,0.4458818436,2.726845741,2.881486929,0
0.3554944992,-0.7170915604,2.088726997,2.236822996,0
1.424943686,-2.875365496,-0.2047748566,3.215606316,0
1.238554478,-2.888205528,-0.5471382141,3.189844603,0
1.21450448,-2.236363888,0.02241420746,2.544965023,0
2.156653881,-2.393872261,-1.160135746,3.424572282,0
2.515137434,-2.094722271,-1.740787029,3.70730592,0
2.276364565,-1.613646507,-1.496587753,3.166301563,0
1.773023367,-1.173396945,-0.9942245483,2.347116252,0
1.44349575,-0.8343176842,-0.9163608551,1.902493941,0
1.437125683,-0.6268879175,-1.223190308,1.988595791,0
1.45439744,-0.2929191589,-1.267720222,1.951457945,0
1.369385481,0.2532842159,-0.332452774,1.431745206,0
1.08424139,0.9731816053,1.837141991,2.344728667,0
0.4645390511,1.570752144,3.532801628,3.894065507,0
0.3060936928,2.030929089,4.422857285,4.876477506,0
0.1981332302,2.268641233,4.971224785,5.468003812,0
-0.1814103127,2.249476433,5.13173008,5.606042056,0
-0.212198019,2.159278154,4.807811737,5.274709835,0
0.2172539234,1.937303662,4.136465073,4.572820579,0
0.8552596569,1.636705279,3.248490334,3.736704792,0
1.412687659,1.178544521,2.401659012,3.025329671,0
1.915429831,0.4926448464,1.557261467,2.517267101,0
2.305688858,-0.3613294959,0.5138702393,2.389732775,0
2.575599194,-1.001132965,-0.8949098587,2.904624257,0
2.424413443,-1.467732072,-2.019619942,3.480069351,0
1.533463717,-2.17381525,-2.907088757,3.94057721,0
-0.09186315536,-3.166543007,-4.060307503,5.14990587,0
-1.423799276,-3.480154037,-5.064617157,6.307854108,0
-2.341822863,-2.989254475,-5.199295998,6.438358137,0
-2.630077839,-1.713509798,-3.947151184,5.043156525,0
-2.429380417,-0.2786299884,-2.289131641,3.349574234,0
-1.885594487,0.114233315,0.73640728,2.027513626,0
-1.588607073,0.1945650578,-0.9213399887,1.84672558,0
-1.566253901,-0.05332881212,-4.05135107,4.343896953,0
-1.181949615,-0.3770508468,-4.106350899,4.289672474,0
-0.6547087431,-0.547518611,-3.485462189,3.588435152,0
-0.4858881235,-0.6785524487,-3.402864456,3.503713345,0
-0.2325360775,-0.7288313508,-3.642567635,3.722038036,0
0.1691696644,-0.6522787809,-3.569758892,3.632803949,0
0.4884446859,-0.5793645382,-3.464382648,3.546292235,0
0.7992458344,-0.5623486042,-3.513609886,3.646982902,0
1.152197361,-0.4818361998,-3.610632896,3.820522843,0
1.414629936,-0.4402897358,-3.706458569,3.991599683,0
1.406811714,-0.398483634,-3.564689159,3.852910226,0
1.002638817,-0.4810599089,-2.855968952,3.064842882,0
0.3122989237,-0.4843521118,-2.722543716,2.782871157,0
-0.1239296794,-0.5636651516,-2.691607475,2.752785457,0
-0.3013547361,-0.6837724447,-2.566380024,2.672950778,0
-0.2857396007,-0.7819771767,-3.184381485,3.29141624,0
-0.204470858,-0.9112340212,-3.723116398,3.838456915,0
-0.0648380518,-0.9772242308,-4.223292828,4.335363131,0
0.1222581863,-1.07300508,-4.546313763,4.672820968,0
0.2502840161,-1.241033673,-4.504528046,4.679057553,0
0.3100764751,-1.491789222,-4.159040451,4.42935661,0
0.3360147476,-1.851746082,-3.960584641,4.384985765,0
0.3560586572,-2.197837353,-3.999717236,4.577663679,0
0.2766540647,-2.547807932,-4.168959618,4.893678271,0
0.2598850727,-2.697733402,-4.473372936,5.230331843,0
0.328494072,-2.649031162,-4.686901093,5.39372935,0
0.4662399292,-2.438004971,-4.935198307,5.524258343,0
0.5867656469,-2.26959753,-5.19317627,5.697758036,0
0.6463217735,-2.198530197,-5.474432945,5.934701588,0
0.6152886152,-2.158889532,-5.871287346,6.28580935,0
0.5764225721,-2.113185406,-6.487204552,6.847016754,0
0.9714541435,-2.310515642,-7.267654419,7.687717895,0
1.103496552,-2.497713327,-7.84889555,8.310321164,0
-0.2176260948,-2.812579632,-7.822734833,8.315837033,0
-1.895185232,-3.506777287,-7.56760025,8.553232579,0
-2.057623386,-4.221507072,-7.816658497,9.118941058,0
-1.371377707,-4.798481941,-7.928524494,9.368436711,0
-1.256124973,-5.200725555,-7.586766243,9.283556338,0
-1.486673594,-5.626936913,-7.147381783,9.21724925,0
-1.482205153,-6.017401695,-6.769875526,9.178086397,0
-1.185418367,-6.246598244,-6.418112278,9.034233312,0
-1.083543539,-6.366108894,-5.95445013,8.783899215,0
-1.126783848,-6.477549553,-5.554819107,8.607224022,0
-0.9759693146,-6.467380524,-5.214401245,8.364777779,0
-0.6706113815,-6.433775902,-5.026841164,8.192211183,0
-0.3890137672,-6.392787933,-4.851589203,8.034736279,0
-0.1772913933,-6.490635872,-4.680524826,8.004192583,0
0.007423877716,-6.807153702,-4.482372284,8.150402317,0
-0.02138090134,-7.250637054,-4.194908142,8.376720669,0
-0.03689241409,-7.655339718,-4.087805271,8.678464103,0
0.3847908974,-7.808484077,-4.08238554,8.819657551,0
0.7126383781,-7.760680676,-3.695472956,8.625110919,0
0.7598543167,-7.635962486,-3.174061775,8.30421398,0
0.9811797142,-7.57948494,-2.675578356,8.097532039,0
1.426133156,-7.643344402,-2.177675724,8.07445608,0
2.000873089,-7.911145687,-1.652919292,8.325975101,0
2.478375912,-8.115896225,-0.9804894924,8.542334478,0
2.844610214,-8.21118927,-0.1849915981,8.691930648,0
3.142952442,-8.174581528,0.7873425484,8.793283886,0
3.49274683,-8.143647194,1.801772118,9.042380925,0
3.924628735,-8.11466217,2.688246489,9.406227832,0
4.530918598,-8.084590912,3.43487525,9.88373419,0
5.148046494,-8.076800346,3.981025219,10.37235018,0
5.660792351,-8.00275135,4.543144226,10.80410842,0
6.295064926,-7.832025528,5.095830917,11.26658595,0
6.822807312,-7.462632179,5.463563919,11.49313314,0
7.152769089,-6.992705822,5.527282715,11.42851235,0
7.229969978,-6.49270916,5.366715908,11.10087284,0
7.10507679,-6.050476074,5.141519547,10.65483928,0
6.971791267,-5.748203278,4.802654266,10.23294691,0
6.901643753,-5.459845066,4.396364212,9.837205544,0
6.956521034,-5.0863657,3.874962807,9.448790276,0
7.055300713,-4.729266167,3.397596359,9.148053762,0
7.193701744,-4.310825348,2.998110533,8.906246501,0
7.488902092,-3.882550001,2.60591507,8.828852836,0
7.866674423,-3.45333457,2.23431015,8.8770619,0
8.240866661,-2.947171211,2.118290663,9.004713033,0
8.952192307,-2.708117247,2.074549198,9.5801566,0
9.686414719,-2.585364819,2.016825199,10.22635444,0
10.43550873,-2.191330433,2.24076581,10.8959994,0
11.24831963,-1.645936489,2.67138052,11.67775985,0
11.93716621,-1.049735546,3.097675323,12.37713514,0
12.42737579,-0.3593559265,3.531162739,12.92431492,0
12.88531208,0.2612147331,3.876567841,13.45835349,0
13.6291275,1.111614704,3.845058441,14.20469212,0
13.65423489,1.392564297,4.33736515,14.39409956,0
13.70741844,1.855373859,4.501002312,14.54629693,0
13.70684624,2.43728137,4.309550285,14.57361307,0
13.27334404,2.80674243,4.166350365,14.19217885,0
12.66877556,3.134643555,3.923506498,13.62783063,0
12.15637207,3.400497437,3.616896391,13.13098261,0
11.64354515,3.575145006,3.134804726,12.57699512,0
11.29262352,3.762139797,2.673939705,12.19946701,0
10.91235924,4.059781551,2.265979052,11.86153748,0
10.54848766,4.537424088,1.759800673,11.61704385,0
10.66596794,5.187555313,0.4801950455,11.87030705,0
10.89320946,5.642811298,-0.4235161543,12.27528808,0
11.03781319,6.117524624,-1.147862196,12.67181972,0
11.25994968,6.8049016,-1.560757399,13.24874018,0
11.5112915,7.23185873,-2.003093243,13.74125159,0
11.88818455,7.780320168,-3.409452915,14.61118349,0
12.20015335,8.548269272,-4.179985046,15.47219843,0
12.76632118,9.552602768,-5.239425182,16.78340706,0
12.04551506,9.328450203,-3.67945528,15.67331514,0
11.02728844,8.227982521,2.56988883,13.99661085,0
11.70111656,8.080034256,4.197495461,14.82639708,0
12.21058369,8.201249123,1.234184504,14.76082831,0
11.57683182,8.641083717,-0.2720378041,14.44871507,0
11.17896843,9.527565956,-1.838263035,14.80280579,0
10.92416382,10.19949722,-3.357769966,15.31801938,0
10.35714817,10.65141869,-4.861080647,15.6318055,0
9.688131332,10.79771233,-5.976723671,15.68985997,0
8.787303925,10.48363972,-5.663687706,14.80543044,0
7.468319893,10.01789093,-5.014074326,13.46383608,0
5.254053116,9.447702408,-7.136270046,12.95339743,0
2.56541729,9.037311554,-11.1232338,14.55955686,0
1.045422554,8.589476585,-11.66895866,14.52709925,0
0.6746797562,7.915007591,-10.34279633,13.04131795,0
0.7445039749,7.350225449,-8.677951813,11.39679551,0
0.5760917664,6.883987427,-7.269916058,10.0286013,0
0.408290863,6.196967602,-5.948755741,8.59981417,0
0.4070224762,5.357526779,-4.432446003,6.96529526,0
0.4909687042,4.651846409,-3.275700092,5.7105986,0
-0.1049060822,4.093447685,-2.858716011,4.993953992,0
-1.038781643,3.741663933,-3.106731892,4.973017126,0
-1.170614719,3.4777565,-3.369743109,4.981997362,0
-0.6687088013,3.591398239,-3.139519215,4.816834404,0
-1.09895277,3.867096663,-2.770328522,4.882300063,0
-2.762245178,3.501165867,-3.656019688,5.766683692,0
-6.506569862,1.250191212,-4.633673191,8.085131828,0
-6.885009766,0.03604269028,-3.782371998,7.855634696,0
-5.656642914,0.1383152008,-3.543315172,6.67621319,0
-4.407510281,0.9494957924,-3.935037851,5.984330541,0
-2.950505733,1.850394487,-3.931143284,5.251983564,0
-2.269875526,1.913802624,-3.474073887,4.569919557,0
-1.823345184,1.414974451,-2.714016199,3.562670949,0
-1.314419746,1.481513977,-2.425764322,3.131599508,0
-0.9652776718,1.781667471,-2.260658741,3.035898204,0
0.4203367233,2.252893448,-1.600158095,2.795123929,0
0.7601652145,2.119225979,-0.782178998,2.38343741,0
0.4188995361,1.853798866,-0.3826889694,1.938684581,0
0.2298851013,1.663178205,-0.6679510474,1.80697745,0
0.4219675064,1.812926054,-0.3234970868,1.889287649,0
0.198925972,1.838295937,0.7298498154,1.987859212,0
-0.03186225891,1.231659412,0.8800141811,1.514075649,0
-0.01031398773,1.536769867,1.528980374,2.167844318,0
0.8617544174,2.185214043,2.224380255,3.235065472,0
1.835760117,2.727405071,2.62591362,4.20763306,0
2.654535294,3.456171989,3.413962126,5.535956994,0
2.580761909,3.314589024,3.555495262,5.503487893,0
2.18399334,2.596468449,3.445769787,4.835783777,0
