x,y,z,total_acceleration,Walking(0)/Jumping(1)
-1.63586235,6.742795944,5.740082264,9.004992347,1
-3.712631464,10.20021057,0.3089511395,10.85925315,1
-7.330146313,13.29562855,7.046560764,16.73794498,1
-3.911953688,21.29316902,12.05117702,24.77767738,1
0.5453910828,30.91431427,8.642864227,32.10438257,1
-3.262770414,17.82926178,7.848959923,19.75182063,1
-5.492584229,9.693982124,2.485100269,11.41566881,1
-6.498250961,8.917361259,-1.142792583,11.09290639,1
-4.391102314,3.470118523,-0.6812987924,5.638055528,1
-1.910207033,-5.250608444,1.861718774,5.889293399,1
-0.153648138,-12.8388958,2.314526796,13.04675773,1
0.8660447598,-14.60299397,2.848052979,14.90331748,1
-1.372497559,-12.99057198,1.761430621,13.18109812,1
-3.794188976,-11.95810318,0.2959173322,12.54909035,1
-4.3230896,-11.76232338,0.4806715846,12.54082932,1
-4.399930954,-10.16953087,0.819447279,11.11081655,1
-3.646191597,-8.861919403,0.5648492575,9.59934286,1
-3.372841358,-8.231556892,-0.1067762524,8.896403142,1
-3.748571157,-7.990675926,-1.048617601,8.888323034,1
-3.674755335,-7.831877232,-1.670752406,8.810989805,1
-3.884800911,-8.196428299,0.1960049719,9.072570359,1
-3.026142836,-8.209041595,4.661352158,9.91332983,1
-2.6518116,-8.623937607,7.321451187,11.61929654,1
-3.144276142,-9.737129211,4.431280136,11.15053368,1
-3.308897257,-10.27187443,0.581682682,10.80733825,1
-3.657222986,-10.70373917,-1.137281299,11.36832093,1
-3.623328924,-8.534773827,-1.386991024,9.37521311,1
-0.3537318707,-2.41681242,-1.493592501,2.863027605,1
-4.528927803,10.40802097,3.873907804,11.99355032,1
-5.216719151,41.52375412,14.89723206,44.42256001,1
3.324901581,20.48389435,-6.095328331,21.6286367,1
-2.227110624,3.889615059,9.908840179,10.87539612,1
-1.342402458,12.93281651,6.758416653,14.65387262,1
-6.33880806,22.87026978,13.21944523,27.16585098,1
-3.148002625,33.75331879,7.020389557,34.61910338,1
-7.054494858,16.43659973,12.18904018,21.64487027,1
-5.315960407,5.284170151,6.684139252,10.04288837,1
-3.855728865,-0.03450298309,0.601868391,3.90257365,1
0.8710813522,-0.2244663239,0.4948937297,1.026687711,1
0.9831299782,-6.798696518,1.49960041,7.031189109,1
-0.5657830238,-11.8076725,0.7582606077,11.8455139,1
-1.706702709,-14.59830093,0.2680920064,14.70017339,1
-2.419014454,-12.28210735,-0.131350264,12.51874774,1
-3.469802856,-10.98104763,0.8143998981,11.54496367,1
-3.863856554,-10.21752644,1.615843415,11.04256238,1
-3.706564903,-9.826334,0.8075945377,10.53317009,1
-2.875790834,-8.970277786,0.2970336974,9.424663681,1
-3.346555948,-7.527977467,-1.047871351,8.304692398,1
-4.662732601,-7.290061474,-3.099555731,9.192024659,1
-4.453787804,-5.951645851,-2.649271011,7.891574686,1
-3.044267178,-6.166586876,2.46918273,7.306929567,1
-1.13514626,-7.572841167,4.841663361,9.059701125,1
0.01426529884,-10.51389885,3.585258722,11.10839109,1
0.6766172647,-12.26443672,2.301185131,12.49678647,1
0.5021183491,-12.6028347,0.4616746306,12.62128,1
-0.3986637592,-14.13818359,0.8934795856,14.17199612,1
-0.8505530357,-10.20119286,0.3226310015,10.24167305,1
1.501543403,-3.611036301,3.027320862,4.94559272,1
-1.770392179,10.68433952,-1.203369617,10.89667371,1
-7.901242256,52.39349365,11.29789543,54.17702693,1
-0.3990948796,24.26532555,5.060877323,24.79067929,1
-2.289915562,4.835673332,3.888189793,6.614035812,1
-4.255644798,20.41009712,8.384810448,22.47192968,1
-8.424329758,22.38209534,11.85984421,26.69425834,1
-5.238210678,17.59275818,9.064380646,20.47210267,1
-7.364626884,9.415223122,7.839150429,14.29462959,1
-4.339269161,6.96485424,2.476139307,8.571447796,1
-0.1009123325,6.097247124,2.428141356,6.563724265,1
2.030021191,-0.2950086594,0.08559033275,2.053129769,1
-0.4473919868,-6.342802048,-0.2365055382,6.362957824,1
-0.7441189289,-10.09790802,0.8487813473,10.1608016,1
-1.604997158,-11.07021904,0.9611817598,11.2271829,1
-2.13352561,-11.63578033,1.274015546,11.89816923,1
-1.758243799,-12.5489006,1.363769531,12.74465358,1
-1.162391901,-13.72074699,1.877527475,13.89730774,1
-0.9858335853,-13.78090572,1.28679812,13.87591726,1
-1.162510276,-11.07295609,-0.2966938317,11.13776521,1
-2.207387447,-9.517284393,-2.185469627,10.01137049,1
-3.647221804,-9.037811279,-3.563337564,10.37697616,1
-4.299565792,-8.106823921,-2.026004553,9.39742276,1
-4.452253819,-6.728741646,2.391572952,8.415352006,1
-3.539880276,-5.825119972,4.744050503,8.304745043,1
-2.44978714,-7.54552269,3.322946548,8.601066414,1
