Time (s),x,y,z,total_acceleration,Walking(0)/Jumping(1)
0.124,-0.312,-0.000957,-0.319,0.446,0
0.142,-0.00605,0.0497,-0.127,0.136,0
0.161,0.114,-0.107,-0.067,0.17,0
0.179,0.272,-0.0912,0.103,0.305,0
0.197,0.35,-0.0684,0.216,0.417,0
0.216,0.33,-0.135,0.225,0.422,0
0.234,0.261,-0.168,0.219,0.38,0
0.253,0.187,-0.125,0.257,0.342,0
0.271,0.18,-0.0302,0.272,0.328,0
0.29,0.0753,-0.0181,0.18,0.196,0
0.308,-0.0183,0.00279,0.133,0.135,0
0.326,-0.000304,0.0157,0.00505,0.0164,0
0.345,-0.0445,-0.0252,-0.0145,0.0531,0
0.363,-0.0467,-0.035,-0.0449,0.0736,0
0.382,-0.0529,-0.0276,-0.0687,0.091,0
0.4,-0.0159,-0.0602,-0.277,0.284,0
0.418,0.17,-0.0479,0.00111,0.177,0
0.437,0.444,-0.0961,-0.229,0.509,0
0.455,0.561,-0.0424,-0.242,0.613,0
0.474,0.331,0.198,0.397,0.553,0
0.492,0.173,0.243,-0.142,0.33,0
0.51,0.105,0.127,-0.45,0.48,0
0.529,0.195,-0.177,-0.78,0.823,0
0.547,-0.245,-0.825,-0.567,1.03,0
0.566,-0.457,0.68,0.931,1.24,0
0.584,0.747,1.28,-0.197,1.49,0
0.603,1.29,1.31,0.741,1.99,0
0.621,1.25,0.0768,2.1,2.44,0
0.639,0.8,-0.879,-0.118,1.19,0
0.658,0.701,-1.42,-0.479,1.65,0
0.676,1.03,-0.0863,2.96,3.14,0
0.695,1.33,0.424,-2.11,2.53,0
0.713,-0.72,0.696,-3.98,4.11,0
0.731,0.969,-1.09,2.59,2.97,0
0.75,3.12,-1.52,-2.42,4.23,0
0.768,-1.86,-4.9,-0.369,5.26,0
0.787,-0.644,4.48,0.897,4.61,0
0.805,3.13,0.674,-3.42,4.69,0
0.824,1.12,-3.41,3.76,5.2,0
0.842,4.46,1.12,0.803,4.67,0
0.86,7.64,2.35,-0.561,8.01,0
0.879,7.57,-0.426,-3.52,8.36,0
0.897,0.379,-5.16,-9.0,10.4,0
0.916,-3.87,-9.68,-8.04,13.2,0
0.934,-3.71,-13.6,-6.38,15.5,0
0.952,-2.71,-15.2,-5.28,16.3,0
0.971,-1.71,-14.9,-1.76,15.1,0
0.989,-0.76,-14.8,0.471,14.8,0
1.01,-0.521,-15.2,0.856,15.3,0
1.03,-1.08,-15.5,2.13,15.7,0
1.04,0.931,-15.0,3.6,15.5,0
1.06,3.5,-14.9,5.04,16.2,0
1.08,5.34,-13.6,9.7,17.5,0
1.1,6.53,-12.8,12.8,19.3,0
1.12,8.65,-11.5,15.0,20.8,0
1.14,9.78,-8.82,15.6,20.4,0
1.16,9.33,-6.35,12.5,16.9,0
1.17,8.03,-8.09,11.9,16.4,0
1.19,10.4,-5.8,14.5,18.8,0
1.21,10.7,-5.35,17.0,20.8,0
1.23,7.26,-1.97,20.6,21.9,0
1.25,11.8,-0.671,22.7,25.6,0
1.27,8.34,0.218,19.5,21.2,0
1.28,6.62,1.88,14.4,16.0,0
1.3,7.62,3.34,12.3,14.8,0
1.32,8.88,4.14,9.71,13.8,0
1.34,9.0,5.64,7.89,13.2,0
1.36,11.0,9.09,0.381,14.3,0
1.38,8.93,8.14,-0.554,12.1,0
1.39,9.23,6.25,1.0,11.2,0
1.41,8.49,6.21,-4.48,11.4,0
1.43,8.44,5.52,-3.2,10.6,0
1.45,5.35,4.05,-3.34,7.5,0
