Time (s),x,y,z,total_acceleration,Walking(0)/Jumping(1)
0.119,0.27,-0.015,-0.253,0.371,0
0.137,0.422,0.183,-0.585,0.745,0
0.155,0.167,-0.196,-0.465,0.532,0
0.174,-0.12,-0.0952,-0.297,0.334,0
0.192,-0.0708,0.271,0.172,0.328,0
0.211,0.103,0.338,0.175,0.394,0
0.229,-0.283,-0.338,0.442,0.624,0
0.248,-0.554,-0.843,0.457,1.11,0
0.266,-0.794,-0.619,0.607,1.18,0
0.284,1.1,-0.0116,-0.708,1.31,0
0.303,1.1,0.285,0.501,1.24,0
0.321,-0.175,0.227,0.241,0.375,0
0.34,-0.885,-0.841,0.998,1.58,0
0.358,-1.21,0.312,0.285,1.28,0
0.376,0.445,0.742,-0.486,0.992,0
0.395,0.654,0.176,-0.939,1.16,0
0.413,-0.0639,0.177,-2.2,2.21,0
0.432,-0.735,0.632,-2.2,2.41,0
0.45,-0.797,1.23,-2.57,2.96,0
0.468,-0.937,1.48,-2.59,3.13,0
0.487,-2.37,1.05,-1.16,2.85,0
0.505,-3.73,1.73,0.921,4.22,0
0.524,-3.91,0.296,1.3,4.13,0
0.542,-3.49,0.204,0.833,3.59,0
0.561,-2.54,-0.163,0.102,2.55,0
0.579,-1.54,-1.91,-1.08,2.68,0
0.597,-1.54,-1.96,-1.39,2.86,0
0.616,-1.29,-1.82,-1.05,2.46,0
0.634,0.0196,-0.984,-0.592,1.15,0
0.653,-1.21,-3.05,1.34,3.54,0
0.671,-0.347,-3.97,2.33,4.62,0
0.689,1.66,-4.28,1.34,4.79,0
0.708,0.498,-4.37,0.473,4.43,0
0.726,2.84,-4.29,-0.946,5.23,0
0.745,3.89,-4.31,-1.1,5.91,0
0.763,4.2,-4.63,0.709,6.29,0
0.782,3.58,-4.47,-0.292,5.73,0
0.8,3.22,-4.55,-1.69,5.82,0
0.818,3.71,-4.43,-1.81,6.06,0
0.837,5.06,-4.15,0.00364,6.55,0
0.855,5.66,-3.89,2.09,7.18,0
0.874,3.24,-2.98,4.26,6.13,0
0.892,1.02,-2.17,4.4,5.01,0
0.91,0.324,-1.15,3.26,3.47,0
0.929,-0.185,-0.532,2.57,2.64,0
0.947,-0.53,0.0969,1.88,1.95,0
0.966,-1.73,1.82,1.17,2.77,0
0.984,-3.55,2.26,0.782,4.28,0
1.0,-4.34,2.03,1.16,4.92,0
1.02,-5.64,1.72,0.823,5.95,0
1.04,-5.89,2.87,0.267,6.56,0
1.06,-6.65,2.48,-0.358,7.1,0
1.08,-6.45,2.45,-1.47,7.05,0
1.09,-12.7,2.73,-4.0,13.6,0
1.11,-7.62,3.65,-6.22,10.5,0
1.13,-4.02,1.7,-5.87,7.32,0
1.15,-3.22,1.11,-0.0753,3.41,0
1.17,-2.73,1.45,4.15,5.18,0
1.19,-1.46,1.78,2.69,3.54,0
1.21,1.22,1.84,0.439,2.25,0
1.22,3.61,0.671,0.11,3.67,0
1.24,3.91,-1.3,1.76,4.48,0
1.26,1.64,-1.17,2.34,3.09,0
1.28,0.397,-1.28,-1.87,2.3,0
1.3,0.674,-0.148,-4.04,4.1,0
1.32,0.393,-1.1,-1.57,1.96,0
1.33,0.673,-1.68,-0.227,1.83,0
1.35,1.42,-1.04,-0.0702,1.76,0
1.37,2.67,-0.0617,-0.446,2.71,0
1.39,3.65,0.577,-0.549,3.73,0
1.41,2.2,-0.0656,1.13,2.47,0
1.43,1.38,0.355,1.98,2.44,0
1.44,-1.91,-0.768,1.99,2.87,0
1.46,-5.92,-1.7,1.16,6.26,0
1.48,-4.25,-1.78,-2.82,5.4,0
1.5,-2.39,-2.28,-2.41,4.08,0
1.52,-0.554,-0.923,-3.21,3.39,0
1.54,-0.539,2.64,-2.72,3.83,0
1.55,0.0809,3.61,1.47,3.9,0
1.57,0.897,-2.38,2.51,3.57,0
