x,y,z,total_acceleration,Walking(0)/Jumping(1)
1.334954739,1.889652252,0.4814584255,2.363195295,1
2.981351852,1.052369118,1.625921607,3.555215985,1
2.495485306,-0.773563385,0.3650150299,2.638007429,1
1.941369295,-2.246259689,-0.2987978458,2.983936575,1
1.335628867,-2.58112812,0.4571937323,2.941964132,1
1.447136879,-1.718667507,0.9330539703,2.43281994,1
1.462268829,-0.1055030823,0.7259716988,1.635969418,1
0.4645332098,-0.267250061,0.3513486385,0.6408272497,1
-1.307554245,-1.590912819,0.8756705523,2.237744538,1
-2.067356586,-2.330746174,0.450928688,3.147964051,1
-1.555932283,-1.474730492,-0.6265809536,2.233463451,1
-0.9052603245,-0.6983299255,-0.9841196537,1.508526577,1
-1.502153635,-0.8553409576,-1.396585226,2.222279008,1
-1.404084682,-0.1411466599,-2.081603289,2.514845607,1
-1.054698586,0.2725553513,-1.968823671,2.250098259,1
-0.2600369453,-6.042171478,-6.878073215,9.158785211,1
1.65519917,-3.597904682,-1.576204777,4.2625138,1
0.4115163088,0.6016979218,2.052033663,2.177665772,1
1.024663448,3.605338097,2.763650894,4.656840585,1
0.6814260483,2.847184181,0.7782104015,3.029259093,1
-1.446327567,1.460112572,-0.2337837219,2.068440713,1
-2.030748129,0.4653091431,-0.4943478107,2.141221689,1
-1.692724586,-1.603724003,-1.265737772,2.653175325,1
-0.9153525829,-1.765803337,-1.3497262,2.40368313,1
-0.3857398033,-0.4970741272,1.334211349,1.47512637,1
1.520853043,0.9103345871,0.1225128174,1.776713941,1
0.687477231,0.2671546936,-1.275045395,1.473002828,1
-1.000856161,-3.037301064,-4.145532131,5.235680229,1
-0.3352776766,0.06450653076,-2.591383457,2.613778957,1
1.258862257,1.350259781,-2.198814631,2.871014009,1
0.5042780638,1.23597908,-11.61448574,11.69094606,1
-3.136086464,-3.93232584,22.86675453,23.41338693,1
0.3377710581,-0.6013183594,-0.5967058539,0.9119928361,1
1.193135142,-0.2014312744,1.01373601,1.578545762,1
1.878750563,0.5344715118,2.212200165,2.951134196,1
1.625727654,1.165569305,1.799201488,2.690477319,1
0.9071035385,1.043105125,1.233543038,1.852709788,1
-0.5280939341,1.679071426,0.1567127705,1.767122789,1
-0.8909714222,0.6266231537,-1.581936955,1.920679875,1
-0.1384646893,0.2942771912,-1.800498843,1.829635925,1
0.09191732109,-0.003739356995,-2.879221678,2.880690932,1
0.5149938464,0.3308057785,-1.273907542,1.413326413,1
-1.407508373,-2.002793789,-0.9374508858,2.621273916,1
-0.8109560609,0.8249750137,-0.3822171092,1.218328127,1
0.473960489,-1.051321983,-1.029466152,1.545870957,1
1.408462405,-0.4265155792,0.5799797773,1.581789628,1
0.9903230071,-0.135638237,0.9959222674,1.411027481,1
-0.7739636898,-1.66535759,0.3962228298,1.878677254,1
0.3285540938,1.256302834,2.951201439,3.224257207,1
2.162005424,2.041435242,4.296664238,5.225231945,1
3.937810421,0.2637910843,2.83797574,4.861074259,1
3.200213909,-0.3008670807,2.743804455,4.22615108,1
2.187738419,-2.633030891,2.594712257,4.295530557,1
1.388812184,-4.219132423,1.983045816,4.864395995,1
0.9093870521,-4.676743507,1.480580807,4.989091517,1
0.8920933604,-4.545132637,1.048688173,4.749084979,1
1.046072006,-2.402335167,0.9421535134,2.784445033,1
1.153351068,0.8426818848,0.7582591176,1.617185313,1
-0.1499109119,0.06241607666,0.7239376307,0.7419263718,1
-2.180981398,-2.264883995,-9.266593933,9.785506757,1
-0.3972631097,-0.6518936157,-20.56090546,20.5750727,1
0.74335742,0.1294717789,-11.83219719,11.85623184,1
0.655326128,-1.442410946,-3.664427519,3.992246324,1
0.4354416132,-2.166461468,-1.254754782,2.541175762,1
0.3238728046,-2.273762703,-1.213723183,2.597694052,1
0.9455958605,-0.9368839264,-1.103394747,1.728983224,1
1.364156842,0.5482225418,-0.6742048264,1.617412747,1
1.366967678,1.419407845,-0.4127566814,2.013377098,1
0.7026925087,1.009923935,0.4134969711,1.29796104,1
0.4499671459,0.7713651657,1.150300741,1.456250819,1
0.6710115671,0.7781381607,1.709998369,1.994956126,1
0.6585680246,1.035905838,1.919135332,2.278133704,1
0.4290161133,0.69830513,1.534567118,1.739707193,1
0.144925952,-0.00741481781,1.405488968,1.412960633,1
-0.1546509266,0.4913225174,1.763638973,1.837317924,1
-0.7193090916,0.6957240105,1.214364529,1.573568771,1
-1.129814148,1.301357269,-0.464571476,1.784891427,1
-1.619659662,1.539419174,-1.37492609,2.623648332,1
-0.65365839,2.60530138,-1.885673523,3.281863679,1
0.004963874817,2.464369774,-1.54480648,2.908534009,1
-0.4061620235,1.646048546,-0.8059682846,1.877239537,1
-1.087385416,1.501636505,0.08709621429,1.856045524,1
-1.077240229,1.219029427,0.1270422935,1.631753351,1
-1.030599356,0.5577735901,-0.9818437099,1.528811133,1
-0.5164539814,-0.3215894699,-0.8503882885,1.045612138,1
-0.02626276016,-0.7167634964,-1.126384735,1.335358459,1
-0.08399677277,-0.7761955261,-0.8957874775,1.188263505,1
-0.3106613159,-0.8230199814,-0.9822230339,1.318572877,1
-0.5005576611,-0.623998642,0.5666613579,0.9803251357,1
-0.3562839031,-0.943031311,0.4676029682,1.11126001,1
-0.2850165367,-0.7914533615,0.6329374313,1.05273104,1
-0.6017234325,-0.4947385788,0.3755249977,0.8647868954,1
-0.8012824059,-0.2379179001,0.326063633,0.8972044995,1
-0.7287833691,0.175154686,0.3218827248,0.8157284178,1
-1.077121019,0.4496622086,1.431478739,1.847029283,1
-1.870309114,-1.868187428,1.352576017,2.96945152,1
-1.175159693,-0.8654928207,0.6620178223,1.602605916,1
-0.3382306099,-0.1721553802,0.3390831947,0.5089349992,1
0.09309911728,1.129461288,0.8676614761,1.427300489,1
-0.02465415001,2.687850952,1.388305187,3.02531682,1
-1.816040277,-1.013314724,2.933344364,3.595736111,1
-2.709259748,-3.451015949,2.385707855,4.994116682,1
-3.110177517,-4.117815971,1.485139132,5.369846441,1
-0.9193980694,-2.572247982,0.101578474,2.733508858,1
0.9138416052,-0.1199741364,-0.8247439861,1.236811593,1
1.455946565,2.623334885,-0.5877933502,3.057313746,1
1.902359128,6.761836052,-1.012722731,7.096971493,1
1.716439247,9.491118431,-2.164597273,9.88498731,1
1.454473019,10.89622593,-3.518974543,11.54237467,1
0.2886920571,7.550004959,-3.127146721,8.177100012,1
-1.03702426,5.551486015,-3.264080286,6.522931581,1
-1.575888515,6.200249672,-2.747619867,6.962466197,1
-2.62757802,5.567871094,-5.136066437,8.017763604,1
-4.016289711,3.560840607,-5.544036865,7.716638752,1
-3.550830603,1.517131805,-3.450461388,5.178394604,1
-2.801106453,-0.5657167435,-1.341579914,3.156908212,1
-2.058275223,-2.745177269,0.1190526485,3.433171808,1
-1.223370671,-4.087443352,1.137761116,4.415691261,1
0.308906436,-4.666337013,2.097233295,5.125281632,1
1.516158581,-6.016720772,2.682591677,6.759878978,1
2.030886889,-7.686475754,3.406529903,8.649326971,1
1.657839537,-8.830091476,3.674759865,9.706843332,1
1.689063668,-8.944648743,2.612356186,9.470168005,1
2.325761318,-8.826463699,0.3107972145,9.133029183,1
2.326195955,-9.068338394,0.4097504616,9.370904134,1
0.4691360891,-10.90589046,3.03657937,11.33046115,1
-1.938697338,-13.02440453,3.951508522,13.74802096,1
-3.015336514,-13.81027603,4.18806076,14.74299262,1
-1.609558105,-13.73855686,2.219257355,14.00941559,1
-2.032816648,-10.00510502,0.7259714603,10.23530676,1
-2.749132633,-7.866110325,1.609416962,8.486674545,1
-2.098730326,-5.634237766,2.413841486,6.47888377,1
0.3626340032,-1.495246887,3.474736691,3.8001397,1
4.533465862,8.079034805,0.6026889086,9.283660379,1
7.670008659,20.92646408,-3.236521959,22.52156758,1
8.983390808,25.02311707,-6.528824806,27.37669175,1
8.643850327,16.16424561,-24.6204586,30.69472212,1
1.43273139,9.819319725,-9.624166489,13.82375997,1
-3.0131042,11.43152714,-7.085214615,13.78255694,1
-5.274062634,11.76657295,-4.874475479,13.78508204,1
-4.898182392,11.82579613,-1.998312712,12.9551109,1
-5.156624794,11.45259571,0.2433054447,12.56232165,1
-3.471891165,8.81131649,0.5095684528,9.484354831,1
-0.52327317,4.729410172,-0.6020827293,4.7962109,1
1.840416193,1.571808815,0.06941175461,2.421266756,1
2.84483099,-0.8925619125,0.6359982491,3.048642961,1
2.758969545,-3.240177155,1.036632061,4.380098969,1
1.850444078,-5.61597538,1.806482077,6.182774478,1
0.65327847,-8.150695801,2.900969744,8.676188118,1
-0.06860592961,-9.532012939,3.724836826,10.23417739,1
-0.2565761209,-9.934390068,4.239997387,10.80442109,1
-0.7539758682,-10.2774477,4.873663425,11.39943007,1
-1.007716417,-10.50348473,6.125857353,12.20101685,1
-1.388158083,-10.67188549,6.225373745,12.43267473,1
-1.699249268,-10.83899975,5.997811317,12.50380359,1
-1.609933376,-10.61955547,5.11564827,11.89691982,1
-1.470668316,-10.4921217,3.589824438,11.18634536,1
-2.253532171,-10.91585159,2.304269552,11.38173455,1
-3.562737465,-11.32911301,2.347315311,12.10585763,1
-4.71268034,-9.860033989,3.149724245,11.37323125,1
-4.61568737,-7.033970833,5.063853264,9.819568496,1
-2.746011972,-5.756191254,5.911881447,8.696244117,1
-0.2666656971,-5.281675816,4.972626209,7.259078553,1
8.784169197,4.719248772,-7.562747955,12.51511463,1
44.5933609,40.18964005,-33.27650452,68.63745884,1
10.57773972,20.13586044,-13.46879578,26.43387813,1
-1.920669079,10.06793213,8.490369797,13.30934282,1
-1.315544844,16.00677109,8.818764687,18.3226087,1
-0.9161906242,15.7928133,0.8258213997,15.84090711,1
0.7130026817,14.09897137,-4.633642197,14.8579947,1
-0.4556441307,10.0902853,-5.156465054,11.3406614,1
-0.6439058781,6.98118782,-3.644535542,7.901533869,1
-0.2728974819,2.853170395,-0.2853050232,2.880356453,1
0.4090828896,-0.9055223465,2.330269575,2.533273736,1
0.04398274422,-3.650303364,3.91407299,5.352253404,1
0.183151722,-5.187411308,4.096641541,6.612507281,1
-0.008252382278,-6.599682808,2.846781969,7.187492528,1
0.002896547318,-7.609528065,1.714592576,7.800304703,1
-1.225566149,-8.874248505,2.659441948,9.344887928,1
-2.173709869,-9.024859428,3.645105839,9.972958381,1
-3.125834942,-9.118981361,3.821430683,10.36966719,1
-3.565611124,-9.169754982,3.290613413,10.37430122,1
-3.618195057,-9.057095528,2.617711306,10.09825368,1
-4.018854141,-9.36063385,2.433442116,10.47350444,1
-4.584317207,-9.60849762,2.848604441,11.02060516,1
-4.824687958,-9.692286491,3.74933815,11.45755506,1
-5.180927277,-9.509902,4.367492676,11.67712447,1
-4.817242622,-8.52073288,4.168442726,10.63882654,1
-3.838918686,-8.177513123,3.442647457,9.667514627,1
-3.377704144,-6.49450016,4.454890251,8.569332807,1
10.32101536,17.77786255,-0.05620646477,20.5567243,1
29.38002586,57.58777237,-18.67677307,67.29308507,1
4.828893661,10.20132065,-10.58316898,15.47218868,1
0.5935668945,3.710818291,-8.137587547,8.96341593,1
1.960733891,9.273721695,-3.105847359,9.97460171,1
2.336909294,13.61095142,-0.7638939619,13.83122112,1
-0.1728167534,8.680315971,1.53403914,8.816520123,1
-0.1091942787,5.289819717,-0.02776241302,5.291019447,1
0.0936729908,4.65335083,-3.692141771,5.940905607,1
-0.1917369366,1.683444977,-2.329516411,2.880520222,1
0.7590711117,-1.433320045,1.339172602,2.103325596,1
0.3153500557,-4.52908802,2.800181389,5.334144708,1
-0.4580125809,-6.686022758,2.562776089,7.174991089,1
-1.18507576,-8.723605156,0.5103282928,8.818510443,1
-1.795837641,-10.32360935,-4.668426037,11.47153628,1
-3.113688946,-11.69014835,-3.442275524,12.57791271,1
-3.347363472,-11.83889294,0.3021464348,12.30672664,1
-3.356645823,-11.6287365,2.273251295,12.31512303,1
-3.17315197,-11.28426933,2.49840951,11.98522749,1
-3.361642122,-11.35282898,1.962787986,12.0016624,1
-3.397314072,-11.21441364,1.898486376,11.87051249,1
-3.332898378,-10.96078205,1.838262081,11.60285147,1
-3.164523602,-10.61781597,1.710305095,11.21059183,1
-2.808318853,-9.657108307,1.617568612,10.18640878,1
-1.649445057,-9.418878555,1.393641233,9.66323849,1
-0.4797703028,-7.97813797,0.7970013618,8.032189999,1
16.69138145,41.32077408,-12.8068676,46.36835605,1
3.99649334,29.46124649,-6.206873894,30.37206426,1
1.469773293,16.27622604,-5.28849411,17.17684307,1
4.476912498,9.859600067,-8.549051285,13.79640304,1
1.728360176,13.33891869,-5.175581455,14.41182237,1
-2.329787254,14.2251873,-1.191975117,14.46390912,1
-4.046628952,11.45742989,-1.396783352,12.23106329,1
-3.938783646,5.663225174,-1.983546972,7.177784795,1
-1.831840992,0.5079479218,-2.070424795,2.810749249,1
0.6440262794,-2.5127635,0.8489753008,2.729378925,1
1.436912298,-4.665117741,4.569041729,6.686118665,1
0.5365487337,-7.113884926,5.335858345,8.908794956,1
-0.7745471001,-9.463060379,4.179010391,10.37369572,1
-0.8849364519,-10.03845596,2.374307632,10.35331094,1
-0.1810625792,-10.30028343,-4.705548286,11.32567027,1
-0.1910351515,-11.60785007,-7.479418755,13.81015506,1
-1.074735403,-12.70010853,-1.791249752,12.87075711,1
-1.503442407,-12.44682217,0.4144374132,12.54414124,1
-2.378132582,-12.22086334,1.983795881,12.60715914,1
-3.10458374,-12.33736897,2.644743681,12.99399024,1
-3.669488192,-12.20487881,2.187964916,12.93102474,1
-5.074100494,-9.963815689,0.6266870499,11.19896672,1
-5.844314575,-8.601078987,-0.008092164993,10.39878061,1
-4.213344574,-7.33932209,-0.1249022782,8.463658891,1
0.8568398952,-1.780481815,-0.9064396024,2.173918778,1
21.26114845,58.53791809,-4.907323837,62.47244285,1
10.02730942,22.72252274,-16.03571129,29.56355882,1
3.308289051,8.053030968,-6.577934265,10.91170488,1
1.728075027,10.31513023,1.072795749,10.51375507,1
0.9742307663,11.07041454,2.131593943,11.31578086,1
-0.3146545887,12.37117767,0.7966338396,12.40079312,1
-0.2081468105,9.373955727,0.1272099018,9.377129274,1
-0.2761313915,5.917479515,-1.721093893,6.168871578,1
-0.7237167358,1.850815773,-2.975570917,3.578170933,1
-0.9181957245,-1.768474102,-1.459111214,2.469734717,1
-0.5675239563,-4.452011585,0.8292706013,4.564009238,1
-1.078946829,-6.6015625,2.242510557,7.055041268,1
-1.874680161,-8.002539635,2.852912426,8.700239975,1
-2.484628201,-9.086942673,2.81304884,9.831538446,1
-2.90302968,-9.648771286,2.669164658,10.42356986,1
