Time (s),x,y,z,total_acceleration
8.51,-0.591,0.136,-0.191,0.635
6.39,-0.229,4.16,-0.597,4.21
9.25,-0.74,0.279,-0.236,0.825
6.71,0.513,0.757,-0.605,1.1
2.9,0.214,-0.736,1.22,1.44
7.76,-1.25,0.683,-0.547,1.53
1.74,3.05,3.88,2.34,5.46
2.45,-0.398,1.24,-0.0569,1.3
3.76,-2.35,-0.00135,-0.199,2.36
4.29,-1.79,-2.28,-1.26,3.16
6.17,-2.43,0.812,0.36,2.59
8.0,-2.94,0.457,0.803,3.08
7.7,-1.8,-0.00996,-0.195,1.81
7.9,-0.556,-0.0669,-0.938,1.09
7.41,-0.868,-0.379,-0.721,1.19
4.87,2.63,-0.454,-0.712,2.76
8.95,-0.13,-0.138,-0.0877,0.208
9.03,-1.0,-0.541,0.354,1.19
4.04,-1.45,1.0,4.29,4.64
4.59,0.794,2.23,-0.716,2.47
8.05,-0.993,1.06,0.343,1.49
3.89,-3.82,0.377,0.0712,3.84
3.59,-1.13,0.397,-0.307,1.24
6.87,0.67,-0.911,-0.105,1.14
7.46,-0.651,1.97,0.485,2.13
7.24,-1.1,2.04,1.46,2.74
4.02,1.39,-0.597,1.15,1.9
3.04,-1.38,-2.63,2.52,3.89
0.373,-1.1,-1.95,5.02,5.49
0.649,2.58,0.775,5.48,6.11
9.21,-0.557,-0.159,-0.94,1.1
1.86,-3.08,-4.73,1.21,5.78
6.43,-0.475,1.44,-0.633,1.64
6.58,-2.48,-2.49,-2.17,4.13
4.5,-2.9,-0.844,-0.51,3.06
9.19,-0.00415,-0.205,-1.01,1.03
5.71,-0.313,-0.941,-0.123,0.999
6.12,-0.374,0.25,-0.591,0.743
6.1,-0.765,0.156,-0.153,0.795
4.42,-1.69,-1.5,3.16,3.89
6.28,0.244,-0.266,-0.325,0.486
5.31,-2.35,0.529,-1.46,2.82
6.76,-0.763,0.0177,0.196,0.788
3.61,-1.12,-0.678,0.868,1.57
5.05,-3.4,0.949,0.355,3.55
0.207,1.22,-0.078,4.43,4.59
4.35,1.48,-1.33,-0.216,2.0
6.26,-0.553,-0.675,0.271,0.913
4.66,-2.07,0.683,1.93,2.92
3.87,-1.08,-0.286,0.276,1.15
0.667,1.26,-0.274,3.44,3.67
4.13,-1.38,1.42,3.17,3.73
0.943,-0.513,-0.395,1.62,1.74
8.22,-1.4,-0.267,-0.0175,1.42
8.88,0.0206,0.236,-0.384,0.451
1.72,2.29,2.42,-0.397,3.35
7.72,-1.43,0.464,0.305,1.53
0.722,-0.702,-1.84,0.102,1.97
7.02,3.38,-1.68,-4.58,5.93
6.96,-3.33,-1.97,0.787,3.94
1.2,-0.854,-0.706,-1.45,1.83
4.7,-1.17,0.0526,-0.685,1.36
8.01,-1.78,0.54,0.68,1.98
2.66,-0.723,1.38,2.33,2.81
8.6,0.446,0.325,-0.458,0.717
0.299,0.879,-0.412,-0.0426,0.971
4.88,3.08,-0.156,1.61,3.48
8.12,-0.597,0.0504,-0.142,0.615
0.999,-0.0294,-0.242,1.31,1.34
8.25,-1.19,-0.00869,-0.175,1.2
5.44,-0.537,0.603,0.674,1.05
0.98,-0.0619,-0.485,1.81,1.87
3.26,2.03,-3.28,2.47,4.58
5.25,-1.11,1.72,0.937,2.25
4.37,1.17,1.43,0.651,1.96
5.77,-0.401,-0.715,-1.1,1.38
0.593,1.94,-2.66,4.36,5.46
6.36,-3.82,1.12,2.73,4.83
1.83,-0.461,-1.9,3.81,4.28
3.65,-1.09,0.898,-0.202,1.43
7.77,0.253,0.819,-0.0713,0.86
6.34,-1.32,-1.99,-1.49,2.82
8.86,-0.664,0.604,0.304,0.948
0.133,0.291,-1.45,-0.84,1.7
6.95,-1.57,-0.0272,2.26,2.75
6.3,0.201,-1.67,-0.752,1.85
2.12,-2.9,4.12,4.26,6.6
0.557,-0.525,-2.38,0.286,2.46
8.93,0.449,-0.127,-0.468,0.661
2.21,3.05,5.67,1.87,6.71
