Time (s),x,y,z,total_acceleration,Walking(0)/Jumping(1)
0.125,0.302,-0.492,-0.292,0.647,1
0.144,0.638,-0.572,0.409,0.949,1
0.162,0.777,-0.578,0.503,1.09,1
0.181,0.659,-0.531,0.367,0.922,1
0.199,0.595,-0.322,0.426,0.799,1
0.217,0.667,-0.25,0.833,1.1,1
0.236,0.571,-0.573,0.847,1.17,1
0.254,0.649,-0.729,0.524,1.11,1
0.273,0.857,-0.864,0.28,1.25,1
0.291,1.03,-0.868,0.36,1.39,1
0.31,1.08,-0.764,0.564,1.44,1
0.328,0.93,-0.875,0.688,1.45,1
0.346,0.894,-0.905,0.611,1.41,1
0.365,0.852,-0.919,0.483,1.34,1
0.383,0.848,-0.77,0.289,1.18,1
0.402,0.757,-0.715,0.15,1.05,1
0.42,0.729,-0.737,0.271,1.07,1
0.438,0.906,-1.0,1.65,2.14,1
0.457,0.401,-0.591,0.612,0.94,1
0.475,0.119,-0.504,0.00491,0.518,1
0.494,0.261,-0.572,-0.571,0.849,1
0.512,0.612,-0.669,-0.523,1.05,1
0.53,0.805,-0.643,-0.161,1.04,1
0.549,0.734,-0.729,0.12,1.04,1
0.567,0.759,-0.794,0.273,1.13,1
0.586,0.828,-0.858,0.192,1.21,1
0.604,0.873,-0.879,0.241,1.26,1
0.623,0.862,-0.739,0.294,1.17,1
0.641,0.767,-0.768,0.382,1.15,1
0.659,0.74,-0.683,0.26,1.04,1
0.678,0.604,-0.633,0.111,0.881,1
0.696,0.435,-0.599,0.0849,0.745,1
0.715,0.395,-0.47,-0.02,0.615,1
0.733,0.422,-0.473,0.0584,0.636,1
0.751,0.544,-0.567,0.0923,0.791,1
0.77,0.69,-0.675,0.0453,0.966,1
0.788,0.785,-0.773,0.0265,1.1,1
0.807,0.749,-0.676,0.32,1.06,1
0.825,0.849,-0.623,0.651,1.24,1
0.844,0.777,-0.895,0.598,1.33,1
0.862,0.915,-0.976,0.488,1.42,1
0.88,0.889,-0.885,0.394,1.32,1
0.899,0.645,-0.88,0.306,1.13,1
0.917,0.439,-0.617,0.0811,0.761,1
0.936,0.223,-0.324,-0.185,0.434,1
0.954,0.0309,-0.217,-0.23,0.318,1
0.972,0.048,-0.161,-0.0708,0.182,1
0.991,0.101,-0.268,0.293,0.41,1
1.01,0.195,-0.39,0.434,0.615,1
1.03,0.138,-0.394,0.298,0.513,1
1.05,0.571,-0.782,0.326,1.02,1
1.06,0.804,-0.455,-0.285,0.967,1
1.08,0.732,-0.516,-0.179,0.913,1
1.1,0.737,-0.511,-0.00831,0.896,1
1.12,0.616,-0.535,0.202,0.84,1
1.14,0.431,-0.59,0.321,0.798,1
1.16,0.507,-0.672,0.413,0.938,1
1.17,0.74,-0.73,0.359,1.1,1
1.19,0.936,-0.888,0.368,1.34,1
1.21,1.05,-0.851,0.405,1.41,1
1.23,1.01,-0.807,0.428,1.36,1
1.25,0.924,-0.805,0.471,1.31,1
1.27,0.852,-0.996,0.486,1.4,1
1.29,1.01,-0.886,0.749,1.54,1
1.3,1.01,-0.704,0.696,1.42,1
1.32,0.767,-0.739,0.506,1.18,1
1.34,0.671,-0.597,0.4,0.983,1
1.36,0.558,-0.571,0.214,0.827,1
1.38,0.342,-0.578,0.0986,0.679,1
1.4,0.316,-0.573,-0.0668,0.658,1
1.41,0.434,-0.452,-0.0881,0.633,1
1.43,0.543,-0.51,0.0961,0.751,1
1.45,0.627,-0.545,0.2,0.854,1
1.47,0.561,-0.56,0.334,0.86,1
1.49,0.411,-0.561,0.354,0.781,1
1.51,0.45,-0.82,-0.364,1.0,1
1.58,0.414,-0.566,0.404,0.809,1
1.6,0.572,-0.456,0.561,0.922,1
1.62,0.622,-0.438,0.365,0.843,1
1.64,0.557,-0.543,0.301,0.834,1
1.65,0.576,-0.484,0.304,0.812,1
1.67,0.539,-0.509,0.271,0.789,1
1.69,0.585,-0.47,0.265,0.796,1
1.71,0.595,-0.519,0.297,0.844,1
1.73,0.616,-0.562,0.369,0.912,1
1.75,0.601,-0.521,0.384,0.883,1
1.76,0.548,-0.523,0.329,0.826,1
1.78,0.499,-0.49,0.296,0.759,1
1.8,0.49,-0.429,0.266,0.703,1
1.82,0.476,-0.471,0.169,0.69,1
1.84,0.551,-0.521,0.0572,0.76,1
1.86,0.674,-0.542,-0.409,0.957,1
1.87,0.601,-0.49,-0.0416,0.776,1
1.89,0.483,-0.582,0.266,0.802,1
1.91,0.56,-0.553,0.217,0.816,1
1.93,0.661,-0.617,0.115,0.911,1
1.95,0.84,-0.677,-0.0606,1.08,1
1.97,0.974,-0.749,0.00958,1.23,1
1.99,0.973,-0.731,0.144,1.23,1
2.18,0.269,-0.153,-0.256,0.402,1
2.2,0.312,-0.224,-0.242,0.454,1
2.22,0.28,-0.156,-0.0874,0.333,1
2.24,0.143,-0.193,0.00561,0.24,1
2.26,0.0269,-0.0478,-0.0215,0.0589,1
2.28,-0.182,-0.0145,-0.104,0.21,1
2.29,-0.199,-0.0108,-0.092,0.22,1
2.31,-0.216,0.0307,-0.114,0.246,1
2.33,-0.201,0.0194,-0.242,0.315,1
2.35,-0.108,0.0475,-0.283,0.306,1
2.37,-0.085,0.031,-0.18,0.201,1
2.39,0.0484,-0.0335,0.0621,0.0856,1
