x,y,z,total_acceleration,Walking(0)/Jumping(1)
-0.2865650225,-0.3253718233,-0.2795255595,0.5158690473,1
-0.2051711959,-0.2844997859,-0.6655844647,0.7523549876,1
-0.1204985431,-0.1943275344,-0.9486885202,0.9758550086,1
-0.01246187836,-0.07882982254,-1.105055346,1.107933553,1
-0.07995599627,0.01219027519,-1.118975812,1.121895018,1
-0.1131939089,0.04720135599,-0.8778705525,0.8863958123,1
0.0836727789,0.05955009073,-0.4550700831,0.4665148742,1
0.2920859635,0.07513204336,-0.072039451,0.3100785651,1
0.3795722964,0.07964112371,0.08227207839,0.396467567,1
0.4205653712,-0.02425980538,0.1747662592,0.4560778607,1
0.3970306206,-0.1262264755,0.2745793998,0.4989592003,1
0.2504815623,-0.1738134554,0.2176421374,0.37459342,1
0.09908370048,-0.2449866414,0.09005823076,0.2791890383,1
-0.05644375741,-0.3654892775,-0.06862116873,0.3761345166,1
-0.1290357703,-0.4664297614,-0.3521240044,0.5984966723,1
-0.08380814195,-0.4916043636,-0.7601742876,0.9091554336,1
-0.03619134128,-0.4707666412,-0.9622680938,1.071863297,1
0.06679449856,-0.412770448,-0.968916378,1.055291379,1
0.1897228521,-0.3113206717,-0.9816410887,1.047155456,1
0.1879435444,-0.2430342561,-0.9568407083,1.004954012,1
0.1500676203,-0.1750881484,-0.8397379357,0.8708248681,1
0.08513136685,-0.1160037884,-0.6243914151,0.6407564809,1
-0.02041613817,-0.1404308242,-0.2534709513,0.2904912361,1
-0.03077155709,-0.1889437106,0.113141284,0.2223680837,1
0.03940730989,-0.1582601541,0.4861720079,0.5127986288,1
0.3816951281,-0.02567921698,0.6412992239,0.7467364244,1
0.817882213,0.1096753469,0.4754862213,0.9523902261,1
1.255221199,0.171195657,0.3330492175,1.309889306,1
1.646788766,-0.00584253788,0.2640854019,1.667839463,1
1.953683973,-0.3116133249,0.3195684618,2.004022937,1
2.232446471,-0.7094888681,0.4079596514,2.377734799,1
2.135291474,-1.122056125,0.4298861253,2.450159528,1
1.648038316,-1.378516173,0.01982673883,2.148657775,1
1.00718465,-1.658204286,-0.7787836361,2.090589946,1
0.3784060693,-1.884817806,-1.712026151,2.57424996,1
-0.180810526,-2.057668517,-2.311195894,3.0997288,1
-0.7928251398,-2.034511789,-2.43933324,3.273859584,1
-1.552455636,-1.789684777,-2.822449826,3.685011957,1
-2.223189744,-1.410619726,-3.101878906,4.068669733,1
