Time (s),x,y,z,total_acceleration,Walking(0)/Jumping(1)
0.006757791736,1.208422132,-1.223063852,-2.971384841,3.432972051,0
0.01676979172,1.076683778,-1.107366166,-3.573522922,3.893016036,0
0.0267807917,0.9653826132,-0.9035690653,-3.95408486,4.169315019,0
0.03679279168,0.8724601239,-0.6564815193,-4.028250943,4.173602798,0
0.04680479167,0.8174799246,-0.486801753,-3.73883131,3.857992864,0
0.05681679177,0.7620965597,-0.4060446882,-3.283918517,3.395553605,0
0.06682879175,0.8390462101,-0.1162625277,-3.055968908,3.171192439,0
0.07683979173,0.8087257656,0.2947382605,-2.815736638,2.944364247,0
0.08685179171,0.6806691116,0.7093649071,-2.637478421,2.814747135,0
0.0968637917,0.5584120184,0.9515296823,-2.356689863,2.602156765,0
0.1068757917,0.3468603408,1.014632249,-1.973955685,2.246395277,0
0.1168877917,0.1416642943,1.019440999,-1.58721324,1.89171208,0
0.1268997918,-0.01179237217,1.067070079,-1.278280864,1.665166532,0
0.1369107917,-0.1382205766,1.162436997,-1.07477437,1.589183641,0
0.1469227917,-0.216658051,1.255052215,-0.9194980502,1.570851182,0
0.1569347917,-0.3630720386,1.360757595,-0.8330364418,1.636286115,0
0.1669464167,-0.6437050608,1.477139698,-0.8941790217,1.842784311,0
0.1769584167,-0.8296507578,1.702098456,-0.9815223902,2.13280232,0
0.1869694167,-0.9142164065,1.902615853,-0.8152667534,2.262829778,0
0.1969814167,-0.868624789,2.119003763,-0.3306612146,2.313876144,0
0.2069934168,-0.6939481384,2.416676449,0.2569178849,2.527428708,0
0.2170054168,-0.5924969003,2.585664489,0.8631496024,2.789577148,0
0.2270174167,-0.5513769409,2.664905956,1.567225703,3.140372062,0
0.2370284167,-0.6213384376,2.596126328,2.233281453,3.480442416,0
0.2470404167,-0.8420578185,2.330490536,2.713354231,3.67458007,0
0.2570524167,-1.220259528,2.0436811,2.751718982,3.638354451,0
0.2670644167,-1.486126868,1.606705811,2.575686216,3.379975756,0
0.2770764168,-1.28594364,0.9802392188,2.435369412,2.923276269,0
0.2870874167,-1.055533376,0.466521855,2.177211333,2.464151484,0
0.2970994167,-0.9376016877,0.03827324241,1.934974637,2.150508919,0
0.3071114167,-0.9586124146,-0.2039318785,1.889959263,2.128960307,0
0.3171234167,-0.969472302,-0.3826909089,1.812666088,2.090953664,0
0.3271354167,-1.034308276,-0.5703344911,1.685434769,2.05809752,0
0.3371464168,-1.090624271,-0.7697768775,1.659809346,2.130019908,0
0.3471584168,-0.9887980807,-1.04853499,1.870106796,2.36102662,0
0.3571704167,-0.7129113896,-1.371195459,2.264498568,2.741600518,0
0.3671824167,-0.3767157854,-1.720843168,2.666163107,3.195565944,0
0.3771944167,-0.06206453964,-2.199189262,2.888336252,3.630808687,0
0.3872064167,0.1701570453,-2.787744262,3.09266194,4.167136831,0
0.3972174167,0.3212946329,-3.461579441,3.134479473,4.680889235,0
0.4072294168,0.3119322174,-4.147099695,2.550138561,4.878416164,0
0.4172414168,0.2498610266,-4.569487058,1.622206487,4.8553266,0
0.4272534167,0.09444071889,-4.287355102,1.164082403,4.443581963,0
0.4372654167,-0.9963944909,-2.658145697,0.7494089788,2.936009937,0
0.4472764167,-2.531028691,-0.9622303793,-0.2035480088,2.715405187,0
0.4572884167,-3.487532892,-0.7926305737,-0.8035740763,3.665635033,0
0.4673004167,-3.481407934,-1.974050264,-0.5938274342,4.045949414,0
0.4773124168,-1.87901386,-3.111188843,-0.3680553281,3.65317038,0
0.4873244168,-1.09394739,-2.768770047,-0.4925384563,3.017515965,0
0.4973354167,-1.472246456,-2.657911224,-0.9477611518,3.182805822,0
0.5073474167,-1.430695849,-2.623662035,-1.454155755,3.323411207,0
0.5173594167,-0.8394502527,-2.707096833,-5.73840774,6.400185418,0
0.5273714167,0.02464192092,-2.360675618,-7.581467071,7.940531439,0
0.5373834167,0.70482279,-0.8169598147,-8.419164913,8.488023111,0
0.5473944168,1.863746487,-0.0870029144,-9.351715702,9.536021553,0
0.5574064167,2.55429827,-0.06660095572,-8.180662249,8.570420653,0
0.5674184167,3.240765773,0.09343148947,-7.401517839,8.080455344,0
0.5774304167,3.748727138,0.09624283075,-6.646865662,7.631712846,0
0.5874424167,3.731484576,-0.284888041,-5.812751579,6.913264009,0
0.5974544167,3.760642009,-0.6631764351,-5.157804369,6.417567858,0
0.6074654167,4.176663509,-0.8898836571,-4.566731558,6.25231542,0
0.6174774168,5.692023532,-0.759656809,-4.892972277,7.544361343,0
0.6274894167,7.869785088,0.07173408017,-6.286888847,10.07291589,0
0.6375014167,8.032963336,1.333328598,-5.920833267,10.06789609,0
0.6475134167,7.087052827,1.563234686,-3.496780556,8.055898132,0
0.6575244167,4.991535283,0.5759895527,0.1418522823,5.026659977,0
0.6675364167,2.190118769,-1.047545641,3.354492071,4.140844014,0
0.6775484167,0.9754284221,-1.301576902,3.6426604,3.989302925,0
0.6875604168,1.343842769,-0.4635799746,1.973668002,2.432320942,0
0.6975724167,2.479574947,0.05324474573,0.4976161784,2.529574823,0
0.7075834167,3.079963835,-0.03733301014,-0.6699195904,3.152199745,0
0.7175954167,2.878861424,-0.1211954581,-1.117897001,3.090667426,0
0.7276074167,2.685279409,-0.7650987395,0.1134769142,2.794454973,0
0.7376194167,2.041432261,-1.777273477,2.330559241,3.571785697,0
0.7476314168,0.8471114208,-2.23454913,4.549030282,5.138529369,0
0.7576424167,0.3541749153,-2.373323145,5.537175229,6.034766949,0
0.7676544167,0.882666585,-2.073610512,5.065782643,5.54446703,0
0.7776664167,1.04693183,-1.493644487,4.242382413,4.617883568,0
0.7876784167,0.6771770082,-1.176228678,4.267165836,4.4778105,0
0.7976904167,1.023262739e-06,-1.102530737,4.911975728,5.034191055,0
0.8077014167,-0.9984592889,-1.787940991,5.33611521,5.715573416,0
0.8177134168,-2.047946644,-2.642082227,5.626097345,6.544284169,0
0.8277254167,-2.415041567,-2.894063015,5.310226663,6.512029923,0
0.8377374167,-1.870260285,-2.888985293,4.181173759,5.415378432,0
0.8477494167,-1.123817014,-2.663974787,2.874131026,4.076807023,0
0.8577604167,-0.8447726807,-2.437130009,2.439807449,3.550479397,0
0.8677724167,-0.9124118096,-2.514616141,3.041958395,4.050839484,0
0.8777844167,-1.084111058,-2.524924783,3.999473287,4.852455926,0
0.8877964168,-1.343797307,-2.321440216,4.503099234,5.241448138,0
0.8978084167,-1.523014905,-2.113133158,4.109643016,4.865600874,0
0.9078194167,-1.932740416,-2.188592207,3.266742906,4.38144161,0
0.9178314167,-2.380117464,-2.258934212,2.520850443,4.137925793,0
0.9278434167,-2.846244485,-2.161707002,2.098393205,4.144555329,0
0.9378554167,-3.148663648,-2.029976981,2.182590187,4.335733991,0
0.9478674167,-3.234581758,-2.030067905,2.183440372,4.398989282,0
0.9578784168,-3.105018861,-1.798724864,1.782555851,4.006751631,0
0.9678904167,-2.518680249,-0.9635578434,1.512561838,3.091930987,0
0.9779024167,-2.026710726,-1.056075413,1.413448609,2.687133904,0
