Time (s),x,y,z,total_acceleration,Walking(0)/Jumping(1)
0.01063779159,-0.08084711194,0.2535206527,-0.01485134304,0.2665136755,1
0.02064879145,-0.1240937036,0.2657577056,0.03116448998,0.2949536079,1
0.03065979155,-0.08412886173,0.1559347165,0.1091663468,0.2081119709,1
0.04067079164,-0.0016810745,0.0541440475,0.2905598402,0.2955662779,1
0.0506817915,0.06219420165,-0.03298297405,0.3612006372,0.3679971408,1
0.0606937916,0.08851427346,-0.1265553814,0.3512872678,0.3837366098,1
0.07070479146,0.05006122917,-0.1694090402,0.3094328982,0.3563064244,1
0.08071579156,-0.03261518419,-0.184559176,0.1591951239,0.2459043049,1
0.09072679165,-0.2017327407,-0.1819407928,-0.05081698179,0.276370976,1
0.1007377915,-0.351275281,-0.1466464144,-0.1938679433,0.4271817802,1
0.1107487916,-0.4111393672,-0.10729056,-0.299518944,0.5198638681,1
0.1207597915,-0.4606535894,-0.06251550615,-0.3249379599,0.5671812723,1
0.1307707916,-0.4749444768,-0.06138816297,-0.2991154861,0.5646333648,1
0.1407817916,-0.4523370945,-0.1317670047,-0.2508262557,0.5337463828,1
0.1507937915,-0.4057040879,-0.2093923008,-0.1648061121,0.4853885013,1
0.1608047916,-0.3559150466,-0.1945333564,-0.08596342564,0.4146184484,1
0.1708157915,-0.3069536787,-0.1633899164,-0.03776833534,0.3497760324,1
0.1808267916,-0.3026229385,-0.1174512666,0.01731185138,0.3250771341,1
0.1908377917,-0.2744273722,-0.02515355229,0.09655390263,0.2920029793,1
0.2008487915,-0.2979100826,0.02216679454,0.1213414192,0.3224368529,1
0.2108597916,-0.4544417998,0.1024519891,0.08912735403,0.4742967897,1
0.2208707915,-0.6486877656,0.1542390239,-0.03688774467,0.6677920331,1
0.2308817916,-0.7865917155,0.1719297749,-0.3082482523,0.8621504274,1
0.2408937917,-0.891139639,0.2197956669,-0.8054598033,1.221149248,1
0.2509047915,-0.9165437445,0.353330285,-1.379601417,1.693574561,1
0.2609157916,-0.8813572472,0.4869760001,-1.758991572,2.026817104,1
0.2709267915,-0.9086049798,0.4818199253,-1.809401588,2.081261049,1
0.2809377916,-1.399962883,0.1307449114,-1.099288822,1.784776238,1
0.2909487917,-1.405237949,0.5980777752,-0.1094189465,1.531131354,1
0.3009597915,-1.396958584,0.6675310028,0.03759993553,1.548710651,1
0.3109707916,-0.9652890578,0.3819570833,0.1701609921,1.051964325,1
0.3209817915,-0.6013539702,0.160087409,0.3163308585,0.6980829378,1
0.3309937916,-0.3729506171,0.1657668096,0.3291128719,0.5242957947,1
0.3410047914,-0.2496457028,0.2360936111,0.2209031296,0.408486674,1
0.3510157915,-0.5850851159,0.2209721267,-0.4026012629,0.7438017549,1
0.3610267916,-0.8096095723,0.08513604462,-1.184020824,1.43687895,1
0.3710377915,-1.077599891,-0.2445650572,-2.357300313,2.603439716,1
0.3810487916,-1.189177191,-0.6220630538,-2.81047122,3.114458751,1
0.3910597914,-1.075209111,-0.8796451825,-2.928247007,3.24106168,1
0.4010707915,-1.054327242,-1.096961045,-3.058984317,3.416476916,1
0.4110817916,-1.35955263,-1.300701427,-2.524542375,3.14857456,1
0.4210937915,-1.752297095,-1.555320187,-1.901625627,3.017572869,1
0.4311047916,-1.57702242,-1.34314812,-1.37768353,2.487781842,1
0.4411157914,-0.6034366022,-1.083518881,-0.238588618,1.262962164,1
0.4511267915,0.9471784768,-0.4475137264,3.018650808,3.195257158,1
0.4611377916,2.012917729,-0.0969313404,5.188860685,5.566462852,1
0.4711487915,3.498327729,-0.1596661171,5.683402982,6.675691697,1
0.4811597916,4.666928861,-0.5225837892,5.619496424,7.323391213,1
0.4911707914,4.673265196,-1.074408334,4.614550672,6.654910876,1
0.5011817915,3.523247393,-1.408755049,3.204236755,4.96638663,1
0.5111932915,1.571687275,-1.078463379,1.969480226,2.740827705,1
0.5212042916,0.08263153598,-0.6903123397,0.6056844181,0.9220697974,1
0.5312152915,-0.5651534195,-0.6311800325,-0.69172912,1.093743936,1
0.5412262916,-0.786708806,-0.696674695,-1.43340691,1.777335575,1
0.5512372917,-0.7996868473,-0.7524425143,-1.551185621,1.900485628,1
0.5612482915,-0.6789221098,-0.6631292188,-1.191270202,1.52308906,1
0.5712592916,-0.4227243094,-0.6355227596,-0.2893430346,0.8162747156,1
0.5812702915,-0.1231643618,-0.8314635408,0.8145563167,1.170471304,1
0.5912812916,-0.01697899863,-0.8119519669,-0.09198839664,0.8173225483,1
0.6012922917,-0.2934879796,-0.4887874675,0.1877850848,0.6002596277,1
0.6113042915,-0.3325568088,-0.3680600059,0.2165136248,0.5412396408,1
0.6213152916,-0.2289279945,-0.4275022155,-0.3466603661,0.5961036658,1
0.6313262915,-0.2815562975,-0.5477285707,-0.6299994797,0.8810107151,1
0.6413372916,-0.4238498984,-0.7500901794,-0.9163206732,1.257747029,1
0.6513482917,-0.7695194538,-1.18906814,-1.372836773,1.972491834,1
0.6613592915,-0.5783327512,-1.239938332,-1.972678653,2.400703419,1
0.6713702916,-0.640916816,-0.8266869503,-2.846882417,3.032972992,1
0.6813812915,-1.226872582,-0.5315446472,-4.338893046,4.540236658,1
0.6913922916,-1.387235395,-0.2064493972,-4.386216316,4.604990442,1
0.7014042914,-1.213286065,-0.657180554,-3.154164709,3.442775678,1
0.7114152915,-1.663355682,-1.220614161,-1.191104726,2.382305926,1
0.7214262916,-1.416298103,-0.5677567461,1.164637304,1.91953851,1
0.7314372915,-0.580776595,-0.03715057701,2.22066667,2.295657222,1
0.7414482916,0.09842413455,0.3975480992,1.07564619,1.150976337,1
0.7514592914,0.5476676135,0.4936041114,0.01770712316,0.7374946616,1
0.7614702915,0.7662974918,0.5592443696,-0.1954952234,0.9685992428,1
0.7714812916,0.5778642431,0.6497624838,-0.02646274388,0.8699532434,1
0.7814922915,0.4893606408,0.6736135688,0.130697549,0.8427994579,1
0.7915042916,0.3246254262,0.3733412111,-0.09763563752,0.5042797289,1
0.8015152914,0.2480096519,0.03875066757,-0.3671414083,0.444750734,1
0.8115262915,0.1496682554,-0.04244493842,-0.684141773,0.7016068166,1
0.8215372916,0.06988153607,-0.03794433653,-0.9393873543,0.9427469454,1
0.8315482915,0.1651645464,-0.08699341267,-0.819898333,0.840880763,1
0.8415592916,0.3799161127,-0.1378779298,-0.3022782451,0.5046966551,1
0.8515702914,0.8016474187,-0.05279626429,0.250063194,0.8414021812,1
0.8615812915,1.042612345,0.2052460402,0.6375511587,1.239208586,1
0.8715922916,1.045302064,0.5223946318,0.7319854456,1.378896388,1
0.8816032915,1.381819265,0.5396962506,0.3678103298,1.528391627,1
0.8916152916,1.573157703,0.5506708896,-0.08362220049,1.668848783,1
0.9016262915,1.643038655,0.5960046449,-0.2674791259,1.768146668,1
0.9116372915,1.566341604,0.570024004,-0.4014721656,1.714506718,1
0.9216482916,1.515470828,0.5630973923,-0.387882067,1.662583231,1
0.9316592915,1.39496556,0.5113781852,-0.1987608933,1.498980472,1
0.9416702916,1.083972625,0.3581270483,0.1022216088,1.146167916,1
0.9516812915,0.8744399911,0.152731027,0.6192827028,1.082350743,1
0.9616922915,0.8833520249,0.07394330442,0.9973443711,1.334344111,1
0.9717032916,1.06487328,0.1192355445,1.228182505,1.629909348,1
0.9817152915,1.234237881,0.2936500937,1.404774265,1.892871961,1
0.9917262916,1.189884412,0.1679250169,1.522824286,1.939849873,1
1.001737291,0.9039997128,0.1330095381,1.470235598,1.731040072,1
1.011748292,0.383498117,0.1753808016,1.268151147,1.33642679,1
1.021759292,-0.1492963725,0.1390245688,1.056698288,1.076210253,1
1.031770292,-0.5466301712,0.08983252823,1.016943069,1.15803611,1
