Time (s),x,y,z,total_acceleration,Walking(0)/Jumping(1)
0.007924708305,0.6529413226,0.3828704184,-1.903549946,2.048517641,0
0.01793770841,0.8639281592,0.5617189112,-1.674986379,1.966590799,0
0.02795170841,0.7723286024,0.7466394451,-1.457186952,1.810346857,0
0.03796570841,0.4996860927,0.9120399266,-1.286833586,1.654522196,0
0.04797970841,0.08112748593,1.168036875,-1.02339664,1.555066717,0
0.05799370841,-0.2617798448,1.421995192,-0.6249831533,1.575183467,0
0.06800770841,-0.324466382,1.544832621,-0.1772109801,1.588455222,0
0.0780207084,-0.31511493,1.564333085,0.1960162103,1.607749289,0
0.0880347084,-0.2667552406,1.690131252,0.371923846,1.751008097,0
0.0980487084,-0.1653855711,1.885589054,0.4565254551,1.947103992,0
0.1080627084,-0.0465698567,1.999545147,0.6223331952,2.094671371,0
0.1180767084,0.0003370919824,1.975230963,0.8954841202,2.168739099,0
0.1280897084,-0.1447829068,1.903695542,1.304295711,2.312186434,0
0.1381037084,-0.5146321607,1.790910353,1.75478567,2.559585689,0
0.1481177084,-1.039908593,1.630066314,2.159080871,2.89830231,0
0.1581317084,-1.428214875,1.611798736,2.464556374,3.272878093,0
0.1681457084,-1.561175004,1.613130147,2.55899183,3.4040998,0
0.1781597084,-1.593749258,1.509356394,2.563404724,3.374794394,0
0.1881727084,-1.433705411,1.426391129,2.420806337,3.154426442,0
0.1981867084,-1.079840398,1.578755243,2.126555734,2.860203261,0
0.2082007084,-0.8580239332,1.831757247,1.810727152,2.71482458,0
0.2182147084,-0.8423425779,1.835363225,1.748485295,2.671198236,0
0.2282287084,-0.9871298701,1.47602171,2.059865901,2.719579563,0
0.2382417084,-1.405798112,0.9118905303,2.418534109,2.942298406,0
0.2482557084,-1.954208176,0.4743091768,2.842864795,3.48220893,0
0.2582697084,-2.3333814,0.02675510466,3.081786704,3.865591013,0
0.2682837084,-2.578005514,-0.4044665247,2.915507094,3.912785097,0
0.2782977084,-2.482831262,-0.6740839773,2.477519066,3.571686017,0
0.2883117084,-2.858857514,-0.9150114816,2.133162503,3.682484835,0
0.2983247084,-3.2885653,-1.109522619,1.688790486,3.859755883,0
0.3083387084,-2.719190921,-1.125801267,0.7060138679,3.026529917,0
0.3183527084,-2.421151323,-1.397143064,-0.09445416749,2.796945487,0
0.3283667084,-2.175368583,-1.492871339,-0.5521350324,2.695504851,0
