Time (s),x,y,z,total_acceleration
0.009814583347,-0.8600687045,0.2100559598,-0.6881155407,1.121313819
0.01985558332,-0.755968093,0.1956764871,-0.7907715976,1.111349074
0.02989658335,-0.7817028585,-0.06304263264,-0.8483491302,1.155305145
0.03993758332,-0.3753108457,-0.01975569516,-0.7447130799,0.8341738966
0.04997758335,-0.4100281039,-0.005798391402,-0.6818853325,0.7956910669
0.06001858332,-0.4478356156,-0.3351153311,-0.8045382822,0.9798677825
0.07005958335,-0.6065041977,-0.04505601257,-0.5902547854,0.8475128895
0.08010058332,-0.7335592237,-0.06230763763,-0.5092720181,0.895181191
0.09014158335,-0.6098105058,-0.2075431189,-0.6375973517,0.9063516878
0.1001825833,-0.5108194837,-0.2705158773,-0.82627823,1.00839035
0.1102225833,-0.6279433063,-0.2086508739,-0.6778273648,0.9472581061
0.1202635833,-0.6673871613,-0.2661751968,-0.7142432392,1.013113154
0.1303045833,-0.6946348938,-0.2804593599,-0.7079147977,1.030688337
0.1403455833,-0.6470873827,-0.3412572464,-0.7123534191,1.021090585
0.1503865834,-0.6585666364,-0.4231413621,-0.6426218641,1.012779091
0.1604265833,-0.7502223265,-0.5155662534,-0.5709034252,1.074510503
0.1704675833,-0.8461973548,-0.5982248327,-0.5925182426,1.193733966
0.1805085833,-1.004627371,-0.7013460356,-0.6305233902,1.377941276
0.1905495833,-1.293594429,-0.8001844454,-0.7490838736,1.695525978
0.2005905833,-1.473077053,-0.818702285,-0.9851634514,1.952121016
0.2106305833,-1.619685752,-0.8511128166,-1.106759809,2.138385428
0.2206715833,-1.704339402,-0.7746826914,-1.301800704,2.2802612
0.2307125833,-1.562930923,-0.7803001115,-1.800925464,2.508974663
0.2407535833,-1.371368829,-0.7783301845,-2.087468267,2.616099025
0.2507945833,-1.183827573,-0.6800686026,-2.342864122,2.711632962
0.2608345833,-0.9104468527,-0.6488073412,-2.615047917,2.844000712
0.2708755833,-0.5191684306,-0.7736936349,-2.835495549,2.984656213
0.2809165833,-0.105678775,-0.8981346631,-2.988432398,3.122265535
0.2909575833,0.2559031007,-0.9471623969,-3.051748973,3.205584938
0.3009985833,0.4658099565,-1.01142739,-2.964273457,3.166525131
0.3110395834,0.6228898501,-1.033051563,-2.717478272,2.973192805
0.3210795833,0.6506837127,-1.012802947,-2.314437298,2.608788821
0.3311205833,0.3898943862,-0.8714444625,-1.889626556,2.117102172
0.3411615833,-0.001143715382,-0.6661329335,-2.144997268,2.246051574
0.3512025833,-0.38231581,-0.5353675568,-2.080163925,2.181711657
0.3612435833,-0.5120623094,-0.4612871352,-1.456339105,1.611185036
0.3712835833,-0.3126953521,-0.5986800385,-0.8047768486,1.050648346
0.3813250416,0.09359725803,-0.7968795991,-0.4816328144,0.9358139292
0.3913660417,0.5343308455,-0.9962255064,-0.5157197428,1.242554452
0.4014070416,0.9177570418,-1.2347194,-0.756592868,1.714421987
0.4114480417,0.9901332924,-1.396239084,-1.05945525,2.013030785
0.4214880416,0.9173971456,-1.301789302,-1.449542887,2.153473355
0.4315290417,0.570105865,-1.235307045,-1.955141684,2.381928462
0.4415700416,-0.01380089074,-1.036354655,-2.263215689,2.489250227
0.4516110417,-0.2328337884,-0.8481862852,-2.099041661,2.275875094
0.4616520416,-0.06605307162,-0.969477126,-1.806555748,2.051314841
0.4716920417,0.3389724469,-1.269799916,-1.427092502,1.940074008
0.4817330416,0.8411541313,-1.566423611,-1.116317083,2.099377773
0.4917740417,1.341545983,-1.799624312,-1.146228515,2.520363684
0.5018150416,1.545283442,-1.944211776,-1.161427767,2.741673723
0.5118560417,1.427214124,-1.879976604,-1.063374639,2.588825566
0.5218970416,0.8209654498,-1.523614245,-1.095632558,2.048364064
0.5319370417,-0.03918043792,-1.234858271,-0.836198616,1.491857293
0.5419780416,-0.4120696592,-1.065479051,-0.2963251948,1.18019305
0.5520190417,-0.3027232182,-1.016257336,0.2646426415,1.092911729
0.5620600416,0.04386990488,-1.183737965,0.5870686376,1.322047549
0.5721010417,0.5061191994,-1.326462798,0.6411343324,1.557791202
0.5821410416,1.035493945,-1.452775812,0.3944964373,1.827137846
0.5921820417,1.041999557,-1.422601548,0.04809861124,1.764049806
0.6022230416,0.09003425717,-1.112096124,0.01342871547,1.115815526
0.6122640417,-1.07995208,-0.7717928512,0.6617598009,1.483201515
0.6223050416,-1.957481155,-0.3200357274,1.777122034,2.663140639
0.6323450417,-2.220936227,-0.1074149595,2.457711039,3.314278088
0.6423860416,-1.841573553,-0.01779267523,2.719158762,3.284133691
0.6524270417,-1.239545984,0.1522701933,2.726640274,2.999037786
0.6624680416,-1.06761387,0.4418786915,2.139445921,2.431519073
0.6725090417,-1.248806804,0.8099793356,1.73642132,2.287081974
0.6825490416,-1.514949256,1.226667784,1.83377863,2.676290187
0.6925900417,-1.82809689,1.441781877,2.245613816,3.234726361
0.7026310416,-2.259474056,1.697937139,2.979494929,4.106775325
0.7126720417,-2.715886075,1.949106042,4.002722585,5.215058928
0.7227130416,-2.880977531,2.131982389,4.93719243,6.100922024
0.7327530417,-2.688922809,2.351909472,5.309531429,6.399445916
0.7427940416,-2.498812287,2.449316483,5.196265599,6.264534321
0.7528350417,-2.157400382,2.374862279,5.43475423,6.311172695
0.7628760416,-1.815017254,2.33602785,6.144953535,6.819953643
0.7729170417,-1.326985831,2.085339881,6.7765265,7.213240965
0.7829580416,-0.6975681496,1.720832058,7.064339903,7.304297541
0.7929980417,-0.278039782,1.547651272,7.360667437,7.526749344
0.8030390416,-0.1837277019,1.611365603,7.008116586,7.193326981
0.8130800417,-0.1821992397,1.573962865,6.241048431,6.439040393
0.8231210416,-0.1830903554,1.320443674,5.821522987,5.972204238
0.8331620417,-0.2023376352,1.15907821,5.790223426,5.90856075
0.8432020416,0.03050200045,0.9663236495,5.847930182,5.927309608
0.8532430417,0.517905432,0.3844979909,6.131613697,6.165448181
0.8632840416,1.185332647,-0.2122074063,6.314932678,6.428718395
0.8733250417,1.446421643,-0.6333354624,5.832932659,6.042876201
0.8833660416,1.185531452,-0.6819482631,5.027236043,5.209955901
0.8934060417,0.3769939667,-0.3335685964,4.353733864,4.382737845
0.9034470416,-0.2771463275,-0.05609453246,3.643680739,3.654636236
0.9134880417,-0.2665777776,-0.2083865798,3.279579883,3.296988457
0.9235290416,-0.4359824324,-0.2499705157,3.272081414,3.310450531
0.9335700417,-0.606439586,-0.1280012517,4.438493348,4.481559605
0.9436100416,-0.7953178078,-0.2060025238,5.88805553,5.94509591
0.9536510417,-1.373565921,-0.09541208759,7.228806292,7.358765332
0.9636920416,-2.302925008,-0.2654106733,8.016646096,8.345089636
0.9737330417,-4.080532068,-0.469915579,7.782835822,8.800232727
0.9837740416,-6.108005564,-0.2924610624,7.088597662,9.361702957
0.9938140417,-7.752450181,0.1380936921,6.232662939,9.948147616
1.003855042,-8.756460378,0.1677294275,5.812269183,10.51124182
1.013896042,-8.092937057,-0.6527647367,5.794551535,9.974896466
1.023937042,-6.495406405,-1.565423299,4.904255065,8.288098226
1.033978042,-4.643877382,-1.90108359,3.422694579,6.07408875
1.044018042,-3.008308253,-1.750419554,1.217676812,3.687360029
1.054059042,-2.086889977,-1.361468616,-1.073106744,2.712980769
1.064100042,-1.615363491,-0.9196301973,-3.040398942,3.563585924
1.074141042,-2.189759896,-0.5345524549,-4.124969153,4.700655831
1.084182042,-2.448307108,-0.3400296235,-3.696010396,4.446382877
1.094222042,-2.099289729,-0.8951017123,-2.941192743,3.722746189
1.104263042,-1.601884051,-1.425154735,-3.344858783,3.973056608
1.114304042,-1.66062284,-1.278018909,-4.331976374,4.81217413
1.124345042,-2.575926536,-0.9785941046,-5.158268053,5.848142718
1.134386042,-4.169004534,-0.6577427638,-5.148501449,6.657348685
1.144426042,-4.616502765,-0.4858615208,-4.562749604,6.508981729
1.154467042,-3.171215774,-1.297070307,-3.613503844,4.979599472
1.164508042,-0.7321763572,-2.610052933,-1.784546828,3.24546852
1.174549042,2.180119884,-3.817376373,0.7376081282,4.457505001
1.184590042,4.07038978,-4.78528206,1.113354299,6.380168897
1.194630042,4.617875984,-4.637757686,-1.260876626,6.665087008
1.204671042,4.414467723,-3.867752475,-3.804705457,6.994484835
1.214712042,3.666236374,-2.649283365,-5.694406857,7.272294064
1.224753042,2.410917526,-2.270641068,-7.336254727,8.049159434
1.234794042,0.8252828877,-2.09322719,-7.663057948,7.986560526
1.244834042,0.154271476,-1.788948612,-7.538933254,7.74981622
1.254875042,0.3667122227,-2.537414435,-7.347084939,7.781555563
1.264916042,1.124325868,-3.568902453,-6.979973937,7.919672312
1.274957042,2.342326909,-4.335235028,-6.932778136,8.505537653
1.284998042,3.273511643,-5.093449329,-6.395955791,8.807233108
1.295038042,3.512572716,-5.535193022,-5.847147825,8.784399044
1.305079042,3.467533368,-5.570123119,-5.778533673,8.743083588
1.315120042,3.279833068,-5.554551984,-6.080839984,8.864929081
1.325161042,2.805051728,-5.445521293,-6.441479289,8.889019787
1.335202042,1.837664543,-5.098177972,-6.526293737,8.482979403
1.345242042,0.8281788674,-4.702278203,-6.481543826,8.050323652
