x,y,z,total_acceleration,Walking(0)/Jumping(1)
-1.291232008,-10.47933662,0.2893652358,10.56255217,1
-1.453010578,-10.78677737,0.7536973268,10.91026423,1
-1.332540978,-10.42802146,0.646778065,10.53269286,1
-1.058053672,-10.51432285,0.3167308446,10.57217012,1
-0.9554212967,-10.96040577,-0.05402819954,11.00210177,1
-1.613622336,-11.98384743,-0.3421375448,12.09683572,1
-1.321557276,-12.15391721,0.008833352141,12.22555909,1
-1.468552331,-12.45974296,-0.1336685193,12.54670107,1
-1.791413506,-12.95354266,-0.3313769138,13.08102597,1
-1.978217428,-13.24934394,-0.5201180184,13.40630381,1
-1.836131403,-13.03552296,-0.481344035,13.17300002,1
-1.630216149,-12.8339554,-0.4322086394,12.94429682,1
-1.394919952,-12.729468,-0.3228318659,12.80973761,1
-1.17478924,-12.76345669,-0.1825208366,12.81870783,1
-0.6859142102,-12.30557293,0.03234087668,12.32471701,1
0.00540165782,-11.36819994,0.343659575,11.37339444,1
0.08536627874,-9.695981634,0.7398066813,9.724539124,1
-0.5513700339,-7.248473402,0.4966772617,7.286361497,1
-0.5982441285,-6.240565451,0.1910109206,6.272084052,1
-0.2434810199,-6.73820034,0.2339621548,6.746655847,1
0.02332289871,-6.585513167,0.4842551444,6.603334815,1
3.257350231,-0.04365180373,1.228573099,3.481612826,1
4.960176666,5.874938471,1.751960149,7.88591269,1
2.592795461,6.521839913,1.644219938,7.208359269,1
0.2219513526,5.828395219,1.929872795,6.14360336,1
-1.509212407,7.81649415,2.22201957,8.265148144,1
0.4308373211,25.23143721,0.8044447267,25.24793409,1
-0.07682525083,41.04231301,3.258096628,41.17150171,1
-4.495538199,37.04186558,5.157320219,37.66839021,1
-2.178792859,28.0419248,-0.3522292542,28.12864643,1
1.38276169,28.2661702,-14.3329324,31.7225686,1
4.678380632,32.31887069,-15.29160095,36.05869808,1
5.917169402,29.01519384,-4.030748874,29.88546978,1
3.483357395,16.92520074,0.7488119781,17.29615328,1
2.05284091,11.23474894,-0.2346475947,11.42316939,1
0.528585079,8.275346212,-0.7126679993,8.32277915,1
-0.4878482585,4.594433327,-1.340213403,4.810715693,1
-1.077307823,1.380835179,-1.3898434,2.235835998,1
-1.57602547,-1.008839997,-0.8216039658,2.043684785,1
-2.207199217,-2.500537215,-0.490227052,3.371162605,1
-2.357692953,-3.303019617,-0.07797494134,4.058908072,1
-1.938469956,-3.904560698,0.2167808608,4.364659661,1
-1.28998275,-4.817169558,0.1833289218,4.990269286,1
-0.676150091,-6.123607689,-0.6590654039,6.195975894,1
-0.1561554489,-7.359906714,-1.558291742,7.524685011,1
0.3773869361,-8.463504349,-0.9391984892,8.523814907,1
0.4278653276,-9.77034126,0.4339388305,9.789327862,1
-0.04021307448,-11.2712075,1.5192569,11.37320874,1
-0.4349908908,-12.25829351,1.896066095,12.41168979,1
-0.8363205305,-12.86886445,1.763665836,13.01605245,1
-1.703277255,-13.15907463,1.56156092,13.36042181,1
-2.787475583,-13.46229954,1.247812777,13.80436763,1
-3.06783057,-13.70022508,0.7510257339,14.05958005,1
-2.753907887,-13.27359702,0.238551744,13.55836618,1
-2.621379575,-12.36760838,-0.4156470223,12.64919485,1
-2.191030204,-11.38733437,-0.9110412953,11.63193852,1
-1.38493627,-10.57831712,-0.7730574578,10.69656297,1
-0.5024655667,-9.875994015,-0.1989942703,9.890769846,1
0.2553495155,-9.231047298,0.4396082177,9.245036126,1
0.8001604718,-8.753849596,0.8252741899,8.828998642,1
1.153606093,-8.408144081,0.8888978896,8.53333659,1
1.365943783,-8.251775501,0.7313773352,8.395982023,1
1.310002886,-8.430085173,0.5107870317,8.546540058,1
1.129886278,-8.808607017,0.2902931341,8.885520282,1
0.9487022611,-8.962029769,0.0851272738,9.012505768,1
0.7649874231,-9.018106906,-0.1108064908,9.051173184,1
0.7408900242,-8.925762414,-0.1196217531,8.957257508,1
0.6931858076,-8.578916692,0.193761524,8.609056957,1
0.4143820868,-7.885649754,0.7642018497,7.933422277,1
0.2646081247,-6.625146765,1.312630917,6.759111409,1
0.7553354242,-4.501656725,1.033337565,4.680088824,1
1.860089931,-1.89864881,0.3193298954,2.677083009,1
2.775102582,1.098512896,-0.2990529209,2.999559563,1
3.292843415,3.929478607,-0.6151643626,5.163530485,1
3.837378236,6.442832919,-0.1315290231,7.500191174,1
3.823524136,9.916503525,1.032076832,10.67808792,1
2.301293927,13.9445311,1.931798868,14.26456268,1
-2.866861183,19.02166612,4.153638051,19.67982175,1
-8.877198365,23.36938203,9.508655555,26.74597535,1
-0.7589571896,24.77938195,9.350957903,26.49592798,1
2.099717599,24.86818244,8.191983043,26.26678317,1
4.451627948,25.18847888,4.506895831,25.97284293,1
5.110070039,23.95918599,0.1741446271,24.49868844,1
7.0431034,22.49995018,-6.509207003,24.45859438,1
9.717129843,21.61719837,-18.23996121,29.90688989,1
5.395194892,16.51223763,-12.32754794,21.30095203,1
0.2546811057,12.8650088,-0.8314647833,12.89436495,1
-0.4241235481,10.72540734,3.511700896,11.29363921,1
0.4108720033,8.178698169,4.097556821,9.156958635,1
0.8353192679,5.731820267,3.613017356,6.826815968,1
0.4723645391,3.447679732,3.062815998,4.635781016,1
-0.27998135,0.9113979024,2.154859182,2.356364527,1
-0.6041840225,-1.332786269,0.87744546,1.706243859,1
-0.1220960024,-2.785347489,-0.3304377779,2.807535786,1
0.2034942144,-4.573843526,-1.355247179,4.774740769,1
0.29146075,-6.339842402,-1.984810456,6.64966342,1
0.2820989922,-7.702097468,-1.912461687,7.940994582,1
0.1795432151,-8.895775554,-1.47904589,9.019680438,1
0.4181010622,-10.23876814,-1.006826801,10.2966442,1
0.2090733352,-11.3596595,-0.6529275817,11.38032908,1
-0.6280454133,-12.17127174,-0.09571555808,12.18784059,1
-1.002098157,-13.04332548,0.2836022383,13.08483743,1
-1.426437906,-13.86054287,0.2374384707,13.93577234,1
-1.911816739,-14.46629219,0.1009739591,14.59242436,1
-2.322148314,-14.72758555,0.002401305288,14.90953234,1
-2.407992164,-14.2956681,-0.2525726728,14.49925328,1
-2.93506603,-13.92414888,0.02977986932,14.23015887,1
-3.977458228,-13.41407872,-0.1571265252,13.99222536,1
-3.687955564,-12.13589141,-0.6153902113,12.69880237,1
-3.220963885,-11.34762593,-0.796960583,11.82279023,1
-2.675570108,-10.58785159,-0.7784154077,10.94838834,1
-2.194151886,-9.803578003,-0.5920547046,10.06354674,1
-1.75261226,-8.923988369,-0.2935303719,9.09919657,1
-1.017455065,-8.167700726,-0.008202035576,8.230833325,1
-0.1724034724,-7.634697198,0.1156291281,7.637518862,1
0.5771953947,-7.20688508,0.01920211002,7.229987262,1
0.8807211433,-7.190953757,-0.1806381793,7.246938375,1
0.6496983837,-7.48975934,-0.009196062237,7.517891163,1
0.3565835296,-7.519231646,0.5507685381,7.547803809,1
0.06278067738,-7.064582562,0.9310585803,7.125948237,1
-0.02977245066,-6.043075742,0.7203785764,6.085934285,1
-0.1628869097,-4.64421886,-0.2373238653,4.653130514,1
-0.06363762338,-2.897061467,-1.838634158,3.431849422,1
0.1510049289,-0.6152504629,-3.408036779,3.466417504,1
0.526139408,2.195959845,-4.137554115,4.713641519,1
0.7200345408,5.597772848,-3.600366905,6.69448672,1
-0.5187096434,9.712049782,-2.190288485,9.969470112,1
-3.005052231,13.90508228,-0.02743747473,14.226117,1
-4.810606351,18.40920302,3.851113054,19.41318524,1
-4.824263985,22.10174076,8.960743967,24.33218856,1
0.9198847704,23.4463384,9.410621138,25.2811543,1
4.409992557,23.86673917,6.997517338,25.25934524,1
6.700838971,24.13053514,-0.4184378618,25.04713675,1
6.587578404,21.37114519,-8.445542287,23.90500409,1
2.719969478,17.14176991,-6.886238392,18.67240715,1
-0.5309140981,15.33802667,-1.748006993,15.44643844,1
-1.231049102,14.10727666,1.489914987,14.23905135,1
-0.5815725473,13.07904028,2.51721172,13.33176193,1
0.03428471044,12.03403291,1.932791287,12.18830611,1
0.6987982576,10.98111777,0.4462301894,11.01237431,1
1.44067383,9.723252463,-1.25153336,9.908759523,1
1.987574435,8.178850781,-2.670716919,8.830446257,1
2.215480482,6.286005333,-3.19851467,7.392747318,1
2.235699569,4.487953776,-2.668648759,5.679944353,1
1.929783187,2.796403404,-1.284042125,3.632175564,1
1.343871567,0.7958861572,-0.1583303207,1.569870712,1
0.8086429545,-1.112026981,-0.09842333056,1.378475457,1
0.3849394557,-3.038250675,-0.6435889205,3.129433215,1
0.1124725087,-4.479279431,-1.341483418,4.677197029,1
0.3000042629,-5.609964293,-1.863698248,5.919043257,1
0.6047072753,-6.864991364,-2.149535877,7.21902222,1
-0.01705757059,-8.132087089,-1.440493297,8.258701613,1
-0.8170065194,-9.320165881,-0.398103073,9.36437279,1
-0.629391223,-9.984312515,-0.01350531399,10.00413975,1
-0.9436563333,-11.47528585,0.06180148803,11.51418655,1
-0.7482240406,-12.04045783,0.3704678893,12.06937076,1
-0.5123891322,-12.14848046,0.9915834019,12.19964581,1
-0.5672394137,-13.03680233,1.369399779,13.12079385,1
-0.915203855,-14.01767276,1.318353587,14.10924533,1
-1.495457124,-14.95292204,1.271393282,15.08120387,1
-2.150347616,-15.76318825,0.9866843122,15.93975046,1
-2.734322931,-16.43089116,0.6475228541,16.66943287,1
-3.358330768,-16.58479923,0.03964631483,16.92145156,1
-4.50506916,-15.31833676,-0.5201905239,15.97553403,1
-4.644342821,-14.34397779,-1.669180094,15.169238,1
-2.873620564,-13.20075358,-2.956730549,13.82967265,1
-0.9455700539,-11.46018483,-2.904206765,11.8602005,1
0.390896599,-9.997286317,-2.011510158,10.2051314,1
0.8532398875,-8.556250545,-0.5704676615,8.617591023,1
0.6597033352,-7.152594852,1.212407155,7.284555767,1
0.2753611726,-6.053945131,2.544205976,6.572599142,1
-0.2410856715,-4.899291948,3.127037137,5.817176733,1
-0.6894283868,-3.394349032,2.874060275,4.500793187,1
-0.6269166814,-1.408804166,1.811695451,2.379074212,1
0.03351170853,1.77692089,0.07961101055,1.779019054,1
0.9828669575,5.362601928,-1.370373487,5.621516733,1
2.276639727,9.164487857,-1.802835311,9.613591488,1
3.092985291,13.27699192,-1.336530826,13.69786067,1
3.734392689,16.20599555,-0.2982132608,16.63336742,1
4.156115516,17.80729532,0.9442067756,18.31023182,1
4.08941545,19.22288167,2.447773111,19.8049007,1
3.553325178,20.84008236,3.662854929,21.45580711,1
3.153189393,21.60540804,3.640311574,22.13567547,1
3.660668655,21.16517585,2.523136704,21.62709834,1
4.632917361,20.10209124,0.2454697676,20.63051746,1
5.16451171,18.66317333,-2.901124113,19.58067264,1
5.319014443,16.54815473,-5.950671608,18.372366,1
3.704582999,13.64712067,-5.142388185,15.04699285,1
1.861192131,11.52947667,-1.525263306,11.77791563,1
1.37595904,9.532242054,1.240378627,9.710583967,1
1.080413498,7.54446589,2.474379112,8.013040052,1
0.7737803198,5.459955729,2.701887256,6.140850698,1
0.7154494467,3.555306507,1.936609519,4.111268502,1
0.3504489964,1.8752541,0.6254344853,2.007625646,1
0.2215056121,0.1499389815,-0.2698841587,0.3799788066,1
0.4575224785,-1.185893687,-0.5444212393,1.382774436,1
0.7078444849,-2.581764396,-0.6930372152,2.765294161,1
0.7748348652,-4.262354162,-0.9230674099,4.429456571,1
0.654514516,-5.995442569,-1.107451023,6.131897636,1
0.3646510792,-7.444009556,-1.078758078,7.530602078,1
-0.114691929,-8.604010602,-0.7883126973,8.640809545,1
-0.7462962136,-9.974457618,-0.6818091725,10.02554869,1
-1.294983435,-11.19952297,-0.4887841053,11.28473335,1
-1.632461042,-12.35353296,-0.3169157262,12.46495653,1
-1.79606672,-13.26262648,-0.0624383229,13.3838341,1
